5
100
['330', '371', '421', '208']
['330', '270', '265', '170']
['35', '439', '86', '422']
['35', '270', '265', '86']
['330', '86', '170', '208']
['35', '86', '421', '422']
['371', '234', '170', '208']
['439', '421', '208', '285']
['35', '439', '234', '422']
['265', '208', '285', '283']
['330', '234', '170', '422']
['270', '86', '422', '208']
['35', '265', '86', '170']
['234', '170', '422', '283']
['330', '265', '439', '422']
['35', '371', '421', '285']
['330', '35', '270', '86']
['330', '439', '208', '283']
['330', '234', '421', '170']
['439', '86', '170', '283']
['330', '270', '234', '170']
['270', '439', '422', '283']
['330', '371', '86', '208']
['270', '439', '234', '170']
['371', '234', '421', '170']
['330', '265', '371', '86']
['35', '86', '421', '283']
['330', '35', '421', '208']
['234', '421', '170', '285']
['265', '439', '234', '421']
['270', '234', '86', '285']
['270', '421', '170', '285']
['371', '86', '422', '283']
['270', '439', '86', '208']
['270', '86', '170', '285']
['265', '439', '422', '285']
['265', '439', '86', '422']
['35', '270', '371', '170']
['35', '270', '439', '86']
['265', '371', '86', '208']
['330', '35', '439', '422']
['270', '439', '371', '283']
['270', '421', '208', '285']
['270', '439', '86', '170']
['330', '270', '265', '86']
['270', '439', '421', '285']
['330', '234', '86', '208']
['330', '265', '234', '421']
['371', '421', '422', '208']
['330', '234', '208', '283']
['439', '234', '421', '170']
['35', '86', '170', '422']
['330', '439', '421', '285']
['265', '234', '208', '283']
['265', '439', '234', '170']
['265', '371', '86', '421']
['330', '270', '208', '283']
['35', '265', '371', '421']
['270', '371', '285', '283']
['421', '170', '422', '285']
['330', '35', '265', '86']
['330', '371', '86', '285']
['35', '371', '422', '208']
['265', '439', '86', '421']
['35', '270', '208', '283']
['265', '422', '208', '283']
['234', '86', '170', '285']
['35', '421', '170', '422']
['371', '421', '208', '283']
['330', '265', '234', '208']
['270', '234', '86', '170']
['265', '234', '421', '170']
['35', '265', '371', '283']
['439', '234', '86', '208']
['270', '265', '170', '285']
['439', '170', '285', '283']
['35', '270', '439', '285']
['35', '234', '170', '208']
['439', '86', '170', '422']
['330', '270', '170', '285']
['330', '265', '422', '283']
['35', '270', '439', '422']
['270', '371', '234', '422']
['270', '439', '170', '208']
['330', '265', '439', '86']
['35', '265', '86', '422']
['330', '439', '421', '422']
['270', '371', '421', '170']
['330', '270', '234', '421']
['265', '421', '170', '208']
['265', '234', '421', '422']
['330', '35', '234', '422']
['35', '421', '208', '285']
['439', '208', '285', '283']
['330', '265', '86', '422']
['371', '170', '208', '285']
['330', '371', '170', '208']
['330', '270', '265', '422']
['35', '234', '285', '283']
['270', '234', '422', '208']
['270', '439', '421', '170']
['35', '265', '439', '421']
['35', '439', '234', '285']
['330', '265', '371', '170']
['330', '371', '234', '170']
['35', '270', '86', '283']
['270', '421', '170', '422']
['265', '371', '421', '208']
['234', '422', '285', '283']
['265', '439', '371', '421']
['439', '234', '170', '208']
['330', '35', '208', '283']
['439', '421', '422', '208']
['265', '371', '234', '421']
['330', '86', '421', '208']
['35', '234', '422', '208']
['270', '439', '170', '285']
['330', '439', '86', '285']
['371', '421', '422', '285']
['330', '265', '86', '285']
['35', '439', '170', '283']
['265', '234', '86', '422']
['265', '86', '422', '283']
['439', '371', '208', '285']
['371', '234', '170', '283']
['330', '265', '170', '208']
['270', '371', '422', '208']
['330', '439', '371', '234']
['330', '371', '86', '283']
['234', '208', '285', '283']
['330', '234', '86', '285']
['439', '421', '170', '208']
['35', '265', '86', '285']
['86', '208', '285', '283']
['330', '270', '421', '208']
['330', '265', '439', '283']
['265', '439', '371', '208']
['330', '371', '234', '208']
['265', '439', '234', '86']
['35', '265', '170', '285']
['330', '265', '371', '422']
['270', '265', '86', '208']
['439', '371', '285', '283']
['86', '170', '208', '283']
['270', '422', '208', '285']
['270', '421', '285', '283']
['330', '270', '439', '234']
['439', '234', '86', '170']
['270', '439', '170', '422']
['35', '234', '208', '283']
['270', '265', '371', '283']
['270', '371', '170', '422']
['265', '439', '234', '422']
['330', '35', '371', '208']
['371', '234', '421', '208']
['35', '170', '422', '285']
['265', '371', '422', '283']
['330', '265', '422', '285']
['330', '35', '86', '422']
['330', '439', '422', '283']
['270', '86', '208', '285']
['35', '265', '371', '234']
['330', '35', '265', '371']
['270', '439', '234', '421']
['330', '270', '285', '283']
['270', '371', '422', '285']
['330', '35', '371', '283']
['35', '421', '285', '283']
['265', '86', '170', '422']
['35', '270', '86', '208']
['35', '86', '208', '283']
['265', '439', '170', '208']
['265', '86', '170', '208']
['330', '270', '265', '208']
['270', '421', '422', '285']
['270', '234', '208', '285']
['270', '439', '234', '86']
['330', '35', '371', '234']
['35', '270', '371', '422']
['270', '265', '371', '422']
['330', '35', '265', '170']
['35', '270', '371', '421']
['421', '170', '422', '283']
['371', '234', '86', '285']
['330', '270', '439', '285']
['270', '265', '439', '234']
['330', '270', '371', '285']
['35', '265', '86', '421']
['421', '170', '208', '285']
['330', '86', '422', '285']
['35', '439', '234', '170']
['270', '208', '285', '283']
['35', '270', '371', '208']
['35', '421', '422', '285']
['265', '421', '208', '285']
['330', '270', '371', '422']
['330', '234', '285', '283']
['35', '270', '439', '208']
['270', '439', '285', '283']
['439', '234', '86', '421']
['439', '234', '421', '285']
['371', '86', '421', '208']
['265', '371', '422', '208']
['35', '234', '170', '285']
['330', '371', '86', '421']
['35', '270', '371', '285']
['270', '439', '371', '170']
['330', '270', '421', '170']
['270', '422', '208', '283']
['330', '265', '421', '283']
['330', '270', '371', '86']
['86', '421', '170', '283']
['35', '234', '208', '285']
['270', '86', '170', '208']
['439', '371', '86', '285']
['421', '208', '285', '283']
['35', '86', '285', '283']
['35', '371', '234', '170']
['371', '234', '86', '170']
['330', '265', '86', '208']
['270', '265', '421', '422']
['270', '170', '422', '285']
['234', '170', '208', '283']
['270', '86', '422', '283']
['265', '234', '86', '285']
['234', '86', '421', '422']
['330', '35', '86', '208']
['330', '35', '265', '421']
['270', '371', '234', '208']
['265', '170', '422', '285']
['35', '270', '422', '208']
['265', '439', '422', '283']
['270', '439', '86', '283']
['330', '270', '371', '283']
['265', '439', '86', '208']
['330', '439', '234', '170']
['35', '439', '234', '86']
['270', '439', '371', '234']
['330', '265', '421', '170']
['265', '371', '208', '285']
['35', '265', '439', '208']
['265', '371', '421', '283']
['330', '265', '285', '283']
['35', '439', '234', '283']
['330', '35', '265', '208']
['265', '234', '170', '208']
['270', '265', '234', '421']
['86', '421', '170', '422']
['330', '35', '265', '285']
['371', '170', '422', '285']
['439', '371', '234', '170']
['265', '371', '208', '283']
['330', '35', '234', '86']
['330', '35', '285', '283']
['270', '234', '421', '422']
['270', '234', '170', '422']
['35', '265', '86', '283']
['234', '86', '421', '283']
['35', '439', '422', '283']
['330', '421', '422', '283']
['330', '265', '421', '285']
['330', '265', '234', '285']
['86', '421', '285', '283']
['265', '439', '285', '283']
['35', '270', '265', '371']
['270', '265', '234', '422']
['330', '439', '170', '285']
['35', '270', '234', '86']
['35', '439', '170', '285']
['330', '234', '170', '208']
['330', '421', '285', '283']
['234', '86', '422', '208']
['35', '265', '421', '208']
['330', '265', '439', '285']
['270', '265', '234', '283']
['35', '371', '170', '283']
['439', '371', '421', '208']
['265', '86', '208', '285']
['439', '371', '422', '285']
['35', '170', '285', '283']
['439', '86', '421', '208']
['270', '86', '421', '208']
['35', '439', '234', '421']
['270', '86', '421', '283']
['330', '371', '421', '283']
['371', '170', '208', '283']
['371', '234', '86', '208']
['265', '439', '421', '170']
['35', '439', '421', '170']
['270', '371', '421', '283']
['330', '371', '422', '208']
['330', '270', '86', '422']
['371', '86', '170', '283']
['234', '421', '422', '285']
['330', '371', '422', '283']
['439', '371', '86', '421']
['439', '371', '234', '86']
['330', '421', '170', '208']
['270', '234', '422', '283']
['35', '371', '234', '86']
['270', '265', '170', '283']
['35', '270', '170', '285']
['270', '265', '371', '234']
['265', '86', '421', '422']
['270', '371', '421', '422']
['35', '234', '86', '422']
['35', '170', '422', '208']
['265', '86', '285', '283']
['421', '170', '285', '283']
['270', '86', '208', '283']
['330', '371', '170', '422']
['35', '265', '234', '422']
['270', '234', '421', '285']
['330', '270', '265', '283']
['330', '270', '265', '285']
['270', '265', '208', '285']
['330', '439', '170', '208']
['35', '234', '170', '422']
['371', '422', '208', '283']
['270', '265', '439', '421']
['330', '439', '371', '421']
['270', '371', '208', '283']
['270', '439', '371', '422']
['270', '234', '170', '208']
['330', '86', '285', '283']
['270', '234', '170', '283']
['371', '421', '208', '285']
['270', '371', '86', '170']
['35', '371', '86', '285']
['330', '234', '422', '208']
['35', '270', '170', '283']
['35', '265', '371', '285']
['265', '439', '86', '283']
