['258', '37', '360', '171', '172', '77', '173', '187', '48', '177', '207', '303', '276', '304', '308', '215', '88', '282', '59', '125']
['385', '130', '99', '164', '322', '281', '231', '232', '73', '74', '76', '205', '270', '333', '366', '369', '18', '306', '25', '381']
['290', '35', '292', '7', '39', '104', '10', '105', '237', '14', '110', '111', '17', '49', '50', '117', '310', '347', '221', '222']
['289', '312', '356', '198', '40', '296', '138', '267', '47', '19', '84', '119', '244', '87', '120', '121', '122', '251', '188', '286']
['33', '287', '261', '135', '200', '377', '235', '44', '300', '365', '79', '81', '51', '180', '277', '184', '185', '285', '382', '31']
['320', '257', '66', '353', '165', '103', '201', '330', '299', '399', '371', '212', '245', '246', '343', '374', '380', '314', '219', '156']
['69', '6', '229', '230', '392', '234', '393', '236', '268', '269', '367', '368', '339', '372', '341', '54', '55', '56', '26', '152']
['32', '129', '34', '131', '163', '249', '8', '329', '362', '140', '301', '305', '114', '210', '148', '211', '340', '183', '153', '90']
['352', '321', '4', '132', '293', '294', '383', '298', '46', '302', '16', '241', '334', '83', '20', '373', '151', '218', '379', '375']
['98', '38', '102', '72', '295', '202', '328', '332', '396', '142', '15', '238', '272', '82', '52', '21', '149', '253', '186', '157']
['224', '97', '225', '3', '386', '357', '358', '359', '41', '137', '361', '364', '398', '178', '243', '311', '27', '61', '62', '159']
['160', '288', '389', '390', '167', '9', '106', '43', '12', '107', '174', '297', '113', '338', '252', '118', '279', '28', '158', '255']
['256', '191', '194', '280', '100', '5', '262', '355', '136', '170', '203', '45', '141', '80', '337', '86', '248', '284', '190', '63']
['1', '67', '227', '323', '265', '42', '75', '266', '394', '395', '335', '283', '397', '242', '150', '278', '342', '154', '123', '93']
['0', '193', '226', '291', '36', '233', '250', '363', '109', '206', '271', '240', '209', '274', '85', '53', '181', '316', '58', '220']
['65', '2', '101', '166', '263', '264', '169', '327', '108', '143', '124', '273', '370', '213', '214', '217', '346', '155', '60', '254']
['161', '350', '354', '260', '324', '325', '71', '387', '388', '391', '331', '204', '13', '115', '179', '275', '22', '315', '318', '127']
['64', '89', '192', '223', '319', '351', '313', '345', '11', '139', '239', '208', '307', '309', '182', '216', '57', '317', '30', '95']
['128', '196', '133', '134', '199', '228', '326', '78', '112', '144', '145', '146', '147', '189', '348', '23', '24', '92', '29', '126']
['96', '384', '162', '195', '68', '197', '70', '259', '168', '376', '175', '176', '336', '116', '247', '344', '378', '91', '349', '94']
