['479', '627', '927', '821', '324', '639', '150', '743', '964', '706', '942', '331', '263', '711', '832', '14', '59', '930', '142', '630']
['422', '10', '921', '799', '334', '723', '633', '800', '982', '882', '987', '161', '685', '506', '622', '779', '613', '577', '901', '842']
['411', '914', '149', '735', '41', '727', '978', '606', '834', '281', '798', '911', '82', '581', '274', '721', '754', '511', '139', '888']
['781', '302', '218', '395', '246', '996', '321', '304', '728', '585', '618', '891', '984', '768', '896', '784', '96', '736', '491', '127']
['674', '498', '866', '87', '126', '861', '515', '135', '380', '505', '169', '496', '673', '929', '729', '341', '313', '500', '62', '672']
['245', '410', '884', '215', '971', '303', '523', '33', '277', '364', '179', '629', '926', '778', '137', '84', '4', '602', '595', '913']
['712', '742', '963', '824', '425', '131', '547', '164', '213', '746', '867', '21', '631', '154', '677', '19', '347', '780', '175', '115']
['397', '654', '516', '536', '35', '268', '396', '714', '898', '738', '348', '907', '28', '546', '634', '211', '694', '774', '732', '339']
['108', '854', '647', '311', '755', '204', '329', '44', '134', '878', '88', '822', '977', '319', '739', '903', '371', '953', '486', '902']
['671', '684', '764', '69', '443', '925', '252', '777', '241', '518', '249', '881', '626', '216', '399', '760', '133', '427', '531', '365']
['267', '949', '42', '198', '280', '640', '307', '5', '344', '624', '966', '415', '435', '603', '90', '8', '951', '816', '593', '439']
['101', '554', '70', '189', '22', '387', '850', '487', '649', '497', '578', '143', '660', '214', '501', '192', '748', '188', '851', '405']
['840', '704', '346', '759', '955', '568', '836', '24', '412', '642', '756', '641', '552', '632', '158', '897', '400', '54', '385', '573']
['974', '892', '724', '462', '580', '118', '589', '223', '227', '803', '492', '943', '197', '697', '812', '833', '271', '762', '122', '193']
['66', '383', '367', '934', '904', '956', '805', '597', '431', '299', '652', '392', '17', '332', '103', '312', '890', '58', '235', '60']
['306', '454', '141', '314', '702', '224', '123', '870', '864', '940', '688', '507', '502', '499', '909', '565', '52', '207', '404', '200']
['144', '86', '859', '705', '939', '508', '960', '831', '699', '56', '474', '512', '186', '628', '13', '290', '566', '160', '765', '525']
['527', '358', '586', '174', '401', '952', '599', '80', '394', '664', '691', '707', '107', '30', '484', '651', '220', '184', '167', '205']
['187', '526', '181', '285', '225', '465', '53', '448', '828', '386', '814', '918', '857', '408', '171', '976', '717', '490', '114', '715']
['316', '351', '345', '238', '678', '269', '957', '221', '559', '970', '489', '558', '330', '817', '985', '572', '871', '100', '377', '596']
['775', '863', '975', '152', '668', '924', '868', '297', '667', '111', '591', '752', '783', '703', '695', '563', '361', '872', '782', '469']
['145', '38', '250', '109', '766', '94', '355', '471', '829', '635', '368', '794', '276', '986', '147', '611', '825', '156', '273', '733']
['190', '110', '473', '827', '441', '830', '583', '231', '810', '201', '823', '801', '848', '256', '894', '373', '369', '730', '737', '944']
['569', '504', '423', '202', '251', '912', '40', '564', '458', '638', '18', '644', '767', '741', '725', '99', '720', '692', '259', '183']
['846', '584', '636', '772', '847', '446', '620', '239', '865', '168', '363', '3', '65', '170', '124', '381', '379', '442', '856', '598']
['683', '495', '50', '257', '716', '308', '78', '950', '459', '352', '453', '375', '242', '988', '553', '402', '795', '932', '353', '820']
['195', '658', '132', '237', '421', '539', '419', '843', '849', '686', '528', '520', '938', '272', '876', '23', '74', '770', '937', '763']
['229', '91', '616', '662', '718', '233', '969', '136', '328', '370', '182', '625', '887', '432', '819', '97', '648', '698', '494', '941']
['463', '915', '555', '542', '476', '445', '994', '734', '852', '968', '357', '315', '7', '340', '483', '240', '356', '77', '811', '49']
['0', '55', '470', '384', '163', '749', '853', '31', '962', '815', '287', '567', '796', '20', '845', '424', '310', '621', '322', '503']
['61', '284', '407', '659', '791', '478', '813', '261', '337', '818', '690', '948', '731', '860', '991', '391', '592', '234', '980', '604']
['437', '318', '967', '574', '166', '296', '605', '713', '682', '294', '112', '485', '409', '792', '105', '148', '162', '600', '264', '529']
['266', '908', '571', '619', '270', '212', '550', '655', '1', '895', '917', '327', '612', '841', '886', '343', '900', '265', '75', '413']
['468', '493', '663', '920', '989', '958', '336', '295', '509', '751', '973', '650', '610', '533', '199', '889', '464', '877', '959', '244']
['906', '837', '83', '753', '72', '689', '582', '372', '209', '517', '366', '230', '47', '362', '450', '457', '680', '802', '936', '151']
['325', '855', '382', '456', '488', '317', '71', '771', '519', '676', '451', '905', '480', '342', '524', '39', '879', '36', '335', '461']
['538', '247', '173', '954', '440', '360', '475', '301', '873', '615', '657', '588', '722', '869', '998', '643', '449', '93', '27', '222']
['481', '85', '540', '185', '590', '138', '255', '549', '429', '32', '745', '885', '579', '63', '452', '37', '933', '26', '217', '426']
['809', '293', '472', '417', '790', '919', '104', '576', '839', '646', '570', '931', '466', '16', '862', '155', '467', '226', '254', '700']
['510', '398', '428', '773', '922', '248', '740', '701', '983', '537', '535', '750', '923', '253', '601', '434', '323', '73', '675', '172']
['12', '693', '120', '128', '835', '420', '76', '333', '210', '15', '928', '561', '607', '981', '708', '433', '219', '534', '514', '153']
['719', '893', '844', '146', '637', '11', '696', '838', '34', '320', '541', '997', '910', '972', '354', '444', '789', '338', '25', '29']
['378', '393', '389', '130', '548', '990', '119', '747', '113', '228', '79', '359', '191', '710', '177', '203', '687', '416', '159', '808']
['961', '899', '57', '232', '880', '95', '194', '92', '46', '875', '376', '350', '788', '669', '761', '744', '406', '243', '282', '106']
['196', '64', '298', '286', '349', '681', '709', '180', '418', '804', '260', '883', '283', '477', '2', '300', '45', '275', '995', '176']
['125', '262', '776', '288', '521', '438', '116', '98', '455', '999', '786', '670', '758', '447', '121', '993', '9', '544', '530', '785']
['656', '858', '140', '562', '278', '117', '665', '532', '806', '157', '661', '165', '279', '617', '807', '965', '206', '551', '545', '826']
['787', '208', '608', '543', '992', '513', '291', '935', '236', '436', '430', '726', '645', '874', '797', '946', '292', '403', '309', '560']
['556', '623', '769', '575', '522', '609', '653', '374', '102', '679', '482', '178', '793', '258', '68', '6', '89', '388', '979', '594']
['666', '43', '67', '129', '460', '81', '289', '557', '916', '305', '414', '614', '326', '587', '51', '390', '48', '947', '757', '945']
