3
200
['107', '229']
['104', '213']
['238', '330']
['391', '200']
['346', '120']
['183', '99']
['48', '142']
['352', '109']
['240', '39']
['78', '120']
['389', '131']
['68', '159']
['103', '93']
['298', '35']
['155', '375']
['362', '124']
['146', '211']
['208', '27']
['119', '82']
['100', '138']
['128', '262']
['354', '189']
['186', '204']
['210', '201']
['182', '397']
['389', '22']
['233', '91']
['274', '370']
['63', '130']
['42', '378']
['382', '371']
['215', '158']
['78', '111']
['51', '320']
['114', '288']
['312', '277']
['359', '285']
['389', '43']
['44', '304']
['240', '14']
['258', '31']
['119', '253']
['252', '340']
['270', '45']
['59', '120']
['295', '130']
['305', '246']
['245', '165']
['240', '271']
['261', '33']
['369', '204']
['199', '256']
['155', '255']
['389', '381']
['215', '224']
['263', '366']
['149', '398']
['92', '212']
['52', '294']
['215', '354']
['236', '241']
['209', '307']
['188', '293']
['381', '197']
['118', '88']
['56', '353']
['291', '223']
['389', '72']
['267', '0']
['259', '326']
['389', '219']
['5', '12']
['332', '17']
['166', '202']
['227', '285']
['254', '185']
['215', '127']
['228', '162']
['338', '5']
['240', '185']
['34', '377']
['214', '259']
['100', '153']
['288', '265']
['46', '318']
['320', '222']
['92', '136']
['366', '198']
['298', '219']
['389', '216']
['126', '61']
['215', '200']
['178', '213']
['389', '386']
['262', '220']
['235', '109']
['78', '59']
['215', '139']
['240', '110']
['60', '383']
['299', '378']
['215', '4']
['188', '248']
['240', '149']
['322', '33']
['121', '105']
['257', '349']
['228', '146']
['122', '112']
['246', '132']
['36', '61']
['295', '34']
['50', '383']
['233', '66']
['389', '374']
['352', '223']
['322', '261']
['272', '33']
['236', '106']
['240', '394']
['351', '310']
['251', '51']
['336', '12']
['224', '95']
['167', '203']
['35', '73']
['396', '53']
['262', '327']
['215', '59']
['116', '11']
['57', '28']
['217', '104']
['68', '194']
['297', '187']
['277', '355']
['240', '343']
['119', '108']
['215', '26']
['372', '312']
['389', '70']
['215', '44']
['336', '287']
['244', '21']
['62', '40']
['286', '249']
['74', '55']
['233', '151']
['333', '346']
['389', '332']
['90', '38']
['183', '24']
['395', '267']
['82', '247']
['62', '370']
['300', '301']
['157', '96']
['305', '25']
['45', '289']
['351', '97']
['267', '86']
['354', '176']
['114', '185']
['122', '334']
['178', '335']
['257', '340']
['19', '282']
['298', '73']
['326', '58']
['122', '268']
['141', '17']
['357', '13']
['389', '391']
['19', '202']
['57', '302']
['39', '113']
['44', '390']
['4', '280']
['389', '100']
['387', '197']
['140', '204']
['315', '285']
['291', '234']
['128', '8']
['186', '140']
['156', '159']
['365', '242']
['339', '385']
['188', '195']
['109', '234']
['254', '265']
['269', '227']
['240', '319']
['339', '276']
['45', '344']
['37', '81']
['26', '75']
['87', '375']
['185', '125']
['22', '194']
['235', '234']
['76', '268']
['328', '384']
['244', '219']
['240', '270']
['389', '62']
['100', '343']
['40', '206']
['168', '86']
['65', '90']
['254', '125']
['308', '283']
['251', '222']
['177', '243']
['194', '348']
['317', '278']
['338', '287']
['65', '226']
['154', '55']
['192', '155']
['240', '295']
['212', '361']
['356', '303']
['54', '113']
['191', '52']
['323', '274']
['295', '218']
['246', '284']
['393', '342']
['314', '101']
['142', '13']
['357', '142']
['161', '371']
['46', '52']
['270', '32']
['211', '163']
['369', '388']
['99', '324']
['77', '373']
['184', '221']
['225', '51']
['196', '347']
['368', '384']
['319', '144']
['295', '377']
['341', '324']
['104', '335']
['149', '340']
['329', '17']
['379', '144']
['215', '85']
['48', '13']
['273', '236']
['280', '303']
['311', '378']
['37', '229']
['372', '355']
['388', '140']
['365', '386']
['359', '10']
['240', '250']
['90', '226']
['322', '272']
['150', '135']
['215', '121']
['230', '293']
['178', '104']
['63', '34']
['389', '230']
['16', '278']
['114', '125']
['215', '254']
['312', '355']
['68', '348']
['352', '291']
['170', '181']
['293', '195']
['364', '58']
['234', '223']
['268', '7']
['257', '252']
['231', '209']
['26', '276']
['398', '340']
['215', '260']
['136', '361']
['358', '356']
['368', '224']
['300', '181']
['281', '23']
['259', '58']
['299', '164']
['170', '301']
['112', '7']
['154', '44']
['240', '177']
['240', '215']
['389', '263']
['143', '23']
['161', '249']
['294', '318']
['126', '171']
['314', '380']
['76', '334']
['215', '156']
['325', '313']
['215', '42']
['240', '40']
['332', '337']
['364', '326']
['240', '359']
['202', '169']
['20', '48']
['264', '50']
['189', '93']
['139', '375']
['279', '171']
['279', '190']
['184', '102']
['215', '191']
['115', '113']
['316', '284']
['232', '376']
['297', '77']
['157', '177']
['215', '76']
['272', '256']
['130', '34']
['192', '255']
['26', '134']
['63', '377']
['196', '153']
['350', '173']
['389', '179']
['279', '36']
['389', '279']
['74', '44']
['15', '350']
['171', '61']
['389', '78']
['50', '283']
['171', '36']
['207', '144']
['114', '265']
['306', '289']
['240', '225']
['321', '378']
['240', '368']
['174', '230']
['268', '334']
['111', '120']
['240', '313']
['215', '214']
['192', '375']
['189', '237']
['308', '50']
['79', '127']
['217', '335']
['190', '36']
['159', '348']
['228', '211']
['152', '342']
['65', '38']
['363', '162']
['131', '331']
['199', '272']
['248', '195']
['206', '370']
['389', '71']
['199', '33']
['103', '176']
['274', '206']
['127', '281']
['22', '159']
['276', '385']
['368', '95']
['316', '132']
['240', '337']
['313', '221']
['242', '165']
['218', '34']
['308', '60']
['364', '394']
['153', '138']
['386', '205']
['313', '102']
['215', '232']
['99', '24']
['141', '133']
['42', '311']
['279', '61']
['169', '282']
['37', '201']
['297', '373']
['70', '355']
['245', '386']
['113', '2']
['110', '238']
['389', '217']
['395', '0']
['16', '64']
['117', '67']
['215', '119']
['18', '90']
['363', '211']
['240', '278']
['263', '88']
['14', '376']
['362', '66']
['360', '108']
['214', '326']
['284', '132']
['292', '226']
['25', '132']
['149', '252']
['176', '93']
['108', '253']
['319', '3']
['117', '193']
['388', '204']
['263', '198']
['3', '144']
['390', '304']
['250', '397']
['215', '310']
['168', '267']
['47', '137']
['43', '27']
['240', '341']
['188', '230']
['258', '310']
['351', '31']
['79', '94']
['231', '208']
['367', '355']
['217', '213']
['161', '172']
['130', '377']
['201', '229']
['325', '184']
['39', '2']
['239', '220']
['215', '372']
['389', '16']
['172', '371']
['137', '53']
['379', '3']
['323', '40']
['317', '64']
['219', '21']
['332', '329']
['92', '105']
['121', '136']
['1', '224']
['215', '91']
['240', '171']
['349', '340']
['143', '94']
['389', '309']
['342', '123']
['240', '75']
['177', '266']
['341', '71']
['372', '70']
['286', '382']
['215', '322']
['89', '106']
['52', '318']
['54', '39']
['16', '275']
['250', '147']
['240', '192']
['84', '282']
['369', '140']
['53', '29']
['199', '261']
['387', '167']
['381', '203']
['270', '344']
['317', '275']
['72', '147']
['154', '304']
['324', '24']
['162', '163']
['360', '247']
['389', '161']
['215', '174']
['105', '212']
['121', '361']
['28', '353']
['389', '352']
['276', '134']
['131', '296']
['395', '148']
['115', '2']
['191', '318']
['214', '58']
['94', '281']
['387', '260']
['215', '202']
['374', '313']
['362', '91']
['106', '241']
['83', '142']
['307', '27']
['18', '38']
['305', '284']
['154', '390']
['244', '73']
['205', '165']
['299', '311']
['167', '197']
['47', '396']
['240', '30']
['337', '17']
['65', '292']
['341', '99']
['103', '189']
['389', '143']
['286', '172']
['271', '396']
['389', '267']
['18', '226']
['111', '346']
['333', '120']
['258', '97']
['96', '243']
['16', '69']
['1', '384']
['317', '69']
['89', '85']
['286', '371']
['334', '7']
['160', '335']
['225', '320']
['232', '173']
['232', '350']
['305', '132']
['22', '156']
['240', '129']
['257', '398']
['148', '86']
['32', '289']
['196', '343']
['240', '50']
['367', '312']
