30
39
['27', '4']
['27', '10', '15']
['27', '26', '24']
['28', '4']
['28', '15', '14']
['28', '20', '25']
['29', '7']
['29', '15', '10']
['29', '23', '19']
['270', '1']
['270', '12', '11']
['270', '24', '25']
['270', '32', '35']
['270', '38', '44']
['270', '49', '48']
['270', '55', '57']
['270', '68', '64']
['270', '75', '74']
['270', '84', '88']
['270', '97', '94']
['270', '107', '101']
['270', '115', '111']
['270', '118', '121']
['270', '129', '134']
['270', '140', '143']
['270', '152', '145']
['270', '154', '155']
['270', '170', '164']
['270', '179', '173']
['270', '182', '181']
['270', '190', '191']
['270', '203', '200']
['270', '214', '209']
['270', '222', '217']
['270', '229', '226']
['270', '240', '239']
['270', '244', '250']
['270', '260', '256']
['270', '266', '268']
['271', '4']
['271', '15', '13']
['271', '26', '21']
['271', '34', '29']
['271', '40', '37']
['271', '53', '52']
['271', '58', '57']
['271', '68', '66']
['271', '80', '73']
['271', '89', '84']
['271', '94', '95']
['271', '100', '103']
['271', '114', '116']
['271', '120', '123']
['271', '131', '128']
['271', '136', '138']
['271', '150', '146']
['271', '159', '160']
['271', '166', '168']
['271', '176', '177']
['271', '183', '185']
['271', '197', '192']
['271', '204', '201']
['271', '212', '210']
['271', '219', '222']
['271', '229', '231']
['271', '235', '240']
['271', '245', '248']
['271', '259', '253']
['271', '267', '266']
['272', '1']
['272', '12', '13']
['272', '19', '25']
['272', '34', '35']
['272', '40', '43']
['272', '46', '52']
['272', '56', '59']
['272', '70', '68']
['272', '77', '79']
['272', '82', '84']
['272', '94', '96']
['272', '100', '101']
['272', '112', '113']
['272', '122', '125']
['272', '129', '130']
['272', '139', '142']
['272', '149', '151']
['272', '161', '160']
['272', '169', '166']
['272', '175', '179']
['272', '182', '184']
['272', '193', '192']
['272', '200', '205']
['272', '214', '211']
['272', '221', '217']
['272', '229', '227']
['272', '242', '239']
['272', '249', '251']
['272', '254', '255']
['272', '268', '264']
['273', '8']
['273', '16', '13']
['273', '23', '24']
['273', '33', '28']
['273', '37', '40']
['273', '48', '50']
['273', '57', '55']
['273', '65', '67']
['273', '75', '76']
['273', '84', '82']
['273', '97', '96']
['273', '107', '106']
['273', '114', '116']
['273', '121', '118']
['273', '132', '133']
['273', '142', '140']
['273', '146', '149']
['273', '161', '160']
['273', '164', '170']
['273', '173', '175']
['273', '188', '184']
['273', '193', '196']
['273', '201', '206']
['273', '210', '209']
['273', '223', '218']
['273', '231', '226']
['273', '242', '241']
['273', '247', '251']
['273', '253', '260']
['273', '268', '265']
['274', '1']
['274', '12', '13']
['274', '26', '23']
['274', '34', '30']
['274', '42', '43']
['274', '48', '53']
['274', '61', '60']
['274', '70', '64']
['274', '79', '74']
['274', '85', '86']
['274', '95', '96']
