10
30
['233', '121', '9', '214', '160', '19', '229', '11', '212', '201']
['140', '15', '114', '146', '179', '77', '45', '185', '72', '201']
['240', '69', '95', '47', '51', '71', '59', '37', '67', '0']
['74', '70', '112', '207', '51', '77', '55', '37', '116', '220']
['54', '121', '9', '78', '123', '39', '94', '199', '107', '58']
['74', '38', '33', '24', '242', '22', '243', '106', '234', '178']
['63', '17', '142', '207', '174', '131', '5', '219', '118', '96']
['168', '17', '161', '20', '248', '231', '97', '11', '169', '220']
['56', '205', '166', '24', '177', '115', '5', '106', '230', '48']
['102', '36', '111', '47', '215', '238', '228', '42', '212', '222']
['4', '143', '75', '192', '226', '22', '164', '219', '129', '178']
['1', '121', '165', '124', '216', '71', '65', '199', '230', '31']
['159', '70', '33', '124', '120', '241', '132', '245', '239', '155']
['190', '82', '28', '175', '248', '236', '130', '176', '107', '92']
['159', '167', '8', '163', '215', '217', '130', '235', '208', '13']
['1', '113', '166', '192', '51', '43', '97', '245', '239', '210']
['1', '38', '157', '175', '174', '204', '130', '235', '193', '210']
['74', '70', '9', '24', '174', '39', '34', '245', '230', '222']
['159', '113', '88', '24', '149', '196', '132', '62', '239', '6']
['56', '69', '112', '73', '177', '87', '172', '126', '116', '0']
['49', '46', '122', '154', '226', '231', '65', '219', '147', '189']
['159', '103', '157', '60', '141', '19', '50', '76', '108', '222']
['74', '89', '88', '78', '160', '196', '86', '126', '72', '6']
['240', '195', '114', '93', '174', '14', '228', '198', '107', '83']
['26', '85', '232', '207', '177', '138', '135', '194', '72', '0']
['233', '121', '157', '213', '21', '71', '223', '219', '239', '178']
['12', '103', '28', '213', '27', '71', '119', '25', '212', '31']
['10', '249', '100', '154', '120', '22', '45', '235', '101', '162']
['159', '15', '144', '7', '151', '19', '229', '11', '206', '182']
['137', '89', '161', '247', '177', '22', '243', '199', '170', '182']
['54', '249', '142', '213', '179', '150', '172', '176', '170', '41']
['190', '32', '8', '78', '179', '22', '172', '235', '84', '83']
['159', '30', '224', '78', '151', '204', '5', '184', '67', '41']
['74', '205', '95', '188', '215', '153', '5', '126', '116', '31']
['140', '113', '191', '192', '216', '115', '34', '156', '101', '178']
['63', '121', '144', '188', '248', '236', '97', '25', '212', '0']
['168', '36', '142', '247', '61', '22', '94', '126', '230', '201']
['3', '167', '112', '73', '61', '196', '5', '184', '234', '31']
['26', '85', '166', '73', '242', '105', '34', '176', '169', '96']
['74', '143', '9', '81', '149', '105', '79', '235', '206', '222']
['190', '89', '75', '73', '179', '217', '223', '62', '29', '189']
['56', '121', '88', '117', '120', '238', '65', '106', '206', '178']
['109', '244', '75', '207', '149', '14', '228', '76', '101', '53']
['74', '32', '95', '124', '123', '241', '86', '183', '18', '58']
['159', '121', '157', '214', '123', '77', '172', '37', '234', '210']
['159', '249', '246', '93', '141', '14', '229', '219', '129', '202']
['102', '103', '122', '247', '226', '150', '5', '11', '234', '178']
['173', '167', '232', '24', '218', '231', '119', '126', '107', '0']
['190', '91', '9', '163', '51', '211', '172', '11', '101', '83']
['173', '82', '165', '192', '123', '128', '50', '2', '118', '92']
