['416', '7', '137', '370', '327']
['151', '206', '471', '393', '171']
['144', '80', '112', '259', '131']
['452', '67', '98', '402', '143']
['467', '329', '107', '429', '185']
['133', '202', '134', '411', '330']
['95', '127', '182', '282', '222']
['430', '162', '177', '390', '486']
['449', '271', '483', '489', '423']
['47', '318', '343', '174', '427']
['494', '77', '124', '374', '447']
['239', '96', '365', '269', '363']
['142', '179', '223', '5', '436']
['446', '401', '111', '406', '405']
['307', '138', '28', '78', '257']
['354', '150', '203', '15', '88']
['379', '135', '473', '52', '355']
['306', '163', '469', '42', '172']
['453', '481', '200', '442', '217']
['477', '289', '65', '349', '381']
['213', '157', '238', '475', '81']
['62', '385', '69', '316', '33']
['63', '302', '387', '422', '479']
['158', '218', '484', '4', '35']
['10', '319', '303', '20', '265']
['40', '123', '371', '167', '193']
['339', '466', '34', '275', '456']
['195', '268', '153', '93', '342']
['233', '210', '396', '76', '126']
['369', '383', '178', '464', '11']
['292', '201', '391', '287', '57']
['482', '70', '110', '281', '308']
['492', '244', '101', '241', '166']
['497', '441', '84', '55', '382']
['357', '264', '51', '266', '428']
['59', '487', '276', '154', '284']
['188', '426', '56', '291', '409']
['159', '460', '310', '279', '66']
['435', '74', '39', '156', '117']
['26', '395', '211', '272', '1']
['459', '398', '165', '3', '283']
['216', '410', '189', '344', '220']
['149', '274', '197', '351', '415']
['90', '498', '326', '191', '170']
['230', '128', '438', '417', '148']
['41', '16', '252', '118', '92']
['48', '181', '359', '463', '325']
['364', '64', '125', '72', '146']
['491', '334', '392', '108', '445']
['184', '367', '49', '215', '221']
['305', '397', '301', '375', '173']
['229', '145', '297', '114', '328']
['8', '115', '480', '245', '345']
['474', '358', '164', '19', '226']
['286', '270', '190', '43', '490']
['350', '425', '207', '298', '71']
['139', '54', '320', '102', '353']
['251', '457', '23', '246', '280']
['18', '313', '86', '408', '168']
['130', '372', '50', '232', '347']
['46', '240', '147', '261', '315']
['249', '186', '212', '120', '420']
['300', '311', '61', '247', '79']
['6', '75', '424', '413', '437']
['496', '455', '295', '312', '13']
['94', '104', '24', '493', '337']
['462', '444', '89', '224', '192']
['384', '368', '421', '433', '140']
['196', '22', '362', '472', '407']
['248', '2', '234', '356', '152']
['465', '263', '85', '21', '30']
['336', '141', '258', '277', '352']
['389', '321', '450', '377', '169']
['180', '132', '476', '183', '290']
['175', '36', '44', '237', '338']
['309', '335', '105', '129', '106']
['254', '404', '109', '29', '394']
['346', '440', '256', '470', '332']
['443', '314', '340', '278', '82']
['419', '91', '231', '361', '448']
['322', '439', '121', '83', '366']
['122', '331', '273', '324', '27']
['360', '99', '323', '97', '227']
['194', '458', '376', '333', '485']
['418', '37', '242', '12', '451']
['461', '73', '386', '205', '198']
['434', '14', '68', '285', '399']
['31', '288', '412', '250', '119']
['32', '255', '17', '100', '317']
['38', '414', '293', '262', '9']
['199', '253', '60', '58', '161']
['228', '214', '219', '403', '341']
['348', '388', '296', '294', '495']
['304', '136', '373', '378', '53']
['116', '225', '103', '299', '478']
['267', '400', '0', '87', '208']
['431', '155', '113', '454', '235']
['187', '236', '25', '209', '432']
['488', '160', '260', '468', '499']
['204', '45', '380', '243', '176']
