['491', '393', '724']
['399', '8', '346']
['224', '824', '473']
['72', '285', '712']
['722', '276', '618']
['184', '642', '331']
['560', '39', '170']
['57', '325', '717']
['203', '461', '207']
['812', '205', '78']
['835', '347', '283']
['419', '693', '749']
['675', '580', '377']
['323', '345', '302']
['151', '753', '648']
['836', '726', '24']
['777', '169', '409']
['223', '442', '459']
['739', '293', '252']
['341', '608', '624']
['313', '843', '514']
['94', '294', '695']
['195', '516', '26']
['262', '312', '400']
['388', '525', '410']
['97', '690', '51']
['833', '263', '423']
['665', '610', '219']
['424', '17', '289']
['210', '31', '466']
['659', '584', '670']
['71', '208', '652']
['774', '66', '460']
['673', '428', '314']
['322', '780', '179']
['327', '505', '63']
['405', '138', '175']
['602', '613', '735']
['333', '46', '489']
['823', '628', '827']
['467', '249', '32']
['98', '709', '80']
['556', '307', '754']
['73', '225', '126']
['788', '308', '686']
['273', '592', '352']
['265', '819', '478']
['43', '29', '443']
['732', '318', '173']
['555', '120', '21']
['745', '501', '50']
['731', '338', '364']
['91', '439', '644']
['253', '10', '804']
['336', '176', '838']
['748', '579', '767']
['492', '620', '813']
['728', '42', '130']
['135', '831', '497']
['545', '456', '783']
['588', '625', '48']
['537', '108', '297']
['164', '348', '143']
['128', '222', '374']
['475', '790', '58']
['794', '213', '53']
['340', '52', '282']
['570', '587', '595']
['764', '142', '535']
['713', '33', '484']
['337', '667', '84']
['715', '510', '369']
['837', '317', '166']
['335', '154', '429']
['111', '811', '365']
['413', '472', '11']
['305', '568', '239']
['669', '155', '35']
['354', '654', '598']
['499', '216', '694']
['616', '18', '234']
['329', '449', '261']
['581', '141', '132']
['174', '4', '270']
['558', '760', '733']
['194', '638', '632']
['366', '115', '757']
['185', '230', '140']
['778', '290', '382']
['674', '808', '815']
['488', '557', '582']
['470', '612', '551']
['518', '14', '548']
['93', '781', '112']
['479', '257', '765']
['506', '144', '676']
['167', '623', '569']
['49', '685', '643']
['653', '554', '181']
['392', '502', '448']
['611', '396', '23']
['691', '422', '168']
['371', '367', '445']
['682', '64', '552']
['451', '187', '355']
['226', '301', '519']
['540', '486', '734']
['841', '119', '103']
['816', '572', '465']
['727', '414', '636']
['418', '272', '779']
['736', '191', '571']
['776', '761', '799']
['75', '714', '769']
['292', '705', '260']
['13', '152', '242']
['463', '615', '306']
['662', '300', '678']
['826', '121', '697']
['798', '430', '596']
['782', '244', '806']
['22', '316', '574']
['360', '834', '332']
['771', '124', '599']
['383', '62', '156']
['320', '498', '129']
['720', '412', '315']
['278', '597', '384']
['482', '212', '3']
['635', '807', '6']
['436', '822', '591']
['363', '626', '36']
['751', '394', '661']
['604', '68', '47']
['527', '407', '379']
['532', '549', '522']
['386', '38', '343']
['56', '747', '139']
['349', '406', '702']
['279', '411', '28']
['2', '512', '118']
['614', '444', '378']
['651', '267', '342']
['655', '553', '401']
['92', '680', '531']
['550', '408', '458']
['350', '649', '455']
['85', '211', '104']
['109', '158', '82']
['171', '296', '485']
['666', '385', '578']
['426', '672', '269']
['509', '89', '814']
['657', '507', '427']
['209', '433', '0']
['789', '471', '172']
['240', '295', '277']
['304', '291', '161']
['796', '145', '148']
['559', '264', '339']
['825', '658', '607']
['113', '258', '254']
['706', '797', '617']
['81', '232', '719']
['544', '520', '500']
['640', '521', '723']
['351', '699', '763']
['395', '37', '206']
['131', '425', '16']
['202', '830', '19']
['188', '247', '236']
['105', '59', '508']
['403', '235', '255']
['541', '766', '606']
['375', '567', '791']
['67', '250', '809']
['793', '310', '538']
['163', '15', '844']
['54', '477', '576']
['534', '192', '663']
['840', '605', '70']
['677', '102', '196']
['237', '817', '742']
['758', '246', '529']
['177', '95', '468']
['402', '452', '629']
['159', '389', '238']
['344', '193', '546', '150']
['603', '431', '69', '487']
['334', '398', '286', '526']
['390', '641', '326', '41']
['711', '44', '743', '601']
['256', '359', '149', '421']
['25', '165', '566', '12']
['303', '740', '447', '573']
['594', '110', '530', '515']
['266', '583', '457', '233']
['182', '9', '561', '87']
['116', '65', '621', '358']
['417', '361', '197', '147']
['462', '248', '523', '77']
['716', '820', '741', '61']
['768', '183', '671', '725']
['821', '752', '136', '100']
['565', '391', '45', '634']
['356', '284', '440', '656']
['619', '630', '750', '420']
['517', '387', '650', '107']
['730', '1', '687', '818']
['575', '476', '259', '759']
['299', '493', '586', '353']
['204', '708', '721', '227']
['536', '99', '441', '7']
['513', '114', '469', '231']
['800', '79', '186', '146']
['319', '795', '494', '27']
['251', '362', '770', '198']
['157', '90', '245', '785']
['664', '593', '123', '622']
['330', '832', '357', '802']
['483', '668', '201', '288']
['220', '404', '543', '450']
['703', '490', '133', '577']
['178', '562', '432', '287']
['55', '199', '298', '784']
['829', '243', '839', '496']
['376', '137', '746', '218']
['453', '215', '547', '189']
['373', '524', '368', '700']
['20', '435', '268', '101']
['633', '646', '274', '134']
['718', '480', '370', '631']
['528', '464', '160', '533']
['309', '704', '40', '311']
['503', '639', '828', '446']
['86', '434', '495', '688']
['5', '772', '280', '698']
['397', '214', '609', '34']
['660', '328', '737', '380']
['600', '786', '681', '792']
['701', '30', '74', '539']
['324', '810', '504', '590']
['127', '692', '645', '372']
['162', '707', '805', '696']
['229', '415', '60', '416']
['200', '241', '217', '787']
['454', '564', '637', '679']
['585', '589', '83', '281']
['710', '437', '275', '221']
['684', '689', '76', '117']
['481', '153', '96', '106']
['563', '438', '381', '511']
['627', '647', '125', '271']
['755', '321', '228', '190']
['762', '683', '775', '122']
['474', '842', '180', '756']
['801', '738', '803', '744']
['542', '773', '88', '729']
