50
10
['138', '321']
['193', '13']
['159', '356']
['61', '300']
['471', '278']
['232', '231']
['476', '175']
['89', '264']
['42', '354']
['89', '363']
['263', '240']
['335', '36']
['352', '306']
['319', '465']
['388', '456']
['283', '436']
['186', '435']
['269', '465']
['63', '56']
['467', '257']
['296', '223']
['327', '215']
['374', '83']
['3', '8']
['219', '236']
['20', '114']
['407', '162']
['328', '41']
['71', '132']
['388', '358']
['446', '56']
['273', '474']
['160', '278']
['109', '6']
['489', '26']
['183', '214']
['115', '437']
['99', '482']
['333', '313']
['325', '21']
['4', '489']
['300', '477']
['265', '134']
['395', '120']
['338', '253']
['194', '89']
['23', '37']
['145', '193']
['208', '325']
['343', '14']
['54', '65']
['269', '79']
['39', '221']
['162', '337']
['171', '222']
['244', '327']
['273', '222']
['243', '137']
['145', '61']
['230', '292']
['250', '139']
['366', '218']
['417', '430']
['78', '406']
['226', '120']
['229', '257']
['1', '155']
['379', '162']
['14', '419']
['333', '486']
['46', '39']
['195', '64']
['125', '284']
['2', '59']
['377', '172']
['107', '335']
['251', '24']
['386', '263']
['91', '214']
['256', '340']
['376', '95']
['460', '183']
['400', '0']
['396', '276']
['368', '412']
['293', '281']
['61', '195']
['66', '54']
['471', '5']
['330', '151']
['202', '456']
['476', '233']
['46', '475']
['490', '253']
['334', '1']
['286', '55']
['16', '438']
['149', '22']
['406', '205']
['231', '129']
['498', '492']
['477', '337']
['237', '368']
['191', '204']
['30', '14']
['73', '300']
['10', '378']
['190', '187']
['477', '155']
['333', '62']
['37', '64']
['43', '385']
['461', '302']
['106', '455']
['327', '219']
['385', '234']
['63', '445']
['94', '333']
['88', '119']
['344', '471']
['103', '262']
['111', '209']
['389', '395']
['167', '43']
['276', '341']
['155', '487']
['10', '493']
['28', '220']
['471', '115']
['409', '214']
['280', '383']
['286', '48']
['275', '144']
['484', '2']
['350', '134']
['484', '109']
['230', '244']
['483', '63']
['308', '106']
['247', '310']
['69', '205']
['27', '312']
['379', '453']
['50', '158']
['328', '345']
['132', '228']
['470', '412']
['259', '191']
['412', '249']
['293', '443']
['357', '477']
['225', '385']
['462', '426']
['465', '459']
['159', '86']
['344', '247']
['131', '199']
['445', '134']
['393', '420']
['338', '87']
['91', '170']
['469', '178']
['336', '484']
['74', '425']
['328', '290']
['393', '244']
['365', '380']
['74', '102']
['359', '74']
['193', '33']
['55', '247']
['283', '41']
['29', '239']
['333', '311']
['352', '143']
['293', '395']
['128', '62']
['271', '308']
['288', '156']
['10', '7']
['376', '197']
['92', '84']
['409', '71']
['362', '432']
['427', '220']
['12', '44']
['205', '392']
['54', '358']
['34', '391']
['465', '283']
['167', '379']
['462', '120']
['469', '201']
['170', '497']
['253', '111']
['331', '494']
['411', '63']
['335', '81']
['152', '385']
['281', '475']
['243', '92']
['456', '161']
['47', '411']
['52', '270']
['84', '404']
['164', '169']
['83', '344']
['268', '384']
['116', '146']
['308', '58']
['156', '45']
['275', '440']
['116', '431']
['149', '303']
['494', '288']
['25', '365']
['301', '55']
['282', '305']
['40', '145']
['283', '45']
['78', '15']
['47', '269']
['148', '205']
['429', '417']
['478', '451']
['45', '183']
['451', '223']
['268', '497']
['135', '253']
['286', '373']
['172', '159']
['255', '40']
['242', '41']
['185', '356']
['279', '396']
['453', '186']
['442', '435']
['468', '305']
['323', '105']
['172', '251']
['304', '429']
['385', '110']
['404', '205']
['237', '81']
['44', '374']
['14', '4']
['239', '103']
['216', '268']
['184', '435']
['127', '263']
['179', '472']
['121', '329']
['212', '392']
['55', '19']
['30', '470']
['127', '224']
['131', '103']
['204', '350']
['82', '137']
['336', '489']
['323', '157']
['183', '55']
['333', '131']
['486', '218']
['221', '21']
['436', '442']
['239', '406']
['103', '476']
['277', '243']
['67', '363']
['392', '415']
['145', '80']
['412', '466']
['467', '199']
['194', '358']
['294', '168']
['327', '481']
['184', '71']
['169', '270']
['223', '456']
['305', '435']
['226', '77']
['204', '301']
['307', '434']
['8', '246']
['1', '344']
['394', '32']
['265', '478']
['360', '162']
['24', '161']
['4', '489']
['228', '19']
['412', '116']
['464', '395']
['247', '337']
['193', '208']
['42', '375']
['374', '196']
['232', '230']
['329', '359']
['188', '70']
['202', '274']
['469', '336']
['2', '56']
['398', '178']
['351', '232']
['412', '56']
['152', '497']
['182', '114']
['376', '261']
['480', '209']
['462', '347']
['306', '153']
['135', '460']
['367', '260']
['103', '17']
['401', '402']
['105', '457']
['14', '196']
['240', '473']
['346', '218']
['306', '153']
['105', '252']
['80', '372']
['425', '452']
['220', '339']
['125', '25']
['34', '92']
['225', '498']
['344', '146']
['175', '201']
['65', '39']
['469', '269']
['392', '339']
['364', '6']
['246', '175']
['256', '246']
['70', '44']
['469', '428']
['346', '425']
['491', '218']
['360', '322']
['237', '77']
['272', '436']
['409', '15']
['126', '81']
['267', '242']
['343', '149']
['197', '322']
['129', '175']
['392', '59']
['210', '197']
['139', '94']
['203', '61']
['162', '484']
['410', '473']
['416', '390']
['369', '253']
['442', '289']
['411', '24']
['229', '350']
['491', '438']
['217', '450']
['95', '165']
['73', '425']
['350', '464']
['283', '271']
['184', '346']
['84', '167']
['68', '257']
['121', '35']
['430', '230']
['238', '499']
['308', '325']
['318', '272']
['491', '49']
['479', '228']
['152', '221']
['199', '358']
['267', '182']
['280', '155']
['25', '427']
['348', '50']
['282', '491']
['209', '353']
['186', '46']
['223', '390']
['150', '328']
['403', '416']
['191', '62']
['491', '54']
['155', '223']
['212', '87']
['188', '256']
['360', '271']
['83', '148']
['216', '396']
['106', '421']
['11', '61']
['226', '120']
['261', '483']
['393', '144']
['278', '319']
['235', '488']
['103', '479']
['83', '296']
['102', '425']
['488', '283']
['305', '237']
['203', '412']
['247', '72']
['299', '419']
['391', '174']
['130', '389']
['152', '83']
['146', '201']
['353', '103']
['34', '161']
['191', '368']
['419', '368']
['482', '62']
['454', '404']
['354', '53']
['66', '193']
['283', '128']
['497', '242']
['395', '230']
