['65', '98', '162', '100', '191', '194', '261', '321', '105', '358', '301', '112', '241', '370', '117', '118', '150', '381', '350', '95']
['352', '259', '196', '292', '103', '72', '104', '167', '75', '107', '170', '236', '111', '272', '299', '83', '316', '376', '187', '156']
['128', '66', '355', '132', '165', '74', '171', '395', '141', '110', '397', '369', '181', '119', '151', '121', '315', '380', '125', '287']
['163', '133', '317', '361', '123', '364', '142', '15', '80', '81', '113', '144', '147', '244', '302', '312', '253', '27', '93', '159']
['248', '99', '131', '101', '134', '166', '168', '326', '106', '138', '346', '174', '348', '30', '120', '126', '158', '124', '94', '127']
['226', '228', '325', '327', '137', '329', '173', '269', '143', '177', '311', '339', '212', '214', '183', '184', '153', '154', '157', '223']
['161', '130', '164', '39', '218', '297', '172', '300', '366', '398', '176', '178', '220', '148', '371', '278', '217', '186', '188', '190']
['160', '384', '195', '344', '102', '135', '264', '140', '205', '219', '175', '304', '334', '84', '180', '247', '216', '250', '155', '343']
['129', '193', '258', '260', '169', '206', '79', '367', '378', '82', '146', '52', '116', '149', '182', '152', '189', '211', '60', '61']
['96', '192', '293', '199', '201', '234', '139', '109', '237', '399', '208', '145', '210', '115', '179', '373', '379', '215', '249', '59']
['318', '257', '291', '197', '198', '231', '357', '298', '238', '271', '337', '274', '338', '20', '277', '374', '377', '314', '251', '254']
['0', '289', '290', '3', '324', '229', '230', '389', '360', '330', '11', '14', '270', '49', '307', '22', '23', '280', '25', '284']
['1', '322', '385', '386', '262', '263', '202', '235', '331', '365', '239', '335', '372', '245', '246', '341', '122', '375', '382', '255']
['32', '256', '288', '227', '356', '388', '6', '7', '328', '9', '10', '76', '108', '268', '207', '16', '17', '368', '19', '308']
['353', '2', '4', '5', '391', '8', '136', '233', '267', '12', '13', '333', '393', '273', '18', '85', '213', '24', '313', '347']
['64', '97', '224', '67', '387', '351', '295', '359', '390', '396', '209', '309', '310', '87', '88', '91', '279', '349', '62', '319']
['320', '200', '296', '362', '282', '77', '46', '47', '78', '240', '50', '242', '276', '336', '340', '342', '57', '26', '92', '222']
['225', '185', '68', '69', '323', '40', '265', '345', '203', '204', '363', '303', '305', '51', '243', '89', '90', '283', '285', '383']
['33', '354', '36', '38', '71', '294', '41', '394', '48', '63', '114', '275', '21', '54', '55', '221', '281', '28', '29', '31']
['34', '35', '37', '70', '232', '73', '42', '43', '44', '45', '266', '332', '392', '306', '53', '86', '56', '58', '252', '286']
