5
10
['3', '10', '26', '37', '42']
['0', '17', '28', '37', '48']
['0', '19', '28', '38', '49']
['4', '16', '27', '33', '45']
['2', '11', '26', '39', '43']
['9', '16', '20', '30', '46']
['5', '15', '29', '32', '42']
['8', '15', '26', '37', '46']
['0', '11', '29', '35', '40']
['3', '12', '26', '37', '49']
['2', '15', '21', '37', '45']
['8', '12', '24', '37', '46']
['2', '12', '29', '34', '40']
['5', '16', '25', '39', '46']
['9', '18', '22', '38', '47']
['6', '13', '23', '34', '44']
['1', '12', '26', '39', '43']
['1', '10', '26', '34', '48']
['0', '19', '20', '36', '46']
['4', '12', '26', '30', '44']
['6', '18', '23', '38', '44']
['7', '12', '28', '36', '49']
['1', '16', '27', '38', '43']
['5', '16', '25', '32', '41']
['5', '16', '26', '32', '45']
['9', '19', '24', '38', '48']
['1', '10', '25', '32', '40']
['7', '14', '29', '33', '46']
['7', '17', '20', '30', '46']
['5', '14', '23', '36', '44']
['3', '13', '25', '37', '46']
['3', '18', '25', '36', '46']
['9', '12', '22', '33', '45']
['2', '12', '24', '35', '44']
['0', '18', '21', '35', '41']
['8', '11', '21', '32', '48']
['0', '15', '22', '39', '42']
['5', '11', '27', '38', '44']
['4', '16', '27', '32', '41']
['2', '14', '25', '35', '43']
['9', '15', '29', '31', '49']
['0', '15', '22', '38', '45']
['0', '10', '26', '32', '45']
['2', '16', '26', '38', '48']
['1', '10', '20', '34', '47']
['0', '19', '28', '37', '43']
['8', '15', '22', '39', '43']
['3', '17', '28', '38', '44']
['6', '10', '20', '32', '48']
['1', '16', '21', '37', '42']
['6', '13', '29', '31', '43']
['1', '16', '29', '35', '44']
['8', '13', '20', '32', '49']
['0', '15', '24', '39', '43']
['2', '10', '20', '36', '41']
['0', '19', '21', '36', '46']
['0', '17', '29', '37', '40']
['1', '16', '29', '38', '49']
['1', '19', '21', '33', '44']
['7', '13', '22', '36', '42']
['6', '13', '27', '38', '48']
['7', '13', '23', '31', '49']
['2', '15', '28', '38', '43']
['9', '18', '26', '30', '47']
['7', '11', '29', '30', '40']
['8', '14', '25', '35', '48']
['3', '10', '23', '35', '49']
['1', '18', '28', '31', '45']
['2', '17', '29', '33', '45']
['2', '12', '24', '32', '43']
['6', '12', '23', '31', '45']
['6', '15', '26', '34', '47']
['3', '18', '20', '35', '40']
['3', '11', '23', '34', '42']
['6', '14', '29', '37', '41']
['8', '18', '24', '34', '44']
['6', '14', '24', '39', '46']
['3', '17', '28', '35', '45']
['9', '14', '25', '31', '42']
['5', '13', '27', '36', '44']
['8', '18', '25', '36', '44']
['5', '17', '27', '35', '48']
['8', '16', '29', '37', '49']
['6', '13', '29', '30', '44']
['3', '13', '23', '37', '48']
['8', '11', '21', '33', '44']
['9', '14', '22', '36', '45']
['2', '19', '26', '34', '44']
['0', '16', '21', '36', '45']
['8', '18', '20', '35', '42']
['4', '13', '21', '31', '46']
['6', '15', '25', '36', '49']
['6', '19', '24', '38', '44']
['5', '15', '21', '30', '44']
['5', '15', '22', '30', '49']
['4', '15', '29', '37', '43']
['8', '13', '25', '38', '42']
['3', '19', '24', '35', '43']
['1', '13', '28', '33', '49']
['5', '17', '25', '36', '47']
