['499', '300', '642', '101', '829', '279', '37', '605', '604', '476', '477', '596', '774', '732', '255', '431', '981', '389', '236', '898']
['432', '211', '447', '283', '534', '272', '419', '43', '90', '876', '530', '945', '14', '705', '381', '313', '219', '787', '593', '634']
['223', '967', '747', '454', '845', '953', '405', '611', '675', '10', '621', '916', '329', '357', '977', '803', '474', '327', '36', '122']
['121', '149', '180', '271', '424', '855', '321', '181', '141', '173', '386', '936', '515', '601', '875', '920', '145', '571', '850', '990']
['160', '257', '434', '749', '773', '628', '23', '552', '487', '293', '619', '667', '2', '879', '242', '350', '397', '940', '939', '546']
['796', '183', '266', '105', '69', '688', '761', '84', '599', '673', '544', '407', '542', '724', '110', '955', '308', '484', '768', '523']
['535', '985', '384', '460', '866', '522', '93', '809', '734', '199', '782', '446', '51', '576', '684', '87', '113', '833', '647', '209']
['799', '201', '274', '420', '42', '452', '800', '482', '40', '819', '290', '679', '402', '307', '553', '318', '27', '863', '648', '929']
['413', '7', '392', '810', '161', '626', '815', '399', '919', '114', '331', '436', '583', '607', '301', '755', '186', '388', '176', '923']
['289', '404', '917', '280', '136', '248', '798', '444', '864', '514', '748', '711', '767', '17', '246', '109', '987', '665', '205', '323']
['878', '562', '491', '794', '336', '216', '368', '467', '908', '77', '691', '461', '820', '942', '735', '758', '785', '520', '100', '914']
['538', '358', '685', '822', '557', '267', '726', '913', '897', '694', '231', '717', '889', '449', '531', '843', '190', '745', '862', '994']
['582', '551', '24', '475', '265', '226', '463', '567', '385', '316', '847', '973', '428', '218', '359', '978', '281', '518', '298', '968']
['828', '720', '935', '507', '903', '164', '92', '925', '660', '21', '764', '909', '97', '948', '260', '934', '306', '860', '315', '224']
['32', '842', '129', '966', '727', '473', '943', '733', '579', '188', '28', '723', '827', '132', '379', '204', '30', '116', '472', '333']
['91', '710', '738', '98', '640', '230', '346', '884', '965', '590', '115', '537', '9', '435', '170', '394', '508', '45', '541', '72']
['375', '127', '760', '162', '466', '108', '666', '317', '816', '600', '217', '278', '528', '347', '158', '489', '380', '159', '548', '617']
['633', '387', '140', '430', '167', '802', '906', '681', '550', '44', '238', '559', '273', '468', '805', '597', '139', '779', '68', '807']
['894', '692', '817', '58', '126', '525', '66', '505', '970', '125', '887', '480', '883', '509', '13', '222', '119', '390', '118', '422']
['956', '716', '403', '442', '715', '56', '60', '287', '775', '409', '926', '112', '638', '526', '867', '417', '722', '558', '492', '179']
['310', '232', '469', '263', '3', '595', '766', '325', '354', '147', '249', '96', '964', '443', '343', '791', '625', '71', '107', '276']
['532', '437', '234', '35', '464', '494', '335', '137', '954', '657', '324', '367', '624', '426', '632', '564', '191', '871', '54', '124']
['220', '193', '187', '423', '339', '81', '155', '312', '61', '687', '516', '573', '497', '75', '854', '305', '984', '478', '931', '512']
['543', '744', '153', '303', '693', '591', '481', '623', '88', '304', '377', '608', '19', '128', '586', '821', '592', '415', '233', '486']
['941', '250', '439', '662', '620', '784', '195', '708', '197', '946', '76', '12', '421', '585', '995', '506', '602', '818', '811', '341']
['575', '79', '208', '488', '99', '378', '337', '251', '614', '1', '859', '210', '678', '841', '349', '206', '319', '485', '94', '82']
['156', '950', '814', '376', '937', '89', '62', '983', '95', '750', '239', '588', '326', '753', '778', '414', '67', '4', '353', '16']
['849', '479', '459', '146', '568', '610', '971', '975', '154', '789', '563', '151', '297', '868', '569', '519', '896', '991', '369', '721']
['958', '731', '48', '533', '752', '382', '580', '130', '0', '725', '891', '654', '229', '213', '123', '698', '174', '169', '993', '962']
['812', '65', '996', '262', '194', '111', '138', '418', '690', '918', '86', '47', '606', '455', '362', '813', '225', '31', '372', '539']
['332', '258', '396', '668', '961', '52', '783', '641', '963', '554', '565', '932', '777', '686', '498', '374', '445', '322', '410', '529']
['689', '795', '143', '524', '496', '50', '902', '603', '584', '944', '85', '840', '771', '448', '104', '680', '521', '570', '363', '928']
['982', '861', '540', '718', '730', '912', '465', '286', '259', '433', '490', '245', '846', '739', '895', '969', '157', '39', '166', '398']
['930', '832', '212', '495', '247', '34', '401', '808', '355', '270', '622', '880', '770', '221', '241', '503', '334', '992', '268', '264']
['951', '676', '989', '243', '451', '974', '440', '612', '765', '763', '682', '578', '618', '677', '411', '702', '373', '102', '759', '701']
['237', '851', '295', '751', '762', '78', '952', '712', '351', '915', '804', '117', '857', '11', '714', '713', '643', '189', '637', '142']
['483', '873', '441', '587', '320', '203', '144', '200', '947', '664', '635', '844', '870', '383', '356', '781', '366', '150', '801', '395']
['706', '106', '740', '172', '20', '80', '922', '453', '566', '412', '616', '997', '659', '408', '834', '792', '823', '328', '536', '797']
['577', '545', '746', '25', '502', '345', '900', '703', '309', '957', '699', '933', '921', '830', '171', '613', '594', '589', '650', '63']
['55', '938', '134', '737', '185', '670', '501', '806', '672', '561', '949', '288', '980', '674', '972', '277', '53', '780', '400', '888']
['824', '729', '627', '999', '776', '704', '352', '18', '240', '615', '438', '165', '296', '500', '893', '629', '959', '196', '547', '885']
['256', '228', '103', '979', '831', '371', '700', '416', '741', '869', '976', '338', '609', '907', '38', '998', '697', '865', '427', '835']
['856', '235', '391', '311', '261', '292', '728', '719', '837', '645', '655', '314', '858', '646', '757', '198', '572', '669', '33', '504']
['631', '651', '299', '340', '788', '910', '556', '6', '202', '493', '73', '302', '182', '29', '874', '83', '471', '630', '772', '786']
['462', '696', '282', '22', '901', '988', '905', '342', '671', '742', '458', '253', '911', '836', '291', '133', '743', '652', '560', '41']
['178', '70', '254', '574', '872', '227', '927', '882', '175', '275', '511', '148', '425', '636', '899', '214', '131', '924', '839', '852']
['207', '644', '707', '986', '8', '881', '364', '683', '848', '365', '456', '853', '470', '826', '46', '663', '904', '513', '661', '348']
['269', '177', '527', '192', '649', '284', '168', '598', '658', '769', '406', '457', '709', '892', '344', '57', '361', '15', '450', '838']
