4
150
['350', '479', '449', '473', '491', '379']
['351', '350', '452', '399', '449', '409']
['352', '350', '362', '374', '395', '405']
['353', '421', '378', '409', '450', '442']
['354', '351', '353', '474', '412', '428']
['355', '350', '398', '439', '464', '387']
['356', '350', '407', '378', '406', '460']
['357', '350', '352', '423', '476', '367']
['358', '350', '352', '353', '430', '424']
['359', '352', '469', '381', '402', '416']
['360', '350', '353', '356', '381', '484']
['361', '357', '358', '379', '465', '393']
['362', '352', '355', '360', '426', '463']
['363', '358', '362', '399', '453', '371']
['364', '351', '352', '354', '359', '405']
['365', '359', '367', '392', '479', '360']
['366', '353', '358', '361', '437', '469']
['367', '351', '352', '357', '358', '369']
['368', '350', '351', '402', '436', '387']
['369', '350', '422', '417', '434', '361']
['370', '350', '359', '368', '476', '442']
['371', '355', '357', '361', '362', '464']
['372', '350', '352', '356', '351', '438']
['373', '352', '356', '363', '370', '377']
['374', '351', '354', '357', '471', '419']
['375', '353', '354', '355', '356', '438']
['376', '351', '352', '359', '361', '398']
['377', '350', '354', '385', '459', '488']
['378', '351', '352', '466', '481', '462']
['379', '352', '361', '374', '368', '460']
['380', '356', '358', '360', '459', '382']
['381', '351', '355', '417', '374', '462']
['382', '350', '354', '358', '361', '478']
['383', '355', '365', '381', '494', '440']
['384', '352', '354', '358', '359', '452']
['385', '352', '355', '356', '461', '442']
['386', '351', '353', '378', '407', '497']
['387', '350', '351', '352', '425', '493']
['388', '353', '356', '358', '498', '426']
['389', '361', '368', '455', '454', '499']
['390', '352', '433', '443', '384', '374']
['391', '354', '359', '360', '364', '382']
['392', '350', '352', '353', '354', '480']
['393', '357', '358', '359', '439', '418']
['394', '350', '434', '458', '466', '364']
['395', '351', '478', '453', '392', '461']
['396', '351', '363', '391', '407', '490']
['397', '350', '366', '373', '384', '432']
['398', '352', '363', '364', '368', '419']
['399', '351', '357', '429', '358', '444']
['400', '352', '354', '485', '432', '377']
['401', '352', '411', '361', '406', '431']
['402', '351', '356', '366', '368', '393']
['403', '351', '354', '359', '361', '416']
['404', '350', '352', '358', '360', '427']
['405', '351', '353', '359', '360', '492']
['406', '351', '353', '367', '355', '413']
['407', '351', '355', '356', '426', '445']
['408', '352', '353', '357', '423', '397']
['409', '352', '353', '419', '452', '486']
['410', '354', '361', '364', '437', '443']
['411', '361', '369', '433', '441', '458']
['412', '354', '355', '356', '362', '404']
['413', '353', '354', '359', '361', '383']
['414', '351', '352', '390', '360', '456']
['415', '352', '356', '418', '394', '469']
['416', '350', '353', '475', '479', '483']
['417', '352', '354', '355', '358', '360']
['418', '351', '389', '350', '359', '371']
['419', '350', '352', '455', '449', '367']
['420', '360', '429', '367', '383', '402']
['421', '353', '354', '497', '397', '393']
['422', '357', '395', '369', '396', '461']
['423', '353', '356', '451', '386', '410']
['424', '351', '462', '413', '436', '466']
['425', '355', '356', '389', '490', '406']
['426', '355', '357', '358', '359', '391']
['427', '350', '352', '353', '355', '424']
['428', '353', '360', '357', '359', '417']
['429', '353', '361', '362', '371', '496']
['430', '350', '360', '435', '378', '397']
['431', '351', '434', '472', '493', '499']
['432', '351', '363', '397', '451', '357']
['433', '350', '381', '427', '455', '457']
['434', '351', '353', '355', '465', '352']
['435', '351', '354', '357', '487', '492']
['436', '350', '353', '359', '362', '380']
['437', '354', '356', '362', '366', '410']
['438', '350', '352', '401', '488', '399']
['439', '356', '357', '472', '352', '371']
['440', '353', '357', '360', '373', '391']
['441', '353', '410', '477', '380', '439']
['442', '354', '356', '412', '495', '361']
['443', '350', '351', '355', '356', '353']
['444', '352', '456', '360', '373', '361']
['445', '350', '354', '360', '362', '414']
['446', '360', '361', '388', '407', '375']
['447', '352', '354', '481', '372', '439']
['448', '350', '351', '352', '357', '402']
['449', '351', '352', '360', '361', '380']
['450', '356', '357', '362', '436', '437']
['451', '354', '357', '358', '390', '499']
['452', '351', '491', '356', '365', '416']
['453', '350', '352', '356', '361', '475']
['454', '352', '483', '440', '498', '484']
['455', '351', '355', '379', '370', '373']
['456', '350', '357', '427', '444', '480']
['457', '354', '355', '359', '375', '499']
['458', '351', '355', '356', '360', '482']
['459', '354', '454', '413', '494', '369']
['460', '350', '407', '385', '368', '469']
['461', '350', '354', '366', '415', '444']
['462', '358', '402', '486', '392', '376']
['463', '353', '354', '362', '404', '422']
['464', '355', '357', '423', '391', '428']
['465', '353', '355', '431', '434', '497']
['466', '352', '354', '388', '364', '410']
['467', '351', '352', '353', '394', '482']
['468', '354', '364', '365', '445', '382']
['469', '350', '351', '353', '487', '366']
['470', '350', '358', '361', '380', '495']
['471', '351', '353', '355', '361', '447']
['472', '353', '354', '410', '451', '431']
['473', '351', '352', '354', '445', '478']
['474', '350', '473', '412', '420', '389']
['475', '353', '400', '365', '430', '395']
['476', '363', '366', '367', '414', '393']
['477', '350', '354', '370', '473', '379']
['478', '350', '351', '376', '362', '490']
['479', '350', '383', '392', '467', '425']
['480', '354', '362', '415', '441', '387']
['481', '353', '360', '350', '426', '412']
['482', '350', '351', '358', '362', '385']
['483', '350', '351', '446', '389', '464']
['484', '356', '364', '431', '495', '456']
['485', '354', '355', '356', '358', '492']
['486', '351', '353', '356', '359', '416']
['487', '351', '356', '477', '480', '405']
['488', '353', '360', '362', '372', '496']
['489', '350', '387', '413', '424', '358']
['490', '353', '354', '456', '396', '352']
['491', '356', '363', '372', '481', '407']
['492', '350', '364', '365', '371', '468']
['493', '350', '351', '352', '357', '458']
['494', '350', '356', '360', '484', '396']
['495', '351', '355', '378', '379', '450']
['496', '350', '359', '375', '450', '465']
['497', '351', '354', '420', '489', '454']
['498', '351', '352', '371', '474', '477']
['499', '350', '353', '354', '379', '383']
['350', '440', '357', '403', '401', '436']
['351', '441', '387', '467', '357', '421']
['355', '386', '440', '493', '421', '438']
['356', '396', '400', '401', '468', '495']
['364', '447', '356', '433', '445', '459']
['368', '421', '453', '351', '460', '459']
['373', '448', '353', '469', '388', '426']
['384', '457', '468', '479', '488', '443']
['403', '486', '436', '352', '366', '399']
['406', '449', '390', '425', '491', '463']
['408', '381', '403', '448', '365', '478']
['414', '428', '485', '486', '372', '354']
['432', '363', '439', '356', '358', '380']
['435', '409', '461', '476', '382', '482']
['442', '486', '364', '495', '483', '415']
['458', '447', '366', '379', '409', '356']
['459', '432', '365', '400', '403', '407']
['463', '474', '480', '493', '377', '455']
['470', '484', '404', '491', '450', '472']
['483', '487', '376', '415', '489', '386']
['498', '378', '400', '408', '359', '399']
['376', '453', '370', '483', '396', '492']
['377', '438', '403', '433', '462', '471']
['398', '447', '385', '496', '363', '422']
['401', '485', '448', '394', '351', '497']
['411', '422', '354', '355', '408', '431']
['417', '394', '411', '386', '446', '373']
['421', '455', '383', '436', '452', '365']
['430', '472', '474', '391', '424', '459']
['446', '404', '384', '462', '432', '444']
['452', '477', '363', '420', '422', '481']
['454', '451', '470', '474', '403', '437']
['457', '471', '489', '406', '367', '383']
['460', '446', '435', '353', '421', '458']
['461', '412', '429', '496', '396', '387']
['466', '457', '397', '393', '487', '407']
['470', '490', '359', '405', '416', '487']
['377', '471', '362', '371', '418', '465']
['379', '428', '477', '375', '404', '464']
['388', '418', '497', '401', '452', '487']
['395', '420', '350', '488', '406', '450']
['433', '425', '445', '464', '470', '399']
['435', '492', '494', '381', '496', '356']
['456', '409', '435', '388', '473', '496']
['463', '423', '488', '361', '372', '412']
['467', '489', '414', '470', '355', '409']
['475', '498', '471', '419', '467', '365']
['482', '429', '430', '439', '484', '499']
['483', '400', '438', '444', '448', '450']
['484', '398', '426', '442', '447', '455']
['494', '475', '376', '437', '482', '387']
['351', '392', '472', '368', '442', '469']
['366', '375', '437', '473', '372', '417']
['373', '388', '473', '446', '451', '366']
['378', '395', '415', '416', '475', '351']
['408', '476', '441', '448', '465', '352']
['415', '419', '441', '452', '385', '386']
['424', '384', '468', '472', '398', '465']
['429', '449', '485', '423', '455', '357']
['443', '398', '479', '358', '411', '418']
['468', '393', '413', '356', '367', '474']
['478', '357', '378', '425', '426', '486']
['479', '374', '411', '425', '457', '476']
['497', '369', '435', '411', '456', '397']
['358', '369', '445', '469', '491', '406']
['362', '382', '417', '418', '351', '405']
['370', '380', '399', '405', '463', '481']
['377', '390', '360', '375', '393', '412']
['388', '438', '451', '454', '490', '374']
['389', '434', '363', '385', '401', '488']
['394', '414', '440', '485', '432', '460']
['406', '478', '362', '386', '396', '403']
['408', '460', '355', '402', '424', '428']
['415', '443', '382', '447', '453', '480']
['420', '353', '413', '454', '440', '434']
['427', '492', '350', '392', '433', '476']
['428', '449', '458', '400', '433', '478']
['447', '368', '400', '494', '358', '395']
['453', '480', '395', '368', '385', '397']
['466', '474', '494', '359', '498', '357']
['471', '366', '429', '350', '381', '414']
['475', '430', '375', '468', '426', '467']
['482', '417', '373', '380', '483', '489']
['489', '444', '467', '474', '477', '384']
['493', '378', '420', '422', '449', '488']
['498', '405', '443', '474', '383', '453']
['354', '371', '408', '495', '379', '427']
['362', '364', '418', '448', '466', '404']
['367', '391', '466', '370', '458', '390']
['370', '363', '420', '421', '372', '373']
['373', '384', '419', '441', '462', '353']
['376', '491', '364', '459', '399', '387']
['381', '394', '457', '498', '488', '360']
['389', '392', '480', '356', '433', '366']
['390', '410', '359', '428', '441', '446']
['397', '439', '351', '388', '408', '427']
['404', '470', '354', '460', '484', '360']
['414', '456', '461', '352', '367', '410']
['423', '352', '405', '478', '358', '370']
['427', '463', '361', '407', '492', '499']
['431', '462', '436', '490', '393', '458']
['434', '436', '454', '455', '461', '469']
['440', '372', '374', '437', '384', '415']
['443', '490', '355', '484', '397', '390']
['446', '479', '377', '412', '429', '490']
['459', '419', '375', '394', '398', '475']
['464', '378', '383', '445', '451', '479']
['468', '485', '398', '450', '466', '387']
['481', '470', '472', '496', '409', '422']
['487', '369', '416', '454', '491', '367']
['489', '499', '360', '434', '495', '377']
['493', '440', '489', '449', '457', '382']
['376', '389', '447', '452', '381', '403']
['382', '457', '464', '365', '371', '393']
['390', '408', '430', '477', '391', '401']
['391', '422', '369', '435', '449', '495']
['392', '435', '463', '471', '358', '433']
['394', '399', '402', '404', '416', '389']
['401', '423', '453', '386', '415', '432']
['409', '366', '410', '396', '496', '374']
['413', '431', '432', '438', '476', '375']
['424', '425', '494', '497', '363', '456']
['442', '361', '419', '421', '422', '452']
['444', '350', '496', '406', '409', '438']
['448', '362', '376', '469', '472', '481']
['449', '475', '400', '485', '386', '389']
['465', '486', '353', '413', '373', '395']
['467', '493', '354', '417', '420', '425']
['473', '418', '430', '461', '492', '412']
['480', '402', '428', '450', '416', '440']
['481', '485', '365', '439', '352', '415']
['482', '437', '355', '357', '495', '376']
['491', '413', '454', '455', '459', '373']
['355', '377', '429', '479', '401', '445']
['357', '423', '465', '418', '460', '475']
['359', '404', '406', '411', '486', '408']
['368', '498', '352', '426', '406', '455']
['370', '382', '439', '494', '497', '424']
['374', '399', '429', '438', '468', '423']
['378', '424', '442', '473', '382', '387']
['379', '385', '395', '398', '411', '430']
['380', '412', '479', '487', '359', '374']
['396', '464', '369', '407', '419', '488']
['414', '441', '443', '434', '477', '484']
['431', '380', '452', '453', '378', '386']
['444', '476', '497', '372', '433', '394']
['445', '460', '483', '353', '364', '394']
['446', '458', '364', '371', '496', '353']
['451', '477', '391', '489', '399', '412']
['457', '385', '420', '426', '487', '354']
['462', '463', '394', '417', '354', '405']
['470', '482', '351', '366', '368', '371']
['471', '493', '470', '404', '425', '449']
['499', '350', '354', '379', '388', '425']
['361', '376', '383', '405', '465', '466']
['362', '428', '448', '408', '472', '475']
['363', '384', '390', '462', '499', '414']
['372', '437', '444', '350', '361', '379']
['381', '431', '478', '365', '367', '419']
['392', '432', '491', '360', '427', '462']
['400', '461', '442', '486', '363', '384']
['401', '443', '388', '391', '497', '405']
['402', '420', '412', '418', '426', '351']
['403', '445', '467', '369', '376', '423']
['410', '435', '365', '368', '430', '442']
['414', '456', '493', '400', '387', '484']
['421', '431', '446', '481', '492', '428']
['427', '436', '473', '495', '362', '375']
['441', '476', '356', '370', '377', '453']
['442', '477', '498', '435', '437', '439']
['447', '353', '367', '397', '417', '429']
['450', '480', '454', '467', '362', '378']
['451', '468', '407', '434', '466', '471']
['463', '363', '438', '448', '357', '382']
['464', '380', '387', '402', '458', '491']
['469', '485', '487', '384', '446', '494']
['471', '409', '488', '446', '482', '492']
['472', '463', '465', '466', '351', '411']
['474', '482', '351', '396', '410', '441']
['478', '355', '398', '424', '456', '432']
['483', '395', '416', '430', '403', '455']
['484', '467', '397', '383', '394', '403']
['486', '494', '385', '460', '375', '399']
['490', '389', '392', '443', '468', '485']
['357', '358', '359', '407', '419', '434']
['381', '393', '413', '447', '362', '372']
['383', '400', '470', '360', '367', '402']
['403', '383', '447', '368', '450', '431']
['411', '423', '474', '368', '415', '440']
['418', '450', '459', '350', '366', '416']
['421', '444', '482', '356', '380', '439']
['422', '481', '361', '401', '429', '470']
['432', '476', '490', '369', '385', '395']
['436', '377', '381', '421', '429', '458']
['440', '457', '378', '465', '428', '469']
['451', '471', '473', '480', '358', '436']
['452', '379', '390', '450', '463', '499']
['461', '370', '373', '406', '417', '425']
['464', '489', '364', '374', '419', '457']
['469', '371', '462', '422', '479', '488']
['479', '499', '409', '428', '360', '390']
['483', '498', '359', '433', '443', '474']
['491', '492', '391', '404', '460', '369']
['493', '386', '484', '489', '389', '399']
['352', '413', '414', '494', '361', '495']
['355', '410', '420', '456', '382', '425']
['388', '398', '427', '454', '472', '355']
['389', '430', '442', '413', '434', '493']
['392', '453', '459', '362', '369', '411']
['393', '472', '477', '356', '366', '376']
['396', '431', '444', '416', '448', '490']
['408', '441', '464', '496', '352', '395']
['422', '424', '435', '481', '487', '370']
['437', '451', '452', '488', '490', '386']
['438', '475', '375', '379', '401', '402']
['445', '448', '473', '424', '452', '475']
