3
16
['28', '7', '3']
['24', '0', '5']
['39', '9', '21']
['24', '39', '13']
['4', '18', '46']
['6', '16', '44']
['9', '45', '25']
['41', '7', '18']
['29', '16', '8']
['45', '29', '47']
['6', '37', '42']
['12', '27', '6']
['5', '18', '46']
['15', '36', '4']
['7', '20', '5']
['16', '38', '8']
['43', '21', '27']
['2', '22', '20']
['33', '21', '19']
['0', '35', '41']
['11', '36', '0']
['29', '35', '36']
['4', '40', '27']
['15', '10', '45']
['9', '44', '12']
['19', '14', '33']
['18', '32', '34']
['7', '38', '31']
['5', '42', '24']
['31', '44', '1']
['37', '23', '27']
['30', '7', '9']
['37', '23', '8']
['3', '6', '39']
['12', '45', '40']
['38', '36', '2']
['14', '42', '36']
['21', '33', '1']
['10', '44', '17']
['45', '31', '37']
['15', '5', '39']
['5', '19', '33']
['22', '8', '13']
['42', '37', '16']
['47', '6', '32']
['40', '22', '27']
['26', '23', '32']
['5', '42', '47']
['18', '47', '32']
['5', '30', '40']
['44', '12', '19']
['5', '27', '37']
['8', '15', '33']
['21', '24', '10']
['23', '24', '2']
['39', '11', '26']
['27', '44', '20']
['13', '7', '17']
['29', '7', '25']
['29', '32', '43']
['39', '47', '29']
['44', '43', '1']
['25', '45', '13']
['20', '15', '18']
['29', '26', '34']
['9', '41', '13']
['0', '46', '39']
['35', '36', '13']
['9', '22', '43']
['45', '15', '36']
['0', '35', '32']
['47', '17', '32']
['23', '0', '46']
['33', '16', '0']
['14', '0', '46']
['28', '47', '31']
['31', '5', '41']
['45', '26', '46']
['28', '1', '36']
['32', '15', '42']
['39', '35', '14']
['38', '40', '9']
['15', '29', '7']
['45', '44', '18']
['6', '4', '40']
['46', '10', '47']
['45', '1', '7']
['19', '10', '47']
['23', '39', '46']
['28', '2', '13']
['7', '5', '41']
['2', '33', '43']
['22', '8', '11']
['14', '41', '17']
['6', '1', '45']
['6', '40', '5']
['47', '13', '10']
['22', '12', '43']
['37', '35', '21']
['1', '30', '13']
