30
40
['244', '402', '15', '336', '607']
['819', '348', '692', '680', '972']
['819', '720', '96', '284', '972']
['348', '858', '930', '893', '403']
['819', '972', '15', '344', '970']
['717', '819', '661', '23', '711']
['858', '222', '970', '543', '692']
['900', '893', '263', '543', '954']
['944', '720', '781', '167', '9']
['336', '680', '285', '222', '814']
['917', '819', '272', '285', '944']
['308', '987', '348', '944', '23']
['285', '543', '246', '900', '972']
['261', '272', '625', '355', '15']
['917', '222', '344', '403', '972']
['272', '402', '308', '167', '661']
['348', '543', '344', '987', '9']
['819', '692', '403', '900', '717']
['9', '263', '717', '23', '98']
['987', '96', '261', '930', '344']
['917', '285', '261', '263', '272']
['23', '954', '167', '972', '607']
['930', '917', '263', '781', '344']
['543', '858', '987', '781', '983']
['972', '987', '944', '263', '15']
['607', '246', '983', '720', '308']
['355', '344', '348', '858', '917']
['344', '23', '680', '607', '692']
['972', '954', '98', '9', '261']
['284', '894', '930', '348', '9']
['893', '272', '504', '18', '987']
['308', '816', '355', '272', '917']
['18', '285', '348', '781', '814']
['917', '717', '355', '720', '839']
['680', '543', '246', '970', '336']
['917', '402', '930', '893', '355']
['402', '972', '720', '18', '930']
['781', '18', '987', '970', '504']
['930', '858', '900', '983', '95']
['261', '308', '680', '23', '816']
['858', '222', '261', '402', '692']
['402', '625', '983', '95', '543']
['816', '284', '308', '263', '403']
['284', '954', '839', '543', '222']
['95', '944', '781', '355', '893']
['543', '344', '661', '625', '263']
['402', '661', '504', '893', '355']
['894', '970', '344', '96', '816']
['607', '781', '167', '692', '894']
['781', '15', '284', '970', '504']
['917', '819', '900', '944', '18']
['98', '244', '858', '972', '819']
['983', '816', '970', '285', '692']
['711', '607', '680', '954', '987']
['98', '893', '858', '983', '781']
['504', '983', '720', '893', '244']
['970', '222', '308', '167', '607']
['781', '246', '355', '9', '717']
['285', '944', '308', '543', '246']
['98', '858', '355', '819', '917']
['717', '261', '9', '348', '246']
['504', '344', '894', '607', '692']
['261', '894', '680', '717', '692']
['98', '930', '9', '954', '944']
['308', '680', '819', '167', '900']
['167', '18', '625', '95', '504']
['355', '98', '930', '308', '917']
['18', '970', '285', '987', '272']
['98', '272', '336', '893', '96']
['95', '893', '18', '987', '402']
['661', '344', '272', '970', '893']
['402', '95', '819', '781', '661']
['917', '680', '607', '893', '23']
['348', '930', '504', '355', '900']
['839', '355', '543', '23', '504']
['9', '720', '893', '839', '261']
['167', '692', '893', '98', '246']
['15', '284', '972', '23', '355']
['661', '692', '261', '839', '18']
['970', '402', '954', '972', '711']
['816', '95', '944', '819', '781']
['894', '930', '402', '781', '348']
['900', '15', '781', '692', '930']
['18', '720', '9', '987', '816']
['894', '261', '348', '285', '720']
['9', '222', '355', '336', '781']
['680', '167', '308', '504', '336']
['819', '661', '839', '222', '402']
['167', '983', '284', '781', '917']
['344', '661', '222', '607', '504']
['680', '402', '543', '894', '9']
['711', '781', '819', '858', '348']
['18', '15', '244', '858', '95']
['543', '930', '717', '970', '781']
['246', '543', '661', '893', '894']
['261', '543', '987', '917', '717']
