50
25
['541', '942', '795', '774', '450', '977', '688', '641', '321', '459', '890', '775', '937', '86', '790', '21', '667', '444', '383', '410']
['374', '449', '224', '26', '907', '564', '33', '609', '960', '716', '81', '134', '221', '150', '256', '475', '562', '553', '45', '188']
['628', '85', '499', '41', '681', '658', '672', '488', '622', '312', '469', '841', '349', '8', '323', '826', '794', '430', '734', '151']
['399', '639', '94', '359', '956', '319', '322', '607', '320', '799', '394', '397', '313', '124', '346', '254', '580', '606', '75', '279']
['548', '883', '589', '402', '259', '348', '901', '342', '602', '521', '466', '217', '801', '66', '679', '378', '34', '422', '645', '219']
['835', '447', '327', '660', '445', '710', '760', '793', '152', '304', '210', '797', '581', '673', '657', '986', '10', '308', '196', '946']
['65', '996', '655', '288', '697', '344', '448', '329', '980', '305', '418', '905', '991', '335', '273', '330', '531', '31', '491', '816']
['879', '913', '286', '598', '703', '24', '834', '676', '831', '869', '721', '785', '91', '289', '58', '537', '791', '416', '927', '471']
['87', '947', '419', '201', '281', '207', '39', '897', '227', '193', '550', '824', '651', '403', '345', '695', '483', '140', '618', '563']
['149', '239', '105', '593', '438', '229', '427', '102', '917', '603', '417', '818', '116', '936', '181', '652', '728', '362', '614', '103']
['792', '506', '493', '122', '895', '860', '784', '557', '626', '861', '515', '15', '878', '661', '479', '463', '973', '61', '769', '363']
['773', '395', '333', '337', '867', '840', '411', '341', '435', '767', '213', '742', '442', '533', '5', '434', '353', '845', '763', '629']
['489', '540', '857', '0', '163', '226', '627', '110', '315', '932', '753', '519', '968', '722', '455', '700', '544', '786', '623', '294']
['829', '461', '940', '691', '11', '770', '203', '355', '555', '502', '910', '198', '810', '413', '613', '365', '665', '4', '316', '745']
['845', '341', '767', '213', '435', '629', '395', '442', '411', '333', '353', '337', '773', '533', '840', '434', '5', '742', '763', '867']
['332', '604', '264', '542', '522', '702', '356', '520', '101', '830', '560', '847', '807', '120', '630', '583', '129', '849', '206', '806']
['602', '883', '589', '378', '548', '259', '402', '34', '66', '679', '422', '219', '348', '466', '217', '801', '521', '645', '901', '342']
['151', '430', '8', '488', '841', '672', '622', '734', '826', '628', '323', '469', '85', '794', '681', '41', '349', '312', '499', '658']
['665', '413', '691', '11', '4', '910', '316', '829', '365', '203', '198', '940', '613', '502', '355', '745', '810', '461', '770', '555']
['668', '559', '566', '888', '6', '782', '82', '495', '819', '215', '451', '870', '391', '930', '468', '999', '223', '647', '503', '653']
['461', '940', '555', '316', '665', '691', '613', '365', '413', '745', '198', '810', '770', '4', '355', '910', '11', '829', '203', '502']
['495', '782', '503', '653', '451', '215', '930', '391', '82', '870', '888', '668', '647', '999', '819', '223', '468', '566', '6', '559']
