[495, 473, 782, 359, 164, 508, 285, 960, 838, 675, 43, 30, 507, 469, 736, 504, 304, 347, 431, 198]
[491, 681, 950, 701, 415, 19, 517, 111, 670, 396, 251, 202, 813, 68, 688, 331, 274, 765, 712, 58]
[106, 594, 770, 882, 356, 710, 95, 749, 436, 895, 698, 392, 214, 144, 301, 142, 297, 217, 162, 638]
[956, 59, 462, 163, 255, 212, 113, 315, 524, 814, 64, 559, 284, 268, 887, 731, 958, 642, 917, 228]
[921, 241, 890, 999, 487, 389, 339, 969, 579, 33, 639, 443, 780, 313, 232, 799, 666, 189, 522, 459]
[713, 450, 272, 963, 225, 249, 763, 471, 321, 485, 449, 94, 555, 324, 592, 395, 748, 682, 857, 877]
[541, 479, 79, 916, 827, 532, 660, 641, 167, 775, 108, 288, 983, 154, 779, 387, 781, 834, 574, 25]
[62, 115, 364, 938, 397, 86, 140, 904, 955, 700, 112, 105, 614, 905, 97, 494, 525, 868, 74, 204]
[624, 583, 40, 982, 181, 439, 839, 968, 478, 93, 348, 244, 131, 826, 693, 722, 806, 399, 668, 169]
[787, 343, 127, 184, 551, 37, 350, 148, 61, 398, 237, 126, 981, 860, 557, 6, 28, 644, 651, 672]
[1000, 671, 438, 791, 576, 27, 81, 880, 825, 451, 31, 702, 750, 445, 250, 293, 566, 774, 280, 591]
[793, 211, 974, 480, 376, 893, 997, 708, 134, 841, 729, 607, 34, 823, 56, 705, 452, 646, 854, 633]
[298, 727, 902, 84, 964, 689, 305, 925, 7, 172, 818, 109, 569, 595, 234, 336, 542, 366, 194, 615]
[329, 796, 741, 368, 466, 166, 696, 223, 35, 828, 116, 567, 464, 704, 596, 911, 199, 385, 891, 1]
[892, 647, 51, 610, 932, 888, 978, 923, 987, 2, 132, 662, 456, 967, 554, 690, 22, 355, 634, 786]
[812, 529, 995, 588, 15, 971, 216, 36, 375, 100, 159, 149, 270, 942, 677, 811, 158, 518, 88, 537]
[886, 549, 125, 433, 986, 338, 766, 936, 406, 679, 920, 474, 790, 312, 65, 206, 837, 448, 119, 871]
[742, 447, 151, 476, 836, 379, 358, 977, 934, 802, 99, 805, 907, 994, 444, 363, 231, 446, 296, 510]
[496, 730, 692, 209, 703, 885, 820, 734, 505, 534, 663, 788, 410, 844, 171, 130, 656, 738, 283, 970]
[609, 306, 612, 989, 135, 830, 286, 341, 69, 498, 77, 316, 333, 949, 388, 46, 215, 21, 340, 221]
[344, 635, 831, 182, 299, 563, 807, 183, 558, 872, 193, 523, 913, 367, 737, 858, 11, 147, 875, 506]
[998, 14, 988, 295, 752, 605, 864, 665, 53, 809, 673, 176, 561, 846, 655, 535, 245, 203, 570, 935]
[489, 980, 220, 709, 850, 545, 419, 236, 129, 599, 571, 118, 107, 603, 16, 719, 187, 664, 29, 499]
[91, 50, 547, 515, 282, 783, 516, 386, 951, 674, 26, 501, 769, 581, 421, 294, 141, 262, 648, 873]
[455, 718, 751, 833, 483, 975, 707, 458, 789, 418, 246, 947, 976, 745, 512, 322, 90, 852, 883, 430]
[862, 85, 760, 691, 66, 645, 72, 686, 207, 146, 257, 795, 759, 242, 482, 652, 32, 435, 550, 990]
[601, 797, 684, 400, 863, 643, 342, 432, 564, 650, 723, 180, 213, 273, 604, 678, 287, 291, 308, 600]
[380, 613, 819, 429, 326, 961, 627, 543, 753, 870, 258, 620, 12, 264, 898, 910, 153, 208, 937, 578]
[67, 352, 878, 640, 417, 687, 771, 778, 855, 157, 488, 732, 290, 55, 335, 265, 403, 706, 985, 725]
[611, 292, 573, 945, 717, 188, 832, 874, 619, 289, 82, 259, 608, 173, 493, 530, 728, 427, 401, 560]
