25
16
['187', '161', '259', '199', '328', '47', '175', '46', '393', '282', '334', '126', '158', '35', '265', '269']
['10', '176', '174', '187', '251', '161', '146', '147', '190', '25', '205', '208', '314', '334', '172', '349']
['7', '177', '251', '147', '5', '199', '32', '25', '205', '305', '47', '175', '314', '109', '44', '282']
['162', '174', '187', '251', '316', '161', '12', '147', '5', '286', '25', '208', '47', '175', '46', '44']
['362', '174', '187', '251', '178', '259', '146', '286', '208', '305', '47', '44', '396', '349', '143', '158']
['76', '187', '12', '286', '205', '208', '305', '144', '175', '192', '314', '109', '393', '44', '349', '356']
['316', '218', '12', '5', '199', '208', '305', '192', '44', '282', '179', '396', '172', '65', '349', '126']
['251', '316', '161', '178', '218', '12', '146', '147', '286', '328', '25', '208', '305', '144', '46', '44']
['251', '218', '5', '199', '328', '205', '208', '144', '175', '192', '44', '282', '179', '172', '65', '349']
['61', '174', '161', '178', '12', '147', '190', '205', '144', '175', '46', '314', '109', '44', '282', '172']
['251', '316', '259', '286', '32', '305', '144', '46', '44', '179', '349', '126', '113', '383', '122', '138']
['379', '187', '316', '178', '218', '146', '147', '5', '25', '305', '47', '44', '65', '349', '143', '158']
['187', '259', '12', '5', '199', '205', '144', '314', '109', '393', '44', '282', '349', '35', '113', '383']
['260', '174', '251', '316', '218', '12', '190', '199', '208', '175', '109', '393', '282', '334', '172', '126']
['174', '187', '251', '161', '218', '259', '286', '47', '175', '192', '109', '393', '179', '396', '172', '65']
['246', '174', '187', '316', '178', '12', '146', '190', '5', '286', '25', '305', '47', '109', '393', '44']
['248', '251', '218', '12', '5', '286', '199', '32', '208', '144', '46', '314', '393', '282', '179', '396']
['218', '259', '146', '147', '5', '328', '305', '175', '314', '109', '393', '44', '179', '65', '349', '35']
['133', '273', '161', '178', '147', '286', '199', '328', '32', '208', '305', '47', '192', '109', '396', '65']
['148', '174', '187', '251', '259', '147', '32', '314', '109', '393', '334', '172', '65', '126', '35', '113']
['232', '174', '259', '146', '328', '32', '205', '305', '47', '144', '46', '393', '179', '396', '172', '349']
['187', '178', '12', '190', '328', '25', '205', '47', '175', '109', '393', '44', '282', '396', '126', '220']
['174', '187', '251', '12', '5', '199', '32', '205', '175', '46', '314', '44', '282', '334', '179', '143']
['251', '316', '161', '218', '12', '5', '32', '25', '205', '208', '305', '47', '192', '109', '282', '65']
['174', '259', '12', '146', '147', '199', '328', '32', '305', '192', '46', '393', '179', '396', '126', '356']
['62', '69', '174', '187', '259', '147', '190', '208', '144', '192', '314', '109', '393', '282', '172', '65']
['131', '161', '147', '190', '328', '314', '44', '282', '179', '396', '172', '65', '349', '113', '383', '16']
['174', '146', '190', '32', '305', '144', '192', '282', '334', '172', '65', '349', '158', '220', '265', '113']
['187', '251', '161', '178', '218', '147', '32', '25', '334', '172', '349', '126', '143', '35', '220', '77']
['343', '251', '316', '218', '259', '190', '5', '286', '205', '314', '179', '396', '172', '65', '126', '356']
['174', '187', '218', '259', '147', '190', '5', '199', '328', '32', '25', '208', '109', '44', '179', '172']
['174', '187', '161', '259', '12', '147', '190', '5', '205', '47', '393', '334', '396', '349', '356', '158']
['174', '178', '218', '259', '147', '5', '286', '205', '208', '175', '192', '314', '44', '396', '172', '349']
['174', '187', '251', '316', '161', '178', '259', '190', '5', '286', '32', '205', '208', '314', '393', '44']
['188', '316', '218', '190', '5', '32', '25', '205', '305', '47', '282', '396', '65', '126', '356', '143']
['187', '251', '178', '259', '5', '199', '32', '208', '305', '144', '192', '46', '393', '282', '179', '126']
['187', '251', '316', '218', '259', '12', '146', '305', '47', '46', '314', '393', '349', '126', '158', '269']
['187', '218', '146', '147', '190', '328', '205', '175', '192', '46', '393', '334', '65', '143', '265', '113']
['161', '178', '147', '199', '328', '144', '393', '44', '396', '65', '349', '143', '220', '72', '269', '122']
['187', '316', '218', '147', '5', '328', '208', '47', '144', '46', '314', '109', '44', '179', '356', '158']
['391', '174', '187', '161', '178', '12', '146', '190', '5', '199', '328', '25', '205', '208', '305', '47']
['217', '174', '187', '161', '218', '146', '328', '205', '175', '192', '393', '65', '349', '126', '356', '143']
['187', '178', '12', '199', '208', '175', '393', '282', '179', '396', '265', '383', '16', '269', '92', '79']
['174', '187', '316', '178', '146', '5', '25', '47', '175', '314', '393', '282', '349', '158', '265', '77']
['187', '178', '147', '286', '47', '175', '334', '396', '356', '265', '16', '72', '83', '95', '266', '229']
