['384', '98', '419', '360', '461', '243']
['104', '41', '364', '365', '307', '249', '122']
['100', '14', '306', '245', '309', '311', '253']
['352', '353', '35', '199', '310', '215', '121']
['32', '196', '265', '464', '83', '212', '346']
['39', '361', '235', '301', '305', '120', '190']
['10', '76', '205', '285', '284', '189', '159']
['33', '197', '465', '283', '348', '349', '62']
['448', '6', '174', '238', '304', '61', '445']
['257', '390', '328', '456', '433', '179', '308']
['77', '206', '13', '239', '302', '303', '94']
['34', '198', '300', '85', '119', '350', '351']
['195', '102', '82', '211', '344', '345', '255']
['9', '49', '279', '186', '155', '156', '93']
['192', '79', '16', '208', '51', '314', '315']
['193', '66', '163', '329', '80', '209', '23']
['194', '2', '200', '43', '140', '214', '187']
['64', '161', '296', '298', '12', '177', '244']
['103', '40', '299', '363', '118', '248', '31']
['256', '99', '297', '252', '247', '60', '254']
['5', '165', '74', '246', '25', '250', '251']
['70', '167', '336', '337', '183', '282', '27']
['288', '259', '263', '11', '334', '26', '28']
['1', '294', '72', '169', '175', '340', '185']
['67', '164', '457', '331', '180', '24', '90']
['65', '37', '313', '431', '178', '217', '381']
['201', '203', '81', '114', '52', '373', '472']
['386', '135', '171', '141', '146', '473', '58']
['292', '71', '338', '115', '339', '86', '184']
['226', '133', '17', '89', '218', '316', '317']
['236', '397', '430', '468', '53', '29', '191']
['290', '166', '173', '176', '123', '157', '63']
['132', '391', '172', '467', '440', '59', '223']
['484', '168', '371', '181', '406', '342', '469']
['160', '42', '139', '84', '213', '470', '407']
['225', '408', '293', '44', '466', '438', '280']
['289', '357', '455', '462', '369', '116', '383']
['227', '452', '330', '434', '147', '150', '154']
['487', '488', '368', '401', '380', '444', '287']
['417', '232', '398', '113', '474', '221', '382']
['451', '389', '485', '400', '432', '210', '446']
['291', '421', '295', '362', '88', '379', '318']
['439', '101', '333', '463', '117', '341', '405']
['480', '393', '428', '436', '376', '442', '479']
['392', '427', '435', '372', '471', '281', '412']
['481', '482', '454', '394', '437', '151', '377']
['162', '130', '450', '424', '399', '409', '443']
['388', '68', '332', '78', '404', '478', '415']
['73', '202', '366', '207', '375', '410', '477']
['453', '425', '367', '402', '374', '476', '414']
['418', '387', '69', '422', '231', '182', '475']
['459', '396', '460', '370', '411', '413', '286']
['224', '273', '87', '220', '125', '222', '447']
['354', '355', '8', '110', '271', '275', '91']
['483', '458', '395', '269', '403', '378', '347']
['356', '229', '429', '48', '145', '272', '92']
['3', '36', '423', '270', '21', '216', '219']
['416', '324', '325', '109', '274', '56', '153']
['97', '38', '358', '359', '234', '112', '277']
['319', '134', '426', '237', '240', '18', '95']
['96', '4', '233', '241', '242', '343', '30']
['320', '321', '258', '262', '105', '19', '54']
['0', '449', '266', '47', '144', '441', '188']
['322', '323', '136', '264', '20', '55', '152']
['385', '420', '107', '267', '75', '204', '268']
['326', '327', '138', '111', '276', '22', '57']
['261', '106', '335', '149', '278', '158', '127']
['260', '486', '46', '143', '15', '50', '312']
['128', '129', '131', '137', '45', '142', '126']
['228', '230', '7', '170', '108', '148', '124']
