51
1000
['445', '304', '184', '287', '82', '864', '648', '808', '792', '966', '822', '450', '868', '86', '962', '175', '931', '723', '906', '221']
['476', '67', '631', '407', '860', '665', '278', '78', '338', '357', '173', '467', '575', '243', '380', '326', '982', '193', '527', '307']
['884', '261', '135', '172', '787', '406', '137', '500', '41', '217', '231', '373', '374', '395', '347', '87', '782', '421', '900', '508']
['708', '17', '209', '119', '490', '227', '934', '495', '320', '420', '560', '973', '590', '4', '659', '855', '768', '732', '784', '913']
['392', '552', '968', '857', '701', '191', '45', '858', '144', '502', '375', '429', '513', '580', '444', '783', '862', '533', '424', '674']
['712', '492', '371', '29', '425', '748', '366', '273', '559', '327', '521', '428', '27', '72', '831', '249', '836', '48', '324', '632']
['605', '564', '785', '52', '736', '889', '512', '907', '141', '112', '362', '995', '258', '334', '270', '714', '529', '756', '138', '916']
['476', '837', '446', '762', '3', '708', '511', '202', '777', '576', '516', '628', '493', '37', '285', '550', '392', '165', '637', '884', '747', '505', '638', '605', '824', '206', '129', '499', '604', '816', '353', '567', '482', '116', '302', '161', '103', '712', '734', '919', '348', '584', '985', '677', '445', '656', '928', '393', '754', '606']
['777', '136', '25', '911', '441', '882', '153', '403', '874', '673', '793', '162', '765', '341', '486', '487', '484', '623', '703', '14']
['505', '69', '999', '0', '771', '91', '210', '88', '314', '614', '18', '311', '920', '7', '720', '439', '963', '214', '250', '625']
['762', '593', '926', '497', '921', '57', '266', '655', '147', '974', '630', '883', '316', '331', '451', '626', '872', '759', '946', '315']
['637', '15', '396', '981', '437', '480', '640', '216', '597', '431', '55', '554', '126', '268', '667', '986', '700', '472', '192', '690']
['302', '740', '991', '583', '970', '743', '710', '633', '952', '596', '741', '827', '13', '941', '462', '547', '992', '989', '297', '452']
['3', '801', '769', '361', '168', '617', '335', '866', '661', '639', '474', '595', '556', '557', '79', '899', '697', '279', '412', '359']
['734', '814', '820', '558', '283', '465', '38', '289', '788', '60', '871', '937', '323', '924', '259', '49', '538', '298', '179', '363']
['516', '789', '806', '504', '551', '990', '343', '352', '303', '830', '755', '818', '277', '123', '774', '389', '805', '225', '707', '683']
['285', '833', '621', '351', '772', '189', '954', '459', '811', '903', '276', '731', '724', '960', '953', '795', '35', '251', '244', '980']
['165', '312', '197', '234', '185', '454', '122', '384', '881', '275', '401', '727', '436', '358', '800', '230', '706', '751', '365', '293']
['202', '956', '895', '235', '967', '199', '83', '489', '435', '300', '664', '539', '932', '127', '522', '400', '242', '399', '456', '171']
['511', '752', '563', '433', '581', '256', '177', '865', '306', '89', '897', '383', '695', '685', '458', '568', '943', '627', '286', '602']
['567', '207', '607', '601', '878', '585', '84', '619', '46', '579', '501', '908', '280', '813', '794', '886', '155', '846', '58', '543']
['353', '114', '50', '766', '455', '687', '340', '688', '835', '408', '274', '832', '63', '796', '332', '949', '310', '863', '510', '850']
['446', '381', '666', '912', '160', '354', '423', '845', '236', '910', '224', '387', '591', '644', '410', '440', '773', '745', '32', '447']
['129', '346', '519', '696', '194', '524', '867', '208', '167', '609', '257', '448', '120', '546', '839', '620', '237', '232', '267', '105']
['837', '360', '233', '386', '600', '738', '213', '419', '728', '804', '729', '461', '152', '44', '997', '483', '566', '368', '781', '73']
['206', '372', '807', '852', '132', '709', '337', '509', '422', '775', '892', '942', '369', '823', '834', '520', '21', '603', '705', '333']
['606', '861', '411', '339', '76', '757', '245', '779', '417', '220', '662', '742', '935', '282', '128', '702', '415', '284', '758', '870']
['482', '809', '679', '328', '253', '930', '198', '397', '976', '859', '840', '102', '42', '322', '514', '598', '460', '239', '646', '951']
['638', '798', '570', '849', '904', '838', '875', '534', '578', '988', '730', '763', '612', '215', '770', '896', '20', '569', '957', '6']
['161', '608', '786', '108', '680', '321', '737', '901', '635', '178', '376', '330', '99', '16', '587', '958', '110', '694', '693', '469']
['103', '589', '983', '426', '8', '98', '717', '530', '23', '977', '85', '555', '80', '929', '877', '542', '176', '130', '692', '466']
