['993', '291', '608']
['928', '458', '70']
['248', '700', '229']
['408', '998', '470']
['465', '207', '963']
['438', '14', '436']
['543', '650', '978']
['365', '59', '149']
['453', '577', '196']
['557', '289', '885']
['455', '260', '603']
['413', '143', '891']
['647', '214', '510']
['297', '880', '429']
['728', '960', '330']
['632', '466', '165']
['803', '114', '103']
['688', '301', '303']
['283', '73', '841']
['977', '404', '448']
['616', '130', '582']
['255', '898', '261']
['694', '133', '958']
['904', '151', '780']
['525', '563', '641']
['864', '890']
['389', '394', '234']
['645', '313', '395']
['624', '141', '965']
['5', '761', '950']
['643', '929', '970']
['144', '174', '749']
['562', '322', '371']
['123', '398', '72']
['814', '916']
['367', '986', '339']
['76', '113', '44']
['649', '722', '800']
['635', '836', '166']
['126', '773', '217']
['210', '619', '799']
['471', '504', '489']
['295', '373', '887']
['93', '871', '900']
['451', '815', '9']
['571', '352', '984']
['727', '636', '409']
['866', '305', '350']
['491', '456', '98']
['859', '881', '949']
['526', '593', '981']
['390', '488', '750']
['828', '189', '212']
['310', '473', '786']
['431', '287', '662']
['853', '546', '934']
['824', '90', '129']
['52', '973', '536']
['541', '923', '499']
['0', '987', '101']
['553', '317', '936']
['62', '461', '377']
['908', '845', '233']
['720', '620', '738']
['247', '873', '805']
['148', '953', '634']
['507', '784', '116']
['105', '342', '816']
['609', '50', '318']
['388', '658', '595']
['77', '312', '39']
['629', '590', '948']
['203', '63', '341']
['370', '674', '837']
['197', '726', '61']
['421', '25', '858']
['718', '64', '348']
['639', '446', '704']
['418', '8', '434']
['804', '943', '586']
['268', '827', '94']
['69', '201', '356']
['472', '654', '155']
['325', '938', '899']
['623', '147', '778']
['497', '349', '782']
['997', '179', '346']
['19', '988', '684']
['175', '682', '392']
['860', '172', '583']
['241', '397', '587']
['675', '556', '575']
['163', '528', '877']
['128', '922', '753']
['747', '187', '517']
['407', '316', '361']
['500', '358', '300']
['393', '826', '514']
['91', '882', '275']
['430', '776', '698']
['979', '222', '368']
['699', '219', '941']
['376', '55', '646']
['921', '626', '785']
['884', '657', '437']
['721', '524', '955']
['673', '902', '335']
['714', '328', '939']
['263', '140', '911']
['920', '669', '259']
['483', '6', '832']
['710', '411', '145']
['274', '156', '7']
['200', '226', '119']
['184', '262', '375']
['495', '107', '565']
['364', '627', '558']
['659', '102', '622']
['181', '874', '447']
['467', '683', '631']
['719', '743', '86']
['256', '239', '830']
['379', '195', '309']
['324', '676', '518']
['168', '231', '745']
['681', '505', '734']
['182', '863', '293']
['985', '668', '735']
['768', '791', '542']
['320', '834', '139']
['852', '968', '454']
['531', '825', '329']
['829', '740', '178']
['843', '224', '545']
['479', '304', '109']
['121', '31', '996']
['439', '253', '54']
['548', '919', '83']
['71', '927', '606']
['598', '276', '34']
['802', '574', '544']
['573', '230', '424']
['65', '560', '966']
['162', '18', '559']
['896', '378', '732']
['766', '961', '775']
['696', '319', '533']
['457', '967', '917']
['589', '423', '459']
['758', '125', '190']
['808', '991', '690']
['127', '194', '930']
['426', '110', '705']
['416', '285', '914']
['112', '298', '279']
['868', '347', '440']
['391', '4', '131']
['355', '338', '869']
['741', '193', '311']
['42', '892', '872']
['443', '878', '633']
['215', '67', '177']
['492', '748', '701']
['538', '501', '760']
['512', '227', '962']
['245', '80', '236']
['432', '689', '823']
['22', '99', '925']
['585', '218', '270']
['124', '468', '946']
['671', '57', '403']
['452', '964', '770']
['399', '427', '621']
