40
18
['AIQ', 'ANK', 'ASS', 'ALG', 'AGN', 'AGE', 'ATF', 'AHA', 'AAJ', 'AKL', 'AEL', 'AQO', 'ADB']
['AEL', 'ASS', 'AAJ', 'ANK', 'ADB', 'AIQ', 'ATF', 'ALG', 'AQO', 'AKL', 'AHA', 'AGN', 'AGE']
['ATF', 'ALG', 'ASS', 'ADB', 'ANK', 'AIQ', 'AKL', 'AGE', 'AAJ', 'AHA', 'AGN', 'AQO', 'AEL']
['ASS', 'AEL', 'AGE', 'AHA', 'AIQ', 'ALG', 'AGN', 'ANK', 'ADB', 'AQO', 'AAJ', 'ATF', 'AKL']
['ADB', 'AKL', 'AIQ', 'AAJ', 'AHA', 'ASS', 'AGN', 'ATF', 'AEL', 'ANK', 'AGE', 'ALG', 'AQO']
['AIQ', 'ALG', 'AQO', 'AEL', 'ADB', 'ASS', 'ATF', 'AKL', 'AGN', 'AHA', 'AGE', 'AAJ', 'ANK']
['AAJ', 'AHA', 'AGN', 'AQO', 'ANK', 'AIQ', 'ATF', 'ADB', 'ASS', 'AEL', 'ALG', 'AGE', 'AKL']
['ATF', 'AIQ', 'AGN', 'ASS', 'AEL', 'ALG', 'AHA', 'ANK', 'AQO', 'AGE', 'AKL', 'ADB', 'AAJ']
['AEL', 'AIQ', 'ANK', 'AQO', 'ASS', 'AAJ', 'AKL', 'ADB', 'ATF', 'AHA', 'AGE', 'ALG', 'AGN']
['AGE', 'AEL', 'AAJ', 'AKL', 'AGN', 'AHA', 'AQO', 'ASS', 'ALG', 'AIQ', 'ADB', 'ANK', 'ATF']
['ANK', 'AAJ', 'AIQ', 'ALG', 'AGE', 'ASS', 'ADB', 'AHA', 'AQO', 'AKL', 'AEL', 'ATF', 'AGN']
['AHA', 'AGE', 'AGN', 'ALG', 'ADB', 'AKL', 'AQO', 'ANK', 'ATF', 'ASS', 'AAJ', 'AEL', 'AIQ']
['AAJ', 'ANK', 'ADB', 'AHA', 'AIQ', 'AEL', 'ATF', 'ALG', 'AGN', 'AQO', 'ASS', 'AGE', 'AKL']
['AGN', 'AGE', 'ADB', 'ANK', 'ASS', 'AEL', 'ATF', 'AIQ', 'ALG', 'AQO', 'AKL', 'AHA', 'AAJ']
['AHA', 'AAJ', 'AQO', 'ALG', 'AGN', 'AEL', 'AGE', 'ASS', 'AIQ', 'ADB', 'ANK', 'ATF', 'AKL']
['AIQ', 'AGN', 'ALG', 'AAJ', 'AGE', 'ADB', 'ASS', 'AHA', 'ANK', 'AKL', 'AEL', 'AQO', 'ATF']
['ASS', 'AAJ', 'AHA', 'AKL', 'AEL', 'ADB', 'ALG', 'ATF', 'AGE', 'AQO', 'AGN', 'AIQ', 'ANK']
