5
15
['8', '43']
['30', '47']
['5', '16']
['0', '21']
['31', '41']
['5', '8']
['31', '47']
['41', '43']
['16', '30']
['21', '30']
['0', '16']
['33', '45']
['22', '39']
['37', '44']
['3', '49']
['1', '27']
['3', '44']
['22', '37']
['33', '49']
['39', '45']
['3', '37']
['27', '44']
['22', '33']
['1', '45']
['39', '49']
['13', '35']
['28', '32']
['10', '29']
['38', '40']
['2', '34']
['2', '40']
['13', '34']
['10', '32']
['29', '38']
['28', '35']
['2', '35']
['13', '40']
['28', '34']
['32', '38']
['4', '17']
['19', '48']
['9', '26']
['42', '46']
['15', '25']
['17', '25']
['4', '19']
['9', '42']
['15', '26']
['46', '48']
['42', '48']
['9', '19']
['26', '46']
['6', '20']
['14', '18']
['7', '12']
['11', '24']
['23', '36']
['7', '20']
['12', '18']
['14', '23']
['24', '36']
['6', '11']
['18', '20']
['7', '24']
['14', '36']
['6', '12']
['11', '23']
