['7', '11', '13', '15', '16', '28', '30', '45', '58', '79', '174', '184', '186', '190', '223', '245']
['46', '122', '123', '129', '133', '151', '158', '160', '175', '185', '209', '210', '212', '236', '249', '255']
['6', '25', '27', '52', '55', '60', '83', '102', '180', '199', '200', '219', '222', '237', '242', '243']
['90', '91', '99', '105', '114', '118', '132', '154', '173', '181', '183', '230', '235', '240', '241', '248']
['2', '19', '26', '29', '32', '35', '36', '37', '43', '84', '124', '191', '193', '194', '205', '231']
['57', '70', '100', '119', '120', '156', '164', '166', '170', '176', '207', '208', '215', '217', '225', '232']
['8', '21', '42', '44', '47', '48', '63', '77', '78', '107', '150', '161', '171', '192', '229', '247']
['33', '74', '82', '94', '95', '103', '112', '137', '157', '169', '187', '195', '202', '224', '233', '252']
['0', '1', '4', '18', '20', '41', '56', '59', '140', '143', '147', '148', '152', '246', '250', '254']
['24', '34', '67', '71', '76', '89', '109', '117', '128', '142', '159', '178', '197', '206', '216', '221']
['22', '39', '40', '51', '61', '64', '68', '88', '97', '113', '130', '139', '201', '227', '228', '253']
['80', '87', '111', '115', '135', '138', '145', '149', '163', '165', '168', '172', '188', '196', '198', '218']
['5', '9', '14', '31', '49', '65', '81', '85', '104', '106', '121', '126', '131', '146', '182', '234']
['96', '98', '110', '116', '136', '153', '162', '189', '203', '204', '211', '213', '220', '226', '244', '251']
['3', '10', '12', '17', '23', '38', '50', '53', '54', '62', '86', '92', '101', '144', '155', '238']
['66', '69', '72', '73', '75', '93', '108', '125', '127', '134', '141', '167', '177', '179', '214', '239']
