['23', '102', '110', '116', '142', '161', '164', '185', '206', '230', '258', '285', '331', '332', '348', '363', '408', '410', '414', '418', '435', '470']
['26', '39', '56', '58', '65', '100', '131', '145', '159', '199', '205', '227', '233', '251', '262', '279', '300', '322', '328', '349', '397', '464']
['2', '16', '22', '49', '79', '80', '92', '120', '124', '173', '180', '183', '195', '225', '248', '336', '347', '377', '390', '425', '439', '482']
['21', '51', '76', '90', '94', '139', '150', '162', '174', '189', '200', '223', '231', '250', '308', '315', '324', '376', '392', '469', '473', '484']
['52', '85', '119', '130', '158', '197', '208', '260', '318', '319', '342', '369', '395', '403', '419', '442', '444', '446', '453', '476', '479', '483']
['4', '8', '14', '31', '34', '66', '123', '140', '179', '198', '210', '220', '263', '271', '293', '304', '316', '350', '388', '428', '457', '474']
['69', '78', '86', '98', '117', '128', '132', '148', '202', '222', '232', '249', '256', '267', '317', '330', '375', '389', '391', '393', '404', '430']
['18', '24', '40', '54', '64', '68', '129', '133', '155', '157', '176', '221', '280', '283', '292', '305', '370', '402', '421', '423', '447', '480']
['10', '17', '32', '38', '41', '44', '47', '61', '88', '93', '121', '302', '303', '314', '333', '343', '344', '368', '387', '420', '422', '454']
['9', '43', '55', '77', '168', '204', '247', '252', '284', '325', '339', '341', '353', '367', '406', '409', '413', '438', '456', '459', '466', '471']
['3', '7', '27', '29', '122', '175', '181', '190', '191', '226', '228', '236', '239', '243', '259', '289', '307', '311', '321', '352', '358', '401']
['1', '20', '48', '62', '67', '107', '137', '143', '153', '213', '215', '219', '265', '282', '361', '379', '385', '432', '437', '443', '468', '475']
['35', '84', '103', '106', '135', '170', '186', '214', '274', '286', '296', '299', '326', '334', '355', '378', '380', '412', '424', '450', '458', '467']
['37', '53', '63', '95', '171', '177', '193', '211', '234', '244', '273', '275', '287', '309', '335', '345', '360', '365', '382', '417', '436', '472']
['19', '25', '50', '105', '141', '169', '216', '235', '242', '257', '261', '276', '298', '346', '356', '383', '394', '407', '452', '455', '481', '485']
['45', '57', '71', '96', '111', '112', '115', '118', '138', '152', '154', '166', '188', '196', '246', '290', '301', '359', '362', '373', '460', '461']
['6', '42', '70', '82', '101', '104', '125', '127', '151', '165', '203', '224', '229', '241', '295', '310', '329', '371', '386', '405', '433', '465']
['13', '30', '73', '109', '114', '194', '207', '209', '217', '238', '240', '245', '269', '337', '354', '374', '381', '384', '400', '429', '440', '478']
['15', '28', '36', '72', '81', '87', '108', '201', '237', '253', '268', '272', '278', '291', '294', '327', '340', '411', '431', '434', '463', '477']
['5', '11', '59', '60', '74', '113', '134', '147', '172', '182', '212', '218', '270', '312', '313', '338', '357', '399', '415', '416', '427', '445']
['12', '75', '83', '99', '126', '144', '146', '149', '156', '163', '167', '184', '187', '264', '277', '281', '323', '372', '396', '426', '448', '462']
['33', '46', '89', '91', '97', '136', '160', '178', '192', '254', '255', '266', '288', '297', '306', '320', '351', '364', '366', '398', '441', '449', '451']
