['2', '3', '4', '20', '21', '22', '23', '24', '40', '41', '42', '43', '44', '60', '62', '63', '64', '82', '83']
['61', '80', '81', '100', '101', '102', '120', '121', '122', '123', '124', '140', '141', '142', '143', '144', '145', '165', '166']
['88', '89', '90', '103', '104', '105', '106', '107', '108', '109', '125', '127', '128', '129', '148', '149', '168', '169', '188']
['9', '10', '11', '29', '30', '31', '49', '50', '51', '52', '69', '70', '91', '92', '93', '110', '111', '130', '150']
['5', '6', '7', '8', '25', '26', '27', '28', '45', '46', '47', '48', '65', '66', '67', '68', '85', '86', '87']
['167', '186', '187', '203', '204', '205', '206', '207', '208', '223', '224', '225', '226', '243', '244', '245', '263', '264', '284']
['151', '170', '171', '172', '190', '191', '209', '210', '211', '228', '229', '230', '231', '232', '250', '251', '270', '271', '290']
['227', '246', '248', '269', '286', '287', '288', '289', '306', '307', '308', '309', '310', '311', '326', '327', '331', '346', '401']
['160', '161', '162', '163', '164', '180', '181', '182', '183', '184', '185', '200', '201', '202', '220', '221', '222', '241', '242']
['0', '1', '126', '146', '147', '305', '325', '340', '341', '347', '348', '360', '363', '367', '378', '379', '383', '384', '388']
['17', '18', '37', '38', '39', '57', '58', '59', '79', '402', '403', '404', '405', '410', '411', '412', '413', '416', '417']
['12', '13', '14', '15', '16', '32', '33', '34', '35', '36', '53', '54', '55', '56', '74', '408', '409', '414', '415']
['155', '157', '174', '175', '177', '178', '192', '194', '212', '213', '217', '218', '233', '238', '239', '406', '407', '418', '419']
['75', '76', '77', '78', '96', '97', '98', '116', '117', '118', '119', '136', '137', '138', '139', '156', '158', '159', '176']
['71', '72', '73', '94', '95', '112', '113', '114', '115', '131', '132', '133', '134', '135', '152', '153', '154', '173', '193']
['237', '255', '256', '257', '258', '276', '277', '278', '279', '296', '297', '298', '299', '315', '317', '318', '319', '337', '338']
['19', '84', '99', '179', '189', '219', '259', '291', '328', '339', '359', '365', '381', '382', '385', '386', '389', '399', '400']
['197', '198', '199', '249', '285', '322', '323', '324', '329', '342', '343', '344', '345', '361', '362', '364', '366', '380', '387']
['312', '313', '330', '332', '333', '349', '350', '351', '352', '353', '368', '369', '370', '371', '372', '373', '390', '391', '392']
['195', '196', '214', '215', '216', '234', '235', '236', '252', '253', '254', '272', '273', '274', '275', '292', '293', '294', '295']
['240', '247', '260', '261', '262', '265', '266', '267', '268', '280', '281', '282', '283', '300', '301', '302', '303', '304', '320', '321']
['314', '316', '334', '335', '336', '354', '355', '356', '357', '358', '374', '375', '376', '377', '393', '394', '395', '396', '397', '398']
