['344', '346', '349', '351']
['345', '348', '352', '357']
['347', '350', '354', '359']
['361', '363', '364', '366']
['368', '370', '373', '375']
['353', '356', '360', '365']
['355', '358', '362', '367']
['328', '330', '333', '335']
['329', '331', '332', '334']
['338', '339', '342', '343']
['336', '337', '340', '341']
['321', '323', '324', '326']
['320', '322', '325', '327']
['314', '315', '318', '319']
['312', '313', '316', '317']
['264', '265', '268', '269']
['266', '267', '270', '271']
['273', '275', '276', '278']
['272', '274', '277', '279']
['258', '259', '262', '263']
['256', '257', '260', '261']
['248', '249', '252', '253']
['250', '251', '254', '255']
['280', '281', '284', '285']
['282', '283', '286', '287']
['288', '290', '293', '295']
['289', '291', '292', '294']
['296', '298', '301', '303']
['297', '299', '300', '302']
['306', '307', '310', '311']
['304', '305', '308', '309']
['385', '387', '388', '390']
['394', '395', '398', '399']
['392', '393', '396', '397']
['377', '380', '384', '389']
['379', '382', '386', '391']
['376', '378', '381', '383']
['369', '371', '372', '374']
['418', '419', '422', '423']
['416', '417', '420', '421']
['425', '427', '428', '430']
['424', '426', '429', '431']
['408', '410', '413', '415']
['409', '411', '412', '414']
['400', '402', '405', '407']
['401', '403', '404', '406']
['482', '483', '486', '487']
['480', '481', '484', '485']
['489', '491', '492', '494']
['488', '490', '493', '495']
['464', '466', '469', '471']
['465', '467', '468', '470']
['472', '473', '476', '477']
['474', '475', '478', '479']
['448', '450', '453', '455']
['449', '451', '452', '454']
['456', '457', '460', '461']
['458', '459', '462', '463']
['441', '443', '444', '446']
['440', '442', '445', '447']
['432', '433', '436', '437']
['434', '435', '438', '439']
['96', '98', '101', '103']
['97', '100', '104', '109']
['99', '102', '106', '111']
['115', '118', '122', '127']
['113', '116', '120', '125']
['105', '107', '108', '110']
['112', '114', '117', '119']
['65', '67', '68', '70']
['64', '66', '69', '71']
['73', '75', '76', '78']
['72', '74', '77', '79']
['82', '83', '86', '87']
['80', '81', '84', '85']
['90', '91', '94', '95']
['88', '89', '92', '93']
['57', '59', '60', '62']
['56', '58', '61', '63']
['48', '49', '52', '53']
['50', '51', '54', '55']
['32', '34', '37', '39']
['33', '35', '36', '38']
['40', '42', '45', '47']
['41', '43', '44', '46']
['16', '17', '20', '21']
['18', '19', '22', '23']
['24', '25', '28', '29']
['26', '27', '30', '31']
['8', '10', '13', '15']
['9', '11', '12', '14']
['0', '1', '4', '5']
['2', '3', '6', '7']
['241', '243', '244', '246']
['233', '235', '236', '238']
['240', '242', '245', '247']
['217', '219', '220', '222']
['224', '226', '229', '231']
['225', '228', '232', '237']
['227', '230', '234', '239']
['185', '187', '188', '190']
['192', '194', '197', '199']
['193', '195', '196', '198']
['200', '202', '205', '207']
['201', '203', '204', '206']
['208', '210', '213', '215']
['209', '211', '212', '214']
['216', '218', '221', '223']
['152', '154', '157', '159']
['145', '147', '148', '150']
['137', '139', '140', '142']
['144', '146', '149', '151']
['121', '123', '124', '126']
['128', '130', '133', '135']
['131', '134', '138', '143']
['129', '132', '136', '141']
['169', '171', '172', '174']
['176', '178', '181', '183']
['179', '182', '186', '191']
['177', '180', '184', '189']
['161', '163', '164', '166']
['168', '170', '173', '175']
['155', '158', '162', '167']
['153', '156', '160', '165']
