['86', '92', '94', '102', '129', '155', '156', '181', '183', '185', '222', '262', '271', '283', '317', '320', '345', '378', '432', '444', '448', '495']
['34', '39', '51', '81', '115', '135', '140', '143', '170', '171', '253', '257', '265', '267', '347', '350', '356', '394', '396', '404', '414', '422']
['10', '41', '58', '68', '85', '104', '113', '132', '134', '146', '184', '194', '275', '294', '349', '361', '366', '373', '388', '424', '456', '490']
['2', '5', '23', '37', '69', '117', '145', '147', '160', '173', '202', '217', '218', '219', '225', '263', '270', '298', '336', '362', '374', '408']
['7', '9', '46', '53', '55', '109', '119', '127', '150', '187', '226', '256', '285', '296', '310', '331', '370', '381', '387', '411', '425', '492']
['6', '12', '26', '30', '44', '74', '87', '103', '125', '149', '172', '176', '260', '306', '371', '403', '446', '447', '460', '470', '473', '477']
['35', '79', '82', '88', '96', '116', '169', '175', '215', '233', '235', '255', '264', '311', '313', '340', '359', '391', '457', '461', '466', '487', '488']
['52', '63', '66', '78', '110', '111', '174', '196', '201', '211', '236', '238', '247', '268', '269', '299', '314', '324', '386', '397', '413', '443', '450']
['3', '19', '25', '75', '118', '126', '131', '182', '223', '234', '252', '258', '272', '273', '293', '315', '316', '327', '346', '380', '438', '479', '486']
['70', '72', '84', '89', '106', '144', '157', '162', '200', '203', '210', '266', '274', '278', '292', '351', '353', '360', '369', '428', '471', '472', '475']
['32', '36', '45', '49', '73', '98', '100', '107', '114', '152', '159', '163', '178', '214', '261', '290', '312', '342', '379', '400', '430', '480', '496']
['16', '64', '71', '77', '158', '229', '242', '279', '284', '309', '329', '338', '376', '377', '382', '406', '421', '431', '441', '453', '483', '497', '498']
['20', '24', '31', '65', '80', '108', '120', '133', '154', '166', '179', '189', '230', '244', '254', '286', '289', '355', '399', '402', '416', '419', '435']
['11', '28', '54', '83', '121', '122', '180', '190', '191', '195', '213', '220', '250', '282', '302', '337', '357', '384', '407', '449', '455', '484', '491']
['59', '95', '130', '141', '161', '197', '206', '212', '221', '243', '300', '321', '334', '365', '418', '426', '436', '439', '459', '467', '468', '476', '478']
['0', '4', '8', '15', '38', '48', '112', '139', '198', '204', '216', '237', '241', '281', '305', '308', '330', '343', '367', '393', '420', '429', '499']
['1', '14', '50', '62', '124', '136', '188', '192', '209', '240', '248', '249', '288', '322', '326', '352', '364', '401', '417', '445', '451', '458', '493']
['22', '47', '56', '60', '76', '123', '137', '142', '224', '228', '232', '304', '319', '323', '332', '335', '368', '385', '405', '415', '433', '434', '482']
['61', '90', '93', '105', '128', '167', '168', '177', '186', '193', '207', '208', '301', '339', '348', '358', '363', '372', '375', '383', '390', '409', '485']
['13', '17', '18', '27', '43', '57', '67', '97', '148', '205', '276', '277', '297', '325', '328', '333', '392', '395', '398', '427', '437', '440', '474']
['21', '40', '42', '91', '99', '101', '138', '151', '153', '165', '199', '227', '259', '291', '295', '344', '423', '442', '454', '465', '469', '489', '494']
['29', '33', '164', '231', '239', '245', '246', '251', '280', '287', '303', '307', '318', '341', '354', '389', '410', '412', '452', '462', '463', '464', '481']
