['g13c4', 'g13c41', 'g13c42', 'g22c22', 'g16c4']
['g10c12', 'g10c4', 'g10c42', 'g10k2', 'g10c1']
['g10c3', 'g10c31', 'g10c32', 'g22c42', 'g22c21']
['g12k4', 'g12c4', 'g12c42', 'g22c01', 'g10k3']
['g12c2', 'g12c21', 'g12c22', 'g22c11', 'g22c31']
['g12c01', 'g12c3', 'g12c32', 'g10k1', 'g22c12']
['g22k0', 'g22k1', 'g22k2', 'g22c2', 'g22c1']
['g22k3', 'g22c3', 'g22c32', 'g22c4', 'g22c0']
['g13k0', 'g13c0', 'g13c01', 'g13c02', 'g10k0']
['g10c0', 'g10c01', 'g10c02', 'g10c11', 'g16c01']
['g10c2', 'g10c21', 'g10c22', 'g10c41', 'g22c02']
['g12c02', 'g12c1', 'g12c11', 'g12c12', 'g22k4']
['g13c11', 'g13c12', 'g16c31', 'g16c32', 'g16c0']
['g16c41', 'g16c21', 'g16c11', 'g16c12', 'g22c41']
['g16c22', 'g16c02', 'g13c22', 'g12c31', 'g10k4']
['g3k0', 'g3k1', 'g3k2', 'g3k3', 'g3k4']
['g3c2', 'g3c21', 'g3c22', 'g3c31', 'g3c32']
['g21c01', 'g21c02', 'g21c1', 'g21c11', 'g21c12']
['g3c02', 'g3c3', 'g3c4', 'g3c41', 'g3c42']
['g3c0', 'g3c01', 'g3c1', 'g3c11', 'g3c12']
['g21c2', 'g21c21', 'g21c22', 'g21c3', 'g21c31']
['g21c0', 'g21c32', 'g21c4', 'g21c41', 'g21c42']
['g21k0', 'g21k1', 'g21k2', 'g21k3', 'g21k4']
['g11k0', 'g11k1', 'g11k2', 'g11k3', 'g11k4']
['g11c02', 'g11c1', 'g11c11', 'g11c12', 'g11c2']
['g11c0', 'g11c01', 'g11c4', 'g11c41', 'g11c42']
['g11c21', 'g11c22', 'g11c3', 'g11c31', 'g11c32']
['g14c0', 'g14c32', 'g14c4', 'g14c41', 'g14c42']
['g17c02', 'g17c3', 'g17c4', 'g17c41', 'g17c42']
['g14c01', 'g14c02', 'g14c1', 'g14c11', 'g14c12']
['g14c2', 'g14c21', 'g14c22', 'g14c3', 'g14c31']
['g14k0', 'g14k1', 'g14k2', 'g14k3', 'g14k4']
['g15c2', 'g15c21', 'g15c22', 'g15c31', 'g15c32']
['g15c0', 'g15c01', 'g15c1', 'g15c11', 'g15c12']
['g15k0', 'g15k1', 'g15k2', 'g15k3', 'g15k4']
['g15c02', 'g15c3', 'g15c4', 'g15c41', 'g15c42']
