['8', '13', '29', '31', '42', '70', '91', '92', '149', '172', '187', '203', '219', '250', '269', '291', '334', '349', '377', '392']
['4', '30', '40', '54', '113', '163', '209', '228', '254', '264', '279', '303', '332', '335', '357', '358', '359', '376', '380', '390']
['9', '16', '19', '22', '38', '49', '58', '63', '121', '132', '144', '178', '200', '236', '242', '305', '319', '355', '363', '394']
['0', '2', '23', '46', '59', '69', '90', '105', '110', '125', '136', '177', '221', '280', '295', '320', '351', '353', '356', '367']
['62', '67', '74', '88', '98', '133', '193', '201', '225', '227', '251', '261', '266', '275', '276', '290', '309', '323', '360', '388']
['20', '48', '68', '72', '137', '138', '176', '183', '184', '188', '232', '244', '265', '273', '284', '294', '331', '339', '375', '384']
['87', '97', '99', '100', '103', '127', '206', '207', '213', '241', '248', '249', '272', '281', '313', '314', '322', '354', '386', '395']
['7', '41', '51', '52', '56', '104', '108', '142', '161', '164', '214', '216', '243', '259', '278', '283', '299', '306', '383', '385']
['21', '24', '71', '77', '82', '114', '128', '147', '174', '210', '220', '229', '256', '287', '293', '298', '307', '316', '333', '346']
['36', '43', '83', '109', '111', '129', '148', '171', '230', '238', '317', '338', '343', '348', '369', '370', '373', '374', '378', '397']
['1', '27', '28', '34', '55', '75', '78', '86', '134', '150', '189', '195', '199', '226', '246', '257', '271', '312', '368', '400']
['12', '14', '15', '76', '85', '107', '159', '165', '166', '170', '181', '211', '260', '301', '324', '328', '342', '345', '365', '371']
['26', '32', '33', '45', '80', '95', '117', '135', '145', '151', '155', '191', '192', '212', '240', '270', '300', '302', '379', '382']
['10', '50', '101', '112', '115', '123', '143', '156', '160', '185', '208', '233', '277', '285', '304', '329', '330', '337', '347', '391']
['11', '35', '57', '66', '84', '126', '140', '146', '152', '153', '158', '167', '173', '175', '205', '215', '235', '321', '372', '396']
['5', '18', '44', '81', '93', '131', '168', '180', '223', '237', '253', '255', '258', '268', '282', '308', '325', '327', '350', '399']
['6', '65', '79', '89', '102', '106', '157', '162', '169', '198', '218', '224', '274', '286', '288', '297', '326', '344', '387', '398']
['17', '25', '37', '64', '73', '139', '182', '194', '196', '202', '245', '247', '252', '262', '263', '289', '310', '311', '341', '362']
['47', '53', '61', '94', '119', '124', '141', '186', '204', '231', '239', '267', '292', '296', '315', '336', '352', '364', '366', '389']
['3', '39', '60', '96', '116', '118', '120', '122', '130', '154', '179', '190', '197', '217', '222', '234', '318', '340', '361', '381', '393']
