['74', '13', '429', '154', '185', '163', '205', '360', '265', '476', '479', '253', '214', '181', '326', '93', '398', '382', '379', '137', '23', '207']
['310', '299', '150', '269', '147', '390', '41', '380', '400', '165', '130', '107', '342', '298', '457', '168', '170', '376', '153', '202', '232', '27']
['297', '459', '201', '45', '469', '404', '144', '19', '80', '24', '364', '472', '256', '249', '446', '264', '86', '278', '152', '468', '4', '17']
['241', '220', '20', '101', '204', '440', '377', '72', '331', '187', '464', '361', '340', '99', '108', '437', '463', '301', '44', '447', '196', '12']
['427', '176', '164', '226', '233', '470', '54', '291', '191', '350', '75', '335', '211', '401', '247', '396', '56', '368', '180', '90', '261', '439']
['59', '344', '36', '157', '431', '374', '225', '430', '73', '315', '221', '418', '467', '345', '286', '465', '275', '412', '317', '357', '290', '31']
['78', '63', '482', '448', '272', '197', '392', '268', '274', '358', '334', '124', '356', '158', '227', '443', '474', '117', '132', '359', '462', '408']
['411', '35', '302', '219', '171', '282', '306', '25', '347', '94', '166', '338', '206', '30', '213', '159', '48', '203', '22', '234', '60', '435']
['399', '64', '365', '88', '477', '260', '311', '29', '425', '292', '229', '341', '131', '252', '111', '155', '441', '434', '167', '424', '251', '271']
['417', '319', '91', '394', '314', '98', '248', '230', '419', '461', '242', '66', '473', '69', '183', '143', '11', '151', '16', '339', '312', '172']
['293', '438', '366', '109', '118', '149', '235', '337', '71', '161', '1', '453', '385', '426', '105', '442', '8', '352', '156', '454', '148', '104']
['103', '257', '177', '184', '33', '208', '145', '51', '89', '129', '192', '28', '325', '97', '456', '65', '372', '423', '409', '224', '239', '113']
['92', '422', '79', '83', '351', '389', '466', '406', '304', '460', '46', '228', '279', '384', '281', '49', '120', '284', '186', '142', '112', '39']
['2', '483', '386', '370', '452', '295', '294', '287', '42', '300', '475', '57', '420', '82', '308', '322', '138', '383', '436', '133', '444', '362']
['240', '212', '169', '353', '332', '309', '195', '391', '471', '119', '369', '323', '136', '307', '62', '189', '55', '433', '53', '87', '18', '321']
['14', '128', '273', '243', '296', '397', '50', '428', '146', '363', '10', '115', '258', '182', '480', '6', '407', '288', '34', '141', '174', '67']
['333', '162', '84', '375', '262', '450', '188', '371', '259', '455', '52', '387', '267', '355', '280', '313', '388', '432', '96', '194', '305', '330']
['199', '283', '445', '134', '61', '303', '245', '37', '85', '223', '102', '244', '116', '38', '413', '263', '126', '9', '316', '209', '255', '329']
['246', '175', '266', '348', '123', '410', '395', '320', '451', '343', '7', '140', '277', '70', '237', '218', '270', '415', '15', '215', '47', '58']
['346', '81', '210', '231', '95', '238', '354', '190', '77', '68', '40', '402', '318', '178', '21', '289', '336', '193', '393', '254', '414', '416']
['100', '381', '110', '121', '0', '250', '403', '217', '378', '405', '114', '179', '106', '127', '173', '216', '236', '125', '328', '276', '367', '324']
['43', '373', '5', '481', '458', '200', '135', '160', '327', '349', '76', '222', '32', '122', '478', '3', '198', '139', '449', '26', '285', '421']
