['76', '83', '198', '212', '191', '250', '182']
['207', '375', '415', '478', '309', '253']
['73', '202', '430', '439', '360', '189', '39']
['94', '303', '143', '266', '173', '171', '10']
['137', '220', '225', '325', '78', '60', '286']
['2', '81', '85', '124', '194', '199', '461']
['237', '459', '1', '5', '249', '257', '100']
['3', '59', '223', '233', '238', '440', '468']
['155', '285', '367', '376', '381', '424', '434']
['25', '101', '165', '246', '254', '333', '406']
['7', '47', '168', '267', '269', '371', '395']
['16', '79', '132', '192', '208', '315', '411']
['160', '380', '407', '444', '466', '470', '488']
['35', '86', '121', '215', '306', '352', '353']
['42', '51', '139', '148', '170', '314', '469']
['82', '102', '195', '211', '247', '255', '344']
['40', '103', '118', '295', '299', '362', '363']
['29', '117', '244', '294', '298', '340', '341']
['12', '64', '99', '177', '252', '296', '297']
['93', '186', '214', '231', '279', '308', '350']
['13', '14', '119', '122', '204', '310', '365']
['62', '66', '72', '157', '175', '179', '185']
['27', '70', '167', '183', '282', '336', '337']
['46', '162', '260', '379', '400', '443', '460']
['114', '258', '287', '349', '390', '433', '456']
['33', '84', '197', '213', '283', '348', '465']
['23', '80', '163', '193', '209', '328', '329']
['77', '206', '300', '301', '302', '304', '361']
['34', '351', '368', '389', '432', '450', '451']
['113', '159', '187', '190', '203', '284', '417']
['19', '54', '105', '135', '262', '320', '321']
['0', '6', '127', '154', '158', '261', '263']
['24', '67', '164', '180', '219', '330', '331']
['26', '69', '106', '166', '259', '334', '335']
['87', '88', '273', '293', '357', '447', '462']
['11', '63', '176', '288', '289', '290', '291']
['28', '71', '115', '184', '292', '338', '339']
['161', '169', '174', '391', '397', '448', '449']
['172', '201', '210', '342', '378', '467', '483']
['58', '372', '385', '392', '412', '471', '472']
['56', '153', '217', '324', '408', '416', '431']
['31', '74', '248', '251', '256', '345', '446']
['393', '399', '428', '436', '442', '479', '480']
['61', '369', '403', '425', '455', '458', '482']
['374', '387', '402', '422', '453', '475', '476']
['382', '409', '410', '414', '418', '420', '445']
['145', '377', '394', '429', '437', '454', '481']
['32', '75', '108', '196', '265', '346', '347']
['30', '96', '205', '343', '426', '435', '463']
['107', '188', '268', '401', '441', '452', '487']
['232', '373', '386', '398', '421', '473', '474']
['41', '104', '245', '307', '311', '364', '485']
['68', '181', '332', '388', '423', '477', '484']
['366', '370', '383', '384', '404', '419', '464']
['4', '18', '134', '230', '239', '318', '319']
['95', '98', '120', '235', '240', '243', '305']
['45', '126', '142', '236', '241', '242', '427']
['20', '55', '136', '152', '264', '322', '323']
['15', '50', '65', '147', '178', '312', '313']
['22', '57', '111', '138', '280', '326', '327']
['38', '97', '112', '234', '281', '358', '359']
['9', '49', '130', '146', '276', '277', '278']
['8', '21', '109', '129', '270', '274', '275']
['36', '91', '110', '228', '271', '354', '355']
['156', '216', '222', '224', '396', '405', '486']
['37', '92', '116', '221', '229', '356', '413']
['89', '90', '125', '226', '227', '438', '457']
['17', '52', '133', '149', '218', '316', '317']
['44', '48', '128', '131', '141', '151', '272']
['43', '53', '123', '140', '144', '150', '200']
