['13', '33', '47', '68', '75', '80', '98', '104', '129', '141', '157', '179', '215', '277', '326', '340', '362', '391', '437', '480']
['52', '71', '107', '116', '138', '178', '183', '223', '262', '283', '304', '338', '341', '352', '360', '383', '413', '420', '446', '490']
['27', '125', '134', '165', '209', '210', '255', '265', '287', '288', '308', '321', '349', '366', '393', '401', '432', '442', '478', '488']
['35', '62', '74', '81', '83', '102', '114', '124', '140', '148', '153', '182', '206', '212', '258', '328', '378', '394', '433', '491']
['2', '31', '45', '49', '92', '131', '147', '200', '232', '239', '240', '282', '314', '327', '372', '377', '382', '388', '403', '473']
['0', '1', '26', '44', '59', '78', '85', '90', '99', '137', '160', '250', '295', '302', '319', '331', '336', '358', '363', '454']
['10', '32', '57', '63', '88', '118', '130', '187', '208', '269', '299', '307', '309', '325', '342', '368', '399', '416', '426', '477']
['14', '24', '66', '86', '93', '100', '119', '151', '171', '217', '218', '220', '222', '263', '303', '350', '379', '438', '472', '486']
['5', '30', '43', '53', '72', '111', '194', '198', '207', '244', '274', '285', '306', '345', '371', '390', '443', '457', '470', '483']
['18', '51', '161', '173', '180', '226', '229', '243', '245', '261', '289', '337', '343', '380', '389', '402', '444', '455', '476', '489']
['19', '36', '61', '70', '139', '158', '172', '197', '211', '272', '356', '387', '422', '427', '447', '448', '456', '461', '462', '495']
['6', '23', '69', '84', '115', '120', '152', '163', '168', '185', '189', '216', '233', '301', '310', '323', '365', '398', '474', '498']
['4', '8', '15', '22', '34', '38', '60', '67', '82', '123', '144', '201', '224', '270', '296', '298', '300', '313', '348', '453']
['54', '91', '127', '135', '155', '176', '190', '219', '227', '234', '291', '324', '332', '392', '404', '409', '411', '465', '467', '499']
['29', '122', '162', '164', '204', '241', '246', '271', '273', '294', '297', '318', '334', '353', '384', '386', '400', '475', '485', '493']
['3', '17', '46', '133', '156', '202', '205', '213', '231', '251', '315', '316', '339', '359', '374', '417', '429', '451', '469', '492']
['37', '77', '113', '121', '149', '175', '186', '191', '230', '259', '268', '290', '311', '317', '330', '406', '423', '450', '460', '481']
['20', '25', '58', '64', '89', '142', '166', '169', '195', '221', '276', '292', '335', '346', '375', '428', '434', '449', '471', '496']
['28', '41', '50', '96', '108', '150', '193', '196', '214', '238', '252', '278', '305', '329', '344', '376', '381', '414', '415', '431']
['39', '48', '79', '97', '109', '146', '159', '237', '242', '267', '280', '286', '369', '395', '407', '430', '436', '458', '482', '494']
['7', '42', '73', '76', '106', '136', '145', '181', '225', '247', '257', '266', '279', '351', '367', '370', '385', '419', '466', '484']
['21', '87', '101', '105', '167', '174', '199', '203', '235', '248', '281', '284', '293', '347', '373', '397', '408', '421', '439', '445']
['11', '12', '40', '65', '94', '117', '128', '132', '170', '177', '192', '228', '264', '333', '364', '410', '435', '459', '463', '468']
['95', '110', '112', '143', '253', '256', '275', '320', '354', '355', '396', '412', '424', '425', '440', '441', '452', '479', '487', '497']
['9', '16', '55', '56', '103', '126', '154', '184', '188', '236', '249', '254', '260', '312', '322', '357', '361', '405', '418', '464']
