['218', '225', '226']
['207', '211', '212']
['217', '221', '222']
['219', '223', '224']
['220', '227', '228']
['229', '233', '234']
['231', '235', '236']
['205', '209', '210']
['232', '239', '240']
['230', '237', '238']
['195', '199', '200']
['206', '213', '214']
['196', '203', '204']
['194', '201', '202']
['193', '197', '198']
['181', '185', '186']
['184', '191', '192']
['208', '215', '216']
['183', '187', '188']
['182', '189', '190']
['134', '141', '142']
['123', '127', '128']
['121', '125', '126']
['122', '129', '130']
['124', '131', '132']
['146', '153', '154']
['145', '149', '150']
['136', '143', '144']
['135', '139', '140']
['133', '137', '138']
['147', '151', '152']
['158', '165', '166']
['159', '163', '164']
['160', '167', '168']
['157', '161', '162']
['148', '155', '156']
['171', '175', '176']
['172', '179', '180']
['169', '173', '174']
['170', '177', '178']
['97', '101', '102']
['98', '105', '106']
['88', '95', '96']
['87', '91', '92']
['85', '89', '90']
['80', '86', '94']
['73', '77', '78']
['100', '107', '108']
['79', '83', '93']
['75', '76', '84']
['62', '69', '70']
['64', '71', '72']
['61', '65', '66']
['74', '81', '82']
['63', '67', '68']
['110', '117', '118']
['99', '103', '104']
['109', '113', '114']
['112', '119', '120']
['111', '115', '116']
['14', '21', '22']
['3', '7', '8']
['2', '9', '10']
['4', '11', '12']
['1', '5', '6']
['26', '33', '34']
['28', '35', '36']
['16', '23', '24']
['13', '17', '18']
['15', '19', '20']
['39', '43', '44']
['50', '57', '58']
['52', '59', '60']
['49', '53', '54']
['51', '55', '56']
['27', '31', '32']
['25', '29', '30']
['37', '41', '42']
['40', '47', '48']
['38', '45', '46']
['303', '307', '308']
['314', '321', '322']
['304', '311', '312']
['301', '305', '306']
['302', '309', '310']
['326', '333', '334']
['325', '329', '330']
['315', '319', '320']
['313', '317', '318']
['316', '323', '324']
['339', '343', '344']
['350', '357', '358']
['349', '353', '354']
['352', '359', '360']
['351', '355', '356']
['328', '335', '336']
['327', '331', '332']
['338', '345', '346']
['337', '341', '342']
['340', '347', '348']
['255', '259', '260']
['266', '273', '274']
['253', '257', '258']
['254', '261', '262']
['256', '263', '264']
['241', '245', '246']
['242', '249', '250']
['268', '275', '276']
['243', '247', '248']
['244', '251', '252']
['265', '269', '270']
['267', '271', '272']
['280', '287', '288']
['278', '285', '286']
['277', '281', '282']
['279', '283', '284']
['290', '297', '298']
['292', '299', '300']
['289', '293', '294']
['291', '295', '296']
['399', '403', '404']
['410', '417', '418']
['412', '419', '420']
['409', '413', '414']
['411', '415', '416']
['385', '389', '390']
['387', '391', '392']
['397', '401', '402']
['400', '407', '408']
['398', '405', '406']
['374', '381', '382']
['363', '367', '368']
['362', '369', '370']
['364', '371', '372']
['361', '365', '366']
['388', '395', '396']
['386', '393', '394']
['376', '383', '384']
['375', '379', '380']
['373', '377', '378']
['434', '441', '442']
['423', '427', '428']
['422', '429', '430']
['421', '425', '426']
['424', '431', '432']
['446', '453', '454']
['445', '449', '450']
['436', '443', '444']
['433', '437', '438']
['435', '439', '440']
['470', '477', '478']
['459', '463', '464']
['471', '475', '476']
['472', '479', '480']
['469', '473', '474']
['447', '451', '452']
['448', '455', '456']
['457', '461', '462']
['458', '465', '466']
['460', '467', '468']
