['236']
['197']
['102']
['22', '114']
['62', '157']
['17', '59']
['72', '315']
['24', '199']
['107', '128']
['4', '132']
['3', '37']
['68', '79']
['44', '78']
['1', '116']
['54', '74']
['308', '332']
['28', '63']
['122', '145']
['89', '235']
['87', '143']
['27', '111']
['57', '127']
['193', '210']
['175', '190']
['92', '103']
['83', '91']
['168', '251']
['71', '108']
['70', '99']
['10', '93']
['29', '140']
['60', '133']
['7', '20']
['67', '97']
['214', '393']
['13', '121']
['23', '69']
['90', '125']
['21', '43']
['25', '81']
['106', '398']
['115', '329']
['141', '166']
['48', '135']
['33', '164']
['223', '339']
['109', '319']
['19', '65', '176']
['229', '336', '389']
['151', '237', '296']
['104', '159', '222']
['147', '384', '385']
['218', '278', '294']
['204', '276', '299']
['0', '224', '249']
['64', '82', '316']
['85', '347', '348']
['186', '283', '391']
['47', '207', '220']
['179', '361', '381']
['15', '31', '73']
['113', '216', '293']
['18', '26', '201']
['326', '331', '341']
['231', '383', '395']
['101', '150', '366']
['183', '191', '337']
['9', '56', '75']
['325', '368', '390']
['185', '255', '372']
['300', '330', '352']
['38', '163', '177']
['154', '182', '311']
['137', '208', '242']
['2', '50', '307']
['6', '244', '349']
['5', '123', '221']
['134', '205', '321']
['51', '304', '357']
['119', '167', '363']
['169', '230', '397']
['35', '184', '239']
['170', '174', '188']
['86', '327', '379']
['96', '318', '328']
['41', '253', '314']
['105', '138', '356']
['160', '211', '353']
['98', '129', '291']
['53', '126', '155']
['39', '139', '360']
['120', '206', '302']
['112', '215', '257']
['14', '34', '261']
['61', '124', '289']
['76', '171', '277']
['192', '281', '355']
['148', '280', '338']
['225', '226', '272']
['212', '241', '285']
['100', '273', '334']
['217', '312', '371']
['301', '310', '365']
['158', '172', '271']
['245', '333', '386']
['219', '305', '350']
['11', '117', '187']
['110', '370', '374']
['131', '297', '342']
['136', '198', '284']
['292', '295', '358']
['194', '346', '388']
['46', '94', '265']
['118', '165', '178']
['30', '233', '286']
['152', '240', '376']
['32', '263', '380']
['153', '162', '279']
['8', '340', '359']
['142', '149', '256']
['189', '303', '392']
['156', '344', '382']
['12', '40', '306']
['259', '345', '367']
['298', '362', '378']
['228', '274', '290']
['49', '66', '88']
['195', '227', '269']
['234', '247', '323']
['161', '260', '287']
['181', '258', '282']
['144', '351', '377']
['248', '317', '396']
['95', '270', '275']
['36', '246', '313']
['146', '266', '394']
['45', '52', '209']
['84', '262', '373']
['16', '250', '324']
['55', '58', '264']
['267', '288', '343']
['180', '203', '375']
['130', '243', '335']
['238', '254', '309']
['42', '213', '232']
['77', '202', '354']
['80', '268', '364']
['196', '252', '322']
['173', '200', '369']
['320', '387', '399']
