['349', '106', '35', '34', '435', '145', '496', '399', '398', '327', '124', '416', '312', '69', '466', '212', '218', '288', '110', '181', '152', '477']
['290', '101', '36', '438', '0', '142', '132', '490', '456', '175', '253', '76', '121', '410', '260', '117', '421', '228', '49', '41', '484', '483']
['38', '37', '338', '330', '147', '143', '20', '179', '171', '182', '180', '10', '325', '122', '386', '67', '58', '111', '119', '305', '45', '488']
['344', '279', '237', '492', '25', '27', '84', '174', '173', '184', '120', '123', '418', '380', '169', '352', '213', '286', '51', '420', '302', '159']
['447', '109', '439', '238', '1', '29', '377', '83', '7', '247', '17', '125', '66', '467', '53', '422', '426', '223', '157', '48', '481', '476']
['294', '193', '443', '446', '108', '454', '188', '189', '15', '18', '205', '414', '136', '311', '366', '388', '358', '215', '50', '220', '44', '5']
['347', '293', '195', '192', '442', '82', '86', '240', '178', '187', '326', '78', '411', '259', '167', '283', '287', '269', '57', '309', '229', '482', '472']
['341', '343', '102', '236', '495', '22', '87', '451', '73', '70', '126', '313', '381', '62', '254', '165', '351', '282', '265', '52', '227', '43', '489']
['346', '191', '271', '105', '431', '140', '403', '402', '401', '245', '8', '362', '361', '382', '68', '255', '465', '214', '210', '211', '268', '303', '221']
['292', '199', '331', '234', '133', '406', '405', '374', '376', '457', '177', '176', '183', '321', '329', '364', '161', '353', '429', '425', '306', '154', '42']
['299', '194', '100', '436', '91', '144', '499', '494', '21', '248', '14', '200', '384', '61', '460', '356', '350', '289', '284', '263', '155', '46', '486']
['342', '348', '291', '449', '32', '99', '141', '404', '378', '372', '395', '246', '241', '2', '74', '216', '281', '262', '158', '487', '470', '471', '478']
['296', '190', '272', '441', '31', '95', '94', '230', '233', '28', '89', '458', '453', '323', '202', '206', '368', '389', '4', '266', '264', '115', '81']
['340', '444', '39', '333', '6', '130', '493', '408', '371', '455', '185', '322', '79', '127', '129', '315', '363', '280', '118', '308', '390', '47', '485']
['274', '440', '104', '30', '434', '90', '146', '148', '135', '134', '491', '409', '392', '452', '387', '462', '355', '423', '424', '304', '225', '222', '40']
['334', '98', '239', '498', '379', '393', '391', '397', '249', '320', '203', '209', '139', '369', '383', '64', '463', '168', '160', '162', '359', '219', '156']
['298', '275', '445', '107', '232', '149', '497', '24', '23', '85', '19', '328', '415', '417', '413', '317', '314', '217', '226', '114', '151', '80', '479']
['345', '297', '270', '103', '335', '336', '131', '400', '373', '396', '394', '459', '172', '412', '250', '461', '354', '59', '54', '113', '112', '300', '153']
['198', '278', '430', '332', '92', '231', '375', '170', '11', '204', '128', '419', '316', '3', '65', '256', '464', '166', '9', '267', '301', '150', '475']
['196', '276', '433', '235', '407', '244', '243', '242', '186', '13', '16', '201', '208', '75', '258', '319', '310', '60', '164', '163', '357', '261', '55']
['197', '273', '277', '448', '437', '432', '339', '370', '450', '324', '77', '72', '71', '137', '138', '367', '360', '385', '251', '469', '116', '427', '474']
['295', '33', '337', '93', '97', '96', '26', '12', '207', '318', '365', '257', '468', '285', '56', '63', '252', '428', '307', '224', '88', '480', '473']
