['16', '38', '60', '82', '93', '104', '148', '170', '192', '214', '236', '258', '280', '302', '324', '341', '368', '374', '390', '447', '456', '478']
['11', '33', '55', '77', '99', '121', '143', '165', '187', '209', '231', '253', '297', '319', '363', '373', '385', '429', '446', '451', '473', '495']
['21', '43', '65', '87', '109', '131', '153', '175', '197', '199', '219', '241', '263', '285', '307', '329', '351', '395', '417', '439', '461', '483']
['19', '63', '85', '107', '129', '151', '173', '195', '217', '239', '243', '261', '283', '305', '327', '371', '387', '406', '407', '415', '437', '481']
['15', '37', '59', '81', '103', '125', '147', '169', '191', '213', '235', '257', '279', '301', '345', '346', '367', '389', '411', '433', '465', '477']
['10', '32', '54', '76', '98', '120', '142', '164', '186', '208', '230', '252', '274', '289', '296', '323', '333', '340', '384', '393', '472', '494']
['2', '24', '46', '68', '90', '112', '156', '178', '200', '222', '244', '266', '288', '310', '332', '375', '376', '398', '420', '442', '460', '463', '486']
['17', '39', '61', '83', '105', '127', '134', '149', '171', '193', '215', '237', '255', '259', '281', '303', '325', '347', '349', '369', '391', '435', '479']
['12', '34', '56', '78', '100', '122', '144', '166', '188', '210', '232', '254', '276', '298', '320', '342', '364', '386', '408', '430', '452', '474', '496']
['20', '42', '51', '64', '86', '108', '130', '152', '174', '196', '218', '240', '262', '284', '306', '318', '328', '372', '394', '403', '438', '455', '482']
['13', '35', '57', '79', '101', '123', '145', '167', '189', '202', '211', '233', '277', '299', '321', '343', '365', '409', '422', '431', '453', '475', '497']
['6', '28', '50', '72', '94', '116', '138', '160', '182', '204', '226', '248', '270', '292', '314', '336', '358', '362', '380', '402', '424', '468', '490']
['5', '27', '49', '71', '115', '137', '159', '181', '203', '225', '247', '269', '275', '313', '335', '357', '379', '401', '419', '423', '445', '485', '489']
['3', '25', '47', '69', '91', '113', '126', '135', '157', '179', '201', '223', '245', '267', '311', '354', '355', '377', '382', '399', '421', '443', '487']
['8', '30', '52', '74', '96', '118', '140', '162', '184', '206', '228', '250', '272', '294', '316', '338', '360', '404', '426', '449', '462', '470', '492']
['0', '22', '44', '66', '88', '110', '132', '154', '176', '198', '220', '242', '264', '286', '308', '330', '352', '359', '396', '418', '440', '459', '484']
['1', '23', '45', '67', '89', '111', '133', '155', '177', '221', '287', '291', '309', '331', '350', '353', '397', '412', '413', '434', '441', '450', '464']
['4', '26', '48', '70', '92', '114', '136', '158', '180', '224', '246', '268', '290', '312', '334', '356', '378', '400', '416', '444', '466', '476', '488']
['18', '40', '62', '84', '106', '128', '150', '172', '194', '216', '238', '260', '282', '304', '326', '348', '370', '392', '414', '436', '458', '467', '480']
['7', '29', '41', '73', '95', '117', '139', '161', '183', '205', '227', '249', '265', '271', '293', '315', '337', '381', '425', '457', '469', '491', '499']
['9', '31', '53', '75', '97', '119', '141', '163', '185', '207', '229', '251', '273', '295', '317', '339', '361', '383', '405', '427', '428', '471', '493']
['14', '36', '58', '80', '102', '124', '146', '168', '190', '212', '234', '256', '278', '300', '322', '344', '366', '388', '410', '432', '448', '454', '498']
