['5', '25', '45', '65', '85', '105', '125', '205', '215', '245', '285', '305', '325', '329', '335', '345', '365', '385', '386']
['6', '26', '46', '66', '86', '106', '126', '146', '156', '166', '186', '206', '226', '246', '266', '286', '306', '346', '366']
['15', '35', '55', '75', '95', '115', '135', '155', '175', '195', '235', '255', '275', '295', '312', '315', '355', '375', '395']
['16', '36', '56', '70', '76', '96', '116', '136', '176', '196', '236', '256', '276', '296', '303', '316', '317', '356', '376']
['9', '29', '49', '69', '89', '109', '129', '149', '169', '189', '209', '229', '249', '269', '289', '309', '349', '381', '389']
['4', '24', '44', '64', '84', '104', '124', '144', '164', '184', '204', '224', '244', '267', '284', '304', '324', '344', '364']
['8', '28', '48', '68', '88', '108', '114', '148', '168', '208', '228', '248', '288', '308', '321', '328', '348', '368', '388']
['1', '21', '41', '61', '81', '101', '161', '181', '201', '221', '241', '261', '281', '301', '326', '334', '336', '341', '361']
['11', '31', '111', '131', '141', '145', '151', '165', '185', '188', '211', '213', '225', '251', '265', '268', '271', '351', '391']
['7', '47', '67', '87', '107', '147', '167', '187', '207', '219', '227', '259', '287', '307', '347', '360', '370', '380', '387']
['42', '51', '71', '82', '91', '93', '102', '133', '171', '182', '190', '191', '193', '231', '291', '311', '322', '331', '371']
['10', '30', '50', '90', '99', '110', '121', '130', '150', '170', '210', '230', '250', '270', '290', '310', '350', '390', '399']
['13', '33', '53', '73', '113', '153', '173', '233', '253', '273', '293', '313', '320', '330', '333', '337', '353', '373', '393']
['0', '20', '27', '40', '60', '80', '100', '120', '127', '140', '160', '180', '200', '220', '240', '260', '280', '300', '367']
['3', '23', '43', '63', '74', '83', '103', '123', '163', '183', '203', '223', '243', '263', '283', '343', '363', '383', '384']
['2', '22', '62', '72', '122', '142', '152', '162', '178', '202', '222', '242', '262', '282', '298', '302', '342', '362', '382']
['12', '32', '112', '134', '138', '172', '192', '212', '232', '252', '272', '292', '327', '332', '339', '352', '372', '392', '394']
['19', '39', '52', '59', '79', '92', '119', '128', '132', '139', '159', '179', '237', '239', '279', '299', '319', '340', '359']
['18', '38', '58', '98', '118', '143', '158', '198', '199', '218', '238', '247', '258', '278', '323', '338', '358', '378', '379']
['14', '34', '54', '94', '97', '137', '154', '174', '194', '214', '234', '254', '264', '274', '277', '294', '314', '354', '374']
['17', '37', '57', '77', '78', '117', '157', '177', '197', '216', '217', '257', '297', '318', '357', '369', '377', '396', '397', '398']
