23
23
['18', '201', '53', '98', '217', '355', '236', '118', '45', '345', '488', '384', '318', '333', '468', '485', '156', '456', '294', '181', '101', '220', '273']
['18', '62', '446', '199', '93', '464', '46', '328', '95', '78', '523', '10', '284', '252', '223', '431', '180', '273', '192', '73', '274', '164', '295']
['387', '513', '478', '271', '71', '310', '505', '242', '472', '456', '196', '376', '431', '300', '500', '144', '11', '209', '260', '268', '239', '526', '212']
['413', '4', '113', '316', '373', '424', '278', '291', '451', '27', '246', '295', '118', '119', '319', '194', '163', '421', '469', '362', '269', '151', '474']
['18', '443', '294', '145', '215', '359', '503', '130', '232', '92', '465', '315', '13', '248', '472', '245', '366', '515', '197', '147', '90', '1', '435']
['18', '69', '428', '312', '53', '399', '24', '126', '520', '513', '185', '181', '19', '47', '171', '33', '243', '437', '231', '65', '382', '184', '240']
['387', '282', '271', '189', '83', '353', '430', '479', '145', '150', '235', '59', '230', '178', '476', '382', '193', '157', '385', '209', '159', '232', '359']
['413', '110', '503', '294', '23', '148', '32', '150', '369', '349', '397', '151', '165', '288', '362', '368', '444', '355', '109', '445', '430', '487', '240']
['387', '111', '40', '177', '131', '504', '93', '397', '181', '65', '439', '301', '122', '247', '514', '297', '458', '52', '463', '505', '84', '427', '218']
['86', '12', '491', '108', '5', '343', '193', '210', '14', '7', '71', '321', '431', '305', '74', '435', '341', '474', '416', '477', '340', '402', '44']
['224', '295', '293', '300', '92', '260', '115', '244', '140', '123', '371', '421', '524', '197', '456', '438', '378', '306', '148', '15', '10', '326', '183']
['18', '313', '383', '368', '469', '138', '356', '102', '178', '348', '131', '460', '10', '482', '434', '395', '376', '209', '296', '225', '33', '248', '158']
['413', '137', '61', '453', '115', '408', '356', '489', '482', '36', '434', '265', '389', '201', '273', '278', '442', '484', '59', '383', '415', '302', '232']
['413', '470', '4', '479', '95', '102', '300', '399', '247', '266', '103', '513', '183', '17', '164', '8', '55', '407', '519', '372', '85', '490', '305']
['413', '286', '204', '247', '259', '440', '173', '359', '260', '409', '288', '403', '465', '507', '339', '281', '424', '93', '432', '211', '264', '167', '451']
['413', '324', '452', '153', '482', '521', '363', '325', '94', '124', '298', '495', '77', '336', '406', '41', '400', '328', '399', '196', '3', '85', '37']
['86', '434', '245', '395', '101', '32', '146', '4', '468', '324', '47', '519', '57', '188', '291', '219', '179', '249', '330', '461', '120', '485', '358']
['387', '159', '432', '36', '52', '12', '305', '114', '76', '437', '245', '199', '459', '410', '304', '362', '479', '295', '116', '131', '151', '468', '337']
['86', '515', '161', '485', '3', '62', '401', '517', '33', '446', '70', '258', '146', '440', '497', '449', '232', '141', '29', '270', '289', '253', '445']
['86', '361', '371', '118', '497', '523', '145', '452', '261', '249', '56', '282', '372', '12', '72', '343', '163', '159', '475', '143', '103', '264', '197']
['86', '330', '274', '127', '455', '257', '288', '310', '519', '478', '166', '1', '247', '405', '161', '467', '268', '399', '126', '278', '60', '388', '486']
['413', '365', '366', '420', '355', '387', '271', '23', '429', '526', '167', '30', '497', '80', '282', '424', '496', '500', '451', '415', '292', '5', '68']
['413', '424', '299', '249', '129', '505', '339', '280', '48', '92', '116', '188', '434', '391', '508', '242', '130', '6', '309', '322', '393', '488', '182']
['387', '280', '0', '79', '381', '238', '299', '330', '224', '514', '432', '401', '410', '107', '382', '320', '142', '257', '525', '39', '274', '204', '112']
['413', '151', '527', '514', '491', '143', '484', '330', '449', '312', '498', '83', '336', '240', '276', '332', '344', '349', '10', '375', '262', '236', '289']
['18', '75', '13', '365', '59', '476', '404', '428', '488', '427', '483', '110', '32', '432', '379', '421', '265', '243', '368', '503', '80', '92', '115']
['86', '522', '340', '385', '441', '505', '92', '333', '121', '186', '28', '131', '55', '173', '13', '276', '269', '163', '70', '429', '124', '501', '251']
['86', '182', '240', '6', '524', '68', '427', '449', '300', '123', '205', '516', '271', '357', '518', '323', '315', '523', '40', '307', '389', '462', '333']
['18', '276', '1', '507', '323', '304', '69', '24', '22', '436', '528', '128', '203', '407', '474', '351', '481', '405', '450', '190', '293', '156', '449']
['413', '515', '212', '367', '12', '452', '447', '519', '172', '16', '164', '197', '151', '338', '138', '76', '382', '111', '475', '314', '19', '516', '483']
['86', '359', '4', '281', '393', '435', '386', '140', '181', '245', '307', '295', '221', '89', '222', '247', '234', '120', '526', '403', '237', '227', '1']
['86', '129', '76', '496', '162', '298', '388', '372', '252', '245', '157', '331', '260', '246', '399', '275', '337', '219', '377', '350', '422', '1', '443']
['387', '105', '2', '161', '83', '177', '257', '423', '443', '483', '458', '187', '204', '468', '115', '385', '14', '268', '371', '305', '55', '184', '12']
['86', '271', '408', '2', '466', '388', '350', '382', '328', '361', '236', '122', '524', '248', '460', '482', '160', '441', '185', '487', '28', '461', '517']
['86', '449', '515', '156', '176', '138', '145', '399', '263', '193', '237', '382', '79', '214', '464', '313', '285', '29', '527', '42', '190', '455', '169']
['413', '19', '299', '509', '508', '341', '296', '241', '367', '54', '136', '75', '78', '301', '454', '28', '407', '389', '318', '368', '518', '451', '328']
['86', '187', '412', '116', '132', '254', '227', '206', '169', '151', '48', '270', '287', '230', '419', '497', '231', '64', '33', '275', '480', '431', '52']
['86', '189', '312', '365', '207', '295', '351', '421', '350', '144', '363', '192', '235', '127', '185', '221', '165', '110', '38', '143', '115', '441', '247']
['18', '6', '511', '435', '152', '231', '488', '417', '146', '135', '426', '427', '63', '55', '484', '273', '97', '101', '389', '409', '281', '153', '110']
['224', '455', '56', '101', '462', '280', '137', '57', '438', '463', '257', '286', '515', '527', '479', '198', '21', '167', '133', '329', '491', '432', '262']
['86', '413', '9', '454', '114', '80', '93', '353', '126', '457', '96', '319', '231', '189', '258', '198', '60', '401', '31', '92', '40', '238', '65']
['432', '370', '77', '233', '67', '85', '476', '301', '384', '129', '59', '88', '441', '399', '512', '156', '443', '394', '444', '506', '95', '479', '79']
['86', '50', '204', '65', '57', '502', '141', '348', '38', '446', '307', '94', '125', '525', '380', '148', '21', '482', '382', '58', '437', '131', '286']
['224', '254', '81', '177', '413', '170', '459', '415', '264', '357', '44', '456', '142', '498', '387', '194', '327', '493', '481', '238', '232', '269', '126']
['86', '37', '403', '369', '517', '206', '96', '155', '495', '77', '417', '162', '131', '343', '129', '299', '414', '231', '479', '205', '308', '147', '66']
['387', '263', '352', '15', '141', '443', '470', '25', '158', '401', '27', '105', '20', '354', '306', '502', '138', '196', '171', '316', '430', '357', '509']
['18', '388', '296', '141', '210', '409', '35', '112', '195', '201', '337', '93', '236', '450', '51', '189', '432', '315', '460', '255', '402', '25', '287']
['86', '476', '278', '41', '342', '293', '80', '17', '39', '98', '497', '262', '136', '89', '69', '378', '491', '297', '13', '451', '10', '355', '448']
['18', '298', '123', '490', '176', '117', '121', '265', '401', '25', '226', '205', '248', '433', '398', '341', '333', '54', '13', '288', '211', '392', '81']
['86', '315', '23', '206', '328', '409', '140', '485', '283', '4', '528', '498', '470', '77', '226', '431', '395', '510', '88', '76', '523', '190', '187']
['432', '37', '342', '526', '479', '167', '228', '172', '126', '385', '496', '110', '23', '452', '508', '507', '25', '381', '476', '376', '397', '450', '297']
['86', '101', '150', '372', '330', '259', '170', '417', '268', '224', '515', '277', '81', '401', '95', '462', '84', '415', '323', '256', '357', '151', '175']
['413', '399', '352', '457', '459', '10', '407', '47', '318', '179', '304', '384', '31', '463', '278', '527', '360', '238', '367', '306', '426', '336', '146']
['86', '150', '84', '232', '401', '112', '496', '278', '281', '138', '463', '252', '264', '43', '45', '403', '412', '366', '180', '182', '420', '290', '126']
['18', '419', '437', '250', '519', '312', '198', '294', '432', '184', '63', '446', '485', '451', '261', '55', '61', '440', '288', '173', '421', '512', '422']
