['0', '1', '128', '4', '135', '266', '267', '407', '150', '288', '161', '35', '166', '169', '42', '431', '65', '68', '72', '75', '76', '205', '340', '216', '473', '95', '107', '383']
['130', '264', '393', '137', '140', '411', '287', '291', '165', '295', '47', '311', '55', '451', '460', '344', '217', '221', '93', '352', '109', '239', '495', '246', '117', '376', '119', '256']
['386', '387', '390', '138', '399', '401', '277', '24', '30', '423', '424', '297', '171', '302', '49', '314', '321', '69', '71', '463', '85', '343', '106', '370', '243', '114', '244', '382']
['259', '7', '136', '395', '144', '18', '404', '25', '175', '442', '187', '319', '191', '327', '455', '338', '339', '213', '214', '471', '478', '480', '360', '497', '245', '118', '252', '125']
['260', '394', '21', '154', '413', '416', '48', '60', '194', '196', '73', '332', '462', '79', '88', '218', '350', '479', '229', '100', '486', '234', '238', '151', '115', '248', '249', '251']
['262', '263', '279', '23', '152', '421', '41', '172', '46', '180', '57', '443', '63', '449', '458', '74', '83', '475', '219', '477', '482', '485', '490', '237', '496', '116', '121', '380', '253', '254']
['258', '3', '5', '134', '385', '8', '14', '17', '147', '405', '286', '414', '415', '167', '43', '430', '51', '310', '184', '313', '186', '444', '189', '323', '202', '459', '84', '354', '240', '257']
['32', '163', '37', '168', '305', '177', '307', '434', '309', '435', '182', '439', '315', '450', '325', '454', '201', '330', '331', '78', '464', '467', '211', '215', '472', '91', '92', '351', '353', '236']
['129', '269', '276', '148', '26', '419', '36', '38', '427', '300', '173', '181', '317', '445', '192', '193', '453', '328', '329', '334', '210', '346', '348', '476', '96', '359', '492', '368', '499', '126']
['388', '261', '12', '142', '274', '145', '146', '402', '409', '285', '289', '160', '425', '429', '176', '178', '50', '67', '199', '200', '456', '212', '90', '223', '101', '103', '493', '369', '375', '123']
['131', '9', '11', '149', '408', '410', '155', '156', '28', '34', '294', '296', '39', '44', '303', '77', '209', '82', '347', '484', '231', '361', '105', '491', '367', '112', '113', '372', '374', '377']
['132', '391', '392', '270', '16', '275', '403', '278', '406', '22', '153', '158', '29', '292', '308', '440', '316', '320', '203', '208', '337', '470', '355', '233', '489', '235', '365', '220', '122', '381']
['389', '396', '139', '13', '271', '15', '283', '417', '418', '420', '298', '436', '438', '441', '59', '198', '457', '207', '465', '341', '86', '225', '487', '362', '363', '364', '366', '111', '378', '124']
['6', '282', '159', '162', '293', '40', '426', '428', '45', '432', '433', '306', '437', '58', '447', '448', '322', '80', '466', '342', '89', '222', '94', '226', '230', '104', '110', '120', '379', '127']
['133', '268', '141', '143', '19', '284', '27', '157', '170', '304', '179', '56', '446', '61', '195', '197', '204', '468', '87', '349', '481', '227', '98', '228', '102', '488', '494', '242', '371', '498']
['265', '10', '397', '398', '272', '280', '281', '412', '31', '422', '52', '53', '185', '188', '62', '66', '324', '452', '206', '335', '469', '224', '97', '356', '99', '357', '358', '373', '247', '250']
['2', '400', '273', '20', '290', '33', '164', '299', '301', '174', '54', '183', '312', '318', '190', '64', '326', '70', '333', '461', '336', '81', '345', '474', '483', '232', '108', '241', '255', '384']
