40
25
['493', '30', '651', '704', '193', '930', '889', '725', '55', '210']
['658', '517', '476', '602', '167', '107', '102', '758', '370', '453']
['778', '239', '736', '603', '570', '742', '854', '192', '515', '306']
['779', '385', '738', '862', '430', '421', '283', '938', '120', '891']
['24', '879', '651', '961', '716', '383', '889', '691', '120', '810']
['24', '151', '264', '371', '413', '235', '163', '951', '816', '717']
['778', '308', '892', '918', '285', '73', '721', '467', '546', '40']
['615', '239', '673', '99', '676', '365', '473', '938', '120', '40']
['363', '151', '264', '909', '477', '564', '393', '770', '748', '179']
['964', '50', '39', '99', '971', '463', '689', '88', '120', '306']
['900', '347', '674', '99', '285', '640', '393', '468', '816', '747']
['328', '684', '39', '752', '232', '383', '283', '938', '484', '559']
['328', '151', '940', '155', '167', '107', '393', '468', '748', '488']
['92', '308', '673', '401', '920', '930', '889', '725', '16', '109']
['24', '879', '673', '553', '629', '962', '60', '725', '515', '559']
['399', '560', '887', '752', '180', '930', '393', '128', '546', '717']
['228', '769', '760', '700', '180', '435', '283', '468', '55', '210']
['328', '492', '738', '603', '193', '930', '411', '190', '484', '40']
['493', '398', '650', '603', '923', '841', '387', '945', '370', '559']
['964', '185', '366', '281', '920', '742', '376', '117', '666', '810']
['92', '239', '736', '416', '413', '463', '897', '415', '267', '786']
['24', '11', '575', '862', '754', '251', '376', '691', '727', '210']
['658', '385', '575', '961', '866', '383', '393', '23', '816', '810']
['328', '886', '651', '975', '676', '973', '889', '936', '55', '210']
['363', '517', '584', '516', '336', '564', '387', '804', '996', '210']
['399', '11', '674', '401', '883', '481', '102', '467', '848', '614']
['446', '239', '674', '700', '923', '750', '689', '192', '546', '628']
['815', '151', '955', '553', '629', '973', '473', '88', '515', '125']
['24', '482', '584', '553', '336', '139', '102', '468', '16', '782']
['446', '879', '673', '731', '413', '73', '448', '968', '267', '782']
['446', '879', '575', '532', '232', '251', '448', '827', '707', '806']
['446', '274', '39', '371', '883', '640', '387', '938', '342', '983']
['328', '11', '206', '975', '629', '930', '162', '527', '484', '306']
['900', '50', '575', '862', '883', '973', '382', '951', '638', '40']
['743', '239', '227', '704', '883', '521', '233', '117', '666', '891']
['92', '769', '39', '99', '923', '564', '162', '468', '267', '786']
['363', '482', '247', '99', '923', '640', '721', '938', '55', '40']
['864', '684', '264', '401', '167', '582', '376', '88', '638', '125']
['24', '239', '641', '728', '204', '481', '897', '827', '977', '806']
['493', '929', '206', '532', '629', '930', '387', '827', '855', '453']
['964', '398', '476', '603', '629', '235', '937', '770', '546', '422']
['964', '50', '892', '155', '959', '263', '689', '467', '996', '109']
['815', '517', '247', '602', '923', '251', '233', '415', '16', '306']
['24', '482', '584', '371', '570', '463', '759', '88', '267', '577']
['228', '347', '844', '371', '555', '251', '89', '374', '370', '306']
['399', '524', '641', '553', '232', '107', '473', '691', '16', '717']
['508', '331', '641', '155', '232', '962', '387', '827', '31', '179']
['363', '398', '887', '603', '356', '296', '283', '23', '188', '40']
['729', '30', '39', '371', '336', '461', '621', '468', '638', '460']
['658', '929', '674', '416', '413', '582', '89', '804', '389', '51']
['815', '239', '674', '408', '923', '481', '233', '128', '484', '628']
['508', '30', '227', '731', '477', '73', '854', '770', '515', '306']
['433', '274', '264', '633', '285', '750', '889', '117', '707', '460']
['414', '482', '887', '862', '923', '263', '448', '128', '977', '453']
['433', '482', '989', '516', '920', '296', '759', '23', '267', '983']
['658', '151', '940', '731', '971', '750', '759', '770', '996', '460']
['778', '274', '940', '298', '336', '930', '721', '951', '977', '327']
['399', '929', '575', '602', '232', '263', '393', '216', '55', '460']
['433', '769', '674', '155', '240', '251', '759', '527', '484', '747']
['864', '886', '892', '700', '167', '481', '448', '804', '977', '109']
['357', '30', '940', '298', '920', '686', '897', '23', '515', '179']
['779', '482', '476', '731', '923', '463', '163', '415', '84', '453']
['779', '388', '760', '918', '204', '251', '721', '691', '120', '891']
['815', '482', '39', '603', '232', '107', '283', '527', '188', '3']
['615', '11', '584', '752', '240', '686', '689', '770', '515', '628']
['92', '185', '641', '401', '232', '139', '897', '374', '188', '3']
['831', '239', '173', '553', '883', '235', '473', '758', '120', '810']
['779', '398', '892', '371', '356', '564', '854', '527', '666', '983']
['779', '11', '674', '918', '959', '383', '162', '374', '370', '40']
['357', '151', '760', '731', '336', '973', '376', '945', '31', '453']
['92', '929', '887', '371', '413', '139', '387', '117', '546', '559']
['433', '388', '39', '416', '883', '841', '721', '951', '515', '810']
['399', '234', '955', '731', '204', '251', '751', '538', '666', '782']
['615', '517', '651', '603', '430', '251', '751', '758', '267', '210']
['508', '517', '989', '583', '754', '686', '89', '88', '996', '488']
['228', '331', '844', '99', '923', '365', '233', '23', '977', '786']
['92', '340', '641', '401', '180', '930', '448', '538', '638', '782']
['92', '234', '641', '961', '477', '435', '751', '192', '748', '891']
['92', '151', '173', '975', '555', '296', '623', '691', '515', '460']
['446', '684', '738', '752', '959', '73', '854', '968', '666', '327']
['433', '560', '264', '602', '866', '742', '897', '88', '84', '3']
['743', '388', '844', '583', '971', '251', '689', '374', '546', '327']
['433', '684', '738', '603', '430', '296', '376', '468', '370', '210']
['900', '385', '247', '975', '285', '962', '283', '725', '120', '460']
['729', '239', '227', '961', '356', '365', '376', '968', '55', '179']
['363', '239', '227', '700', '570', '463', '60', '945', '996', '125']
['357', '560', '264', '752', '920', '742', '283', '216', '748', '51']
['658', '524', '264', '99', '356', '973', '376', '938', '816', '453']
['743', '886', '989', '298', '923', '107', '721', '468', '370', '179']
['433', '524', '247', '704', '959', '263', '441', '804', '816', '747']
['338', '684', '955', '909', '629', '296', '621', '117', '855', '453']
['92', '398', '651', '583', '555', '463', '387', '770', '977', '422']
['779', '234', '989', '532', '167', '564', '387', '691', '568', '179']
['778', '517', '940', '408', '959', '365', '897', '23', '188', '40']
['658', '340', '887', '633', '570', '973', '448', '467', '546', '460']
['778', '684', '651', '728', '336', '742', '623', '804', '848', '306']
['615', '11', '736', '155', '356', '435', '897', '415', '267', '3']
['24', '234', '366', '155', '240', '686', '162', '190', '342', '453']
['900', '398', '674', '752', '430', '962', '382', '968', '188', '747']
['92', '492', '39', '532', '883', '263', '854', '951', '848', '210']
['900', '769', '476', '704', '676', '463', '751', '467', '568', '628']
['864', '347', '651', '516', '232', '435', '411', '938', '120', '614']
['228', '234', '366', '553', '716', '750', '759', '827', '484', '806']
['92', '331', '247', '752', '959', '962', '473', '938', '16', '806']
['399', '560', '892', '371', '413', '973', '721', '467', '55', '179']
['637', '492', '641', '731', '919', '481', '89', '431', '977', '453']
['779', '185', '673', '731', '356', '742', '411', '804', '16', '422']
