['478', '766', '690', '718', '1', '977', '689', '636', '397', '688', '77', '336', '304', '691', '14', '739', '104', '163', '480', '196', '735', '888', '668', '628', '388', '775', '730', '801', '29', '671', '226']
['346', '927', '702', '430', '494', '683', '205', '625', '580', '463', '48', '792', '385', '41', '699', '590', '929', '337', '855', '779', '88', '729', '464', '293', '555', '373', '973', '258', '547', '44', '865']
['317', '884', '75', '864', '673', '941', '159', '181', '786', '504', '370', '57', '956', '509', '635', '214', '166', '125', '638', '829', '134', '417', '364', '235', '709', '425', '333', '790', '234', '345', '6']
['815', '132', '410', '482', '907', '136', '97', '434', '606', '190', '138', '823', '202', '174', '920', '0', '127', '949', '182', '363', '414', '168', '365', '593', '575', '883', '356', '468', '752', '993', '316']
['359', '754', '123', '197', '260', '605', '30', '889', '788', '706', '679', '86', '969', '596', '236', '934', '4', '432', '681', '714', '158', '35', '112', '489', '40', '120', '964', '408', '778', '271', '868']
['601', '661', '979', '195', '694', '781', '137', '903', '401', '252', '457', '700', '616', '477', '324', '215', '866', '919', '368', '162', '629', '495', '367', '830', '93', '512', '954', '893', '242', '692', '313']
['173', '725', '592', '140', '878', '541', '986', '379', '307', '22', '970', '895', '390', '740', '560', '831', '294', '323', '298', '396', '945', '339', '784', '387', '807', '427', '959', '948', '475', '491', '841']
['842', '773', '617', '392', '726', '378', '151', '141', '405', '550', '584', '148', '925', '139', '61', '193', '774', '110', '326', '710', '240', '764', '724', '273', '924', '314', '936', '45', '794', '745', '306']
['819', '253', '23', '750', '915', '99', '239', '827', '518', '578', '178', '839', '695', '244', '812', '180', '982', '20', '521', '912', '418', '282', '441', '791', '753', '701', '531', '678', '922', '951', '237']
['672', '721', '267', '31', '901', '909', '502', '459', '129', '212', '885', '902', '611', '719', '785', '665', '887', '470', '649', '717', '987', '264', '693', '917', '738', '741', '923', '297', '12', '130', '8']
['413', '980', '939', '549', '858', '795', '319', '219', '618', '552', '910', '424', '983', '530', '50', '251', '890', '224', '848', '780', '645', '545', '422', '3', '715', '698', '846', '657', '507', '520', '849']
['285', '557', '64', '238', '527', '458', '400', '833', '183', '147', '204', '506', '344', '771', '967', '648', '382', '796', '65', '582', '108', '916', '355', '871', '96', '348', '10', '600', '603', '383', '476', '199']
['16', '126', '978', '803', '7', '169', '863', '248', '440', '995', '353', '24', '227', '940', '374', '991', '479', '684', '610', '460', '310', '971', '59', '179', '615', '837', '305', '80', '176', '682', '308', '821', '680']
['911', '908', '732', '957', '175', '586', '659', '537', '499', '705', '200', '488', '763', '655', '813', '554', '850', '279', '68', '416', '798', '572', '933', '704', '5', '825', '296', '556', '257', '609', '619', '806', '958']
['287', '946', '768', '755', '851', '522', '301', '149', '105', '102', '394', '577', '492', '272', '406', '651', '804', '82', '233', '330', '802', '570', '351', '558', '229', '696', '95', '805', '561', '471', '814', '322', '395']
['461', '904', '290', '626', '309', '935', '748', '113', '259', '666', '456', '955', '836', '637', '687', '311', '490', '295', '623', '571', '315', '926', '360', '824', '870', '859', '150', '210', '938', '312', '847', '473', '880']
['585', '142', '913', '861', '289', '591', '607', '117', '493', '515', '423', '544', '216', '246', '540', '15', '187', '857', '72', '449', '223', '869', '340', '54', '932', '962', '428', '746', '532', '875', '327', '361', '277']
['188', '53', '81', '899', '535', '769', '707', '420', '320', '988', '484', '612', '269', '761', '255', '85', '84', '758', '641', '411', '573', '543', '654', '943', '736', '994', '443', '161', '66', '644', '79', '685', '581']
['981', '402', '192', '528', '658', '483', '70', '128', '241', '997', '433', '614', '144', '11', '19', '587', '446', '274', '631', '996', '94', '303', '799', '589', '292', '381', '534', '230', '275', '300', '536', '944', '953']
['393', '523', '220', '500', '553', '747', '595', '194', '453', '963', '756', '551', '968', '415', '286', '21', '384', '516', '76', '891', '660', '51', '325', '965', '501', '852', '341', '770', '894', '302', '487', '157', '743']
['621', '245', '26', '511', '811', '91', '510', '723', '588', '321', '329', '708', '797', '266', '642', '450', '122', '873', '283', '921', '567', '49', '565', '942', '620', '643', '765', '722', '121', '62', '972', '156', '485']
['826', '221', '155', '103', '737', '809', '135', '653', '154', '191', '844', '639', '711', '676', '906', '270', '437', '38', '999', '447', '950', '131', '664', '624', '89', '421', '186', '517', '404', '646', '744', '291', '218']
['751', '165', '630', '838', '254', '652', '217', '13', '583', '118', '36', '299', '670', '439', '469', '452', '42', '332', '656', '280', '990', '25', '472', '539', '431', '160', '519', '896', '613', '398', '268', '67', '9']
['749', '559', '386', '548', '992', '961', '455', '860', '879', '667', '380', '445', '772', '854', '597', '338', '209', '343', '727', '576', '222', '886', '208', '526', '328', '74', '211', '98', '116', '46', '58', '261', '451']
['444', '207', '436', '43', '562', '83', '189', '608', '937', '39', '438', '640', '442', '198', '124', '677', '720', '947', '703', '579', '524', '728', '152', '350', '542', '897', '762', '213', '533', '508', '928', '52', '265']
['349', '716', '782', '172', '369', '18', '905', '503', '73', '900', '375', '419', '486', '407', '931', '731', '100', '984', '568', '347', '960', '184', '426', '598', '564', '263', '146', '974', '448', '563', '153', '231', '882']
