17
60
['949', '329']
['621', '724']
['329', '170']
['329', '69']
['329', '433']
['869', '95']
['995', '846']
['524', '357']
['329', '661']
['329', '67']
['76', '329']
['645', '972']
['520', '683']
['166', '329']
['329', '627']
['925', '400']
['329', '462']
['794', '329']
['329', '826']
['804', '329']
['354', '185']
['978', '329']
['329', '825']
['357', '84']
['915', '119']
['329', '250']
['195', '724']
['953', '86']
['665', '559']
['329', '240']
['703', '625']
['329', '590']
['645', '665']
['329', '172']
['127', '420']
['329', '568']
['489', '357']
['552', '329']
['329', '716']
['329', '931']
['242', '710']
['18', '329']
['329', '821']
['995', '820']
['911', '329']
['925', '259']
['312', '423']
['941', '902']
['329', '439']
['409', '666']
['329', '598']
['819', '113']
['509', '270']
['870', '329']
['329', '406']
['329', '873']
['404', '925']
['962', '329']
['329', '154']
['236', '329']
['782', '482']
['850', '602']
['855', '329']
['988', '17']
['487', '329']
['329', '195']
['815', '618']
['905', '710']
['174', '546']
['973', '409']
['972', '559']
['219', '685', '493', '851', '172', '809', '808', '75', '985', '771', '912', '984', '228', '275', '397', '499', '653', '935', '824', '379', '304', '942', '676', '921', '232', '65', '270', '896', '797', '613', '838', '585', '30', '673', '426', '605', '914', '729', '506', '157', '814', '640', '262', '898', '839', '233', '600', '245', '777', '386', '56', '904', '855', '974', '484', '816', '542', '171', '523', '526']
['394', '329']
['329', '763']
['819', '865']
['106', '329']
['485', '753']
['115', '758']
['964', '17']
['770', '289']
['894', '329']
['710', '329']
['467', '329']
['329', '548']
['96', '835']
['843', '329']
['819', '935']
['738', '782']
['329', '238']
['312', '720']
['184', '329']
['12', '441']
['645', '403']
['17', '488']
['940', '939']
['329', '725']
['444', '329']
['329', '557']
['329', '495']
['623', '890']
['329', '295']
['329', '814']
['329', '952']
['573', '453']
['329', '173']
['852', '329']
['518', '840']
['663', '848']
['190', '329']
['329', '573']
['224', '329']
['116', '329']
['758', '469']
['329', '700']
['898', '329']
['534', '329']
['347', '502']
['329', '145']
['110', '940']
['912', '329']
['312', '476']
['376', '329']
['174', '974']
['329', '464']
['562', '848']
['540', '329']
['587', '347']
['329', '137']
['547', '434']
['612', '329']
['893', '329']
['826', '424']
['329', '694']
['561', '324']
['697', '190']
['329', '281']
['819', '329']
['101', '329']
['848', '281']
['645', '16']
['329', '569']
['329', '766']
['329', '259']
['688', '96']
['561', '219']
['850', '574']
['304', '329']
['995', '389']
['758', '880']
['662', '329']
['463', '559']
['329', '89']
['329', '129']
['329', '831']
['285', '329']
['625', '329']
['202', '329']
['329', '51']
['485', '624']
['329', '595']
['698', '750']
['211', '645']
['534', '925']
['329', '344']
['140', '575']
['395', '771']
