20
20
['215', '189', '217']
['88', '286', '106']
['134', '46', '115']
['215', '7', '208']
['396', '247', '160']
['180', '86', '366']
['115', '319', '87']
['367', '188', '38']
['68', '50', '397']
['115', '271', '87']
['337', '106', '220']
['319', '188', '160']
['243', '7', '217']
['68', '369', '189']
['367', '87', '208']
['202', '106', '15']
['180', '118', '305']
['319', '321', '217']
['217', '247', '249']
['188', '118', '115']
['88', '188', '189']
['68', '202', '217']
['243', '110', '189']
['202', '286', '208']
['243', '396', '367']
['367', '38', '7']
['86', '286', '271']
['134', '7', '305']
['180', '202', '188']
['321', '220', '342']
['220', '7', '305']
['50', '180', '243']
['351', '342', '366']
['305', '189', '160']
['88', '134', '115']
['38', '160', '7']
['106', '305', '115']
['46', '15', '7']
['188', '247', '342']
['366', '87', '208']
['396', '106', '397']
['115', '106', '87']
['189', '220', '321']
['208', '86', '397']
['68', '247', '321']
['342', '7', '208']
['188', '86', '366']
['215', '86', '217']
['68', '154', '249']
['337', '247', '220']
['110', '217', '342']
['247', '38', '342']
['215', '7', '271']
['189', '215', '321']
['396', '7', '271']
['220', '217', '366']
['88', '134', '271']
['319', '15', '38']
['88', '215', '86']
['202', '46', '367']
['396', '189', '115']
['88', '215', '271']
['319', '189', '160']
['243', '188', '397']
['50', '118', '217']
['50', '154', '38']
['247', '7', '87']
['88', '86', '217']
['180', '38', '342']
['396', '110', '38']
['319', '215', '115']
['110', '286', '367']
['180', '367', '397']
['396', '286', '247']
['215', '286', '46']
['396', '305', '115']
['202', '134', '208']
['15', '305', '397']
['189', '88', '321']
['154', '189', '305']
['50', '154', '215']
['180', '118', '249']
['110', '351', '367']
['154', '396', '243']
['202', '7', '160']
['106', '38', '249']
['118', '396', '46']
['180', '110', '115']
['68', '110', '15']
['46', '367', '305']
['337', '305', '115']
['87', '217', '115']
['369', '189', '247']
['369', '319', '87']
['88', '110', '46']
['202', '7', '369']
['88', '319', '367']
['115', '7', '342']
['118', '217', '321']
['396', '38', '217']
['180', '217', '115']
['351', '286', '208']
['319', '134', '220']
['134', '271', '160']
['50', '180', '189']
['319', '106', '220']
['50', '106', '247']
['319', '46', '15']
['50', '396', '397']
