['994', '869', '396', '581', '839', '165', '185', '769']
['757', '893', '177', '319', '637', '227', '118', '78']
['340', '992', '537', '907', '882', '583', '518', '774']
['448', '28', '415', '453', '960', '933', '294', '3']
['208', '253', '414', '385', '521', '913', '148', '394']
['354', '986', '225', '885', '132', '403', '862', '743']
['467', '978', '823', '326', '459', '498', '53', '16']
['57', '520', '522', '339', '369', '894', '985', '763']
['110', '683', '630', '2', '906', '887', '259', '466']
['241', '212', '334', '283', '717', '87', '975', '54']
['745', '944', '660', '499', '277', '923', '11', '451']
['840', '555', '687', '379', '672', '101', '648', '681']
['542', '497', '570', '413', '329', '345', '655', '75']
['24', '929', '720', '675', '715', '974', '697', '289']
['857', '662', '925', '315', '642', '424', '753', '888']
['666', '41', '559', '686', '811', '452', '307', '562']
['168', '654', '288', '778', '251', '130', '481', '463']
['511', '771', '74', '361', '695', '279', '694', '441']
['460', '139', '138', '447', '376', '249', '218', '278']
['989', '494', '163', '252', '573', '21', '120', '867']
['160', '646', '988', '943', '612', '63', '196', '957']
['299', '433', '716', '790', '364', '641', '244', '296']
['262', '184', '169', '739', '43', '285', '808', '30']
['684', '215', '397', '264', '145', '877', '418', '858']
['89', '977', '50', '482', '44', '20', '538', '942']
['920', '969', '730', '243', '27', '495', '701', '383']
['866', '897', '991', '19', '64', '122', '659', '36']
['584', '468', '543', '456', '618', '806', '446', '931']
['153', '968', '408', '388', '914', '895', '49', '664']
['875', '343', '663', '455', '266', '634', '779', '81']
['261', '421', '435', '621', '230', '665', '821', '575']
['198', '99', '514', '444', '238', '282', '222', '940']
['213', '4', '546', '67', '884', '941', '210', '471']
['678', '29', '188', '76', '505', '719', '792', '224']
['990', '951', '864', '939', '759', '836', '714', '263']
['956', '576', '865', '979', '80', '915', '557', '422']
['493', '269', '598', '79', '26', '770', '710', '814']
['561', '15', '13', '936', '607', '652', '375', '631']
['200', '891', '752', '373', '172', '964', '34', '967']
['310', '604', '62', '94', '776', '653', '88', '47']
['859', '439', '818', '68', '766', '330', '273', '430']
['38', '109', '431', '622', '248', '193', '105', '863']
['304', '746', '741', '412', '831', '258', '834', '698']
['395', '297', '159', '429', '601', '793', '638', '146']
['274', '799', '450', '116', '280', '484', '872', '39']
['428', '203', '327', '147', '965', '166', '48', '545']
['797', '387', '574', '830', '362', '115', '344', '438']
['220', '242', '523', '7', '835', '457', '271', '623']
['325', '711', '987', '61', '784', '809', '916', '690']
['736', '758', '820', '234', '182', '838', '691', '812']
['314', '619', '449', '31', '143', '18', '609', '685']
['843', '474', '72', '577', '59', '303', '507', '946']
['174', '91', '949', '512', '384', '704', '703', '624']
['707', '972', '961', '540', '398', '183', '247', '386']
['902', '113', '95', '402', '725', '321', '593', '825']
['610', '423', '729', '733', '152', '124', '40', '529']
['813', '693', '351', '501', '180', '164', '295', '644']
['571', '126', '469', '982', '755', '635', '810', '191']
['899', '98', '195', '737', '795', '805', '136', '291']
['487', '462', '718', '997', '66', '829', '928', '800']
['597', '151', '141', '231', '983', '580', '767', '226']
['777', '333', '256', '107', '804', '372', '502', '530']
['359', '322', '83', '292', '197', '627', '801', '603']
['129', '702', '984', '962', '9', '677', '51', '410']
['544', '52', '828', '569', '199', '723', '747', '496']
['568', '908', '606', '880', '367', '276', '578', '780']
['656', '889', '945', '420', '566', '476', '268', '639']
['912', '366', '216', '377', '751', '937', '842', '70']
['901', '735', '406', '170', '6', '668', '819', '32']
['734', '194', '934', '782', '229', '726', '479', '765']
['558', '773', '922', '696', '140', '121', '458', '465']
['349', '407', '46', '807', '323', '142', '112', '313']
['480', '204', '301', '548', '162', '750', '22', '932']
['955', '265', '416', '966', '171', '348', '347', '309']
['161', '363', '661', '436', '632', '5', '861', '549']
['513', '600', '833', '186', '640', '874', '657', '209']
['272', '837', '255', '705', '876', '524', '670', '176']
['123', '399', '86', '744', '786', '854', '721', '390']
['676', '785', '669', '298', '738', '100', '65', '192']
['586', '475', '37', '181', '267', '980', '158', '93']
['853', '382', '781', '851', '950', '281', '353', '848']
['768', '918', '832', '232', '167', '815', '611', '254']
['290', '175', '798', '617', '201', '137', '852', '154']
['337', '111', '461', '579', '14', '504', '536', '870']
['324', '206', '207', '671', '404', '938', '620', '426']
['935', '890', '822', '816', '878', '503', '69', '850']
['909', '947', '405', '42', '636', '892', '952', '246']
['104', '270', '749', '732', '149', '614', '856', '440']
['286', '528', '572', '12', '510', '595', '881', '240']
['796', '911', '157', '332', '221', '995', '886', '590']
['478', '350', '341', '257', '692', '23', '380', '649']
['760', '411', '699', '740', '500', '844', '556', '981']
['846', '58', '628', '996', '930', '728', '56', '235']
['971', '336', '483', '275', '565', '119', '187', '1']
['432', '228', '355', '190', '534', '128', '904', '223']
['485', '527', '849', '973', '535', '587', '237', '318']
['924', '591', '794', '90', '731', '488', '712', '824']
['532', '519', '368', '490', '134', '827', '106', '959']
['400', '602', '722', '357', '772', '953', '328', '645']
['592', '791', '293', '144', '788', '754', '470', '506']
['0', '585', '25', '401', '284', '102', '564', '650']
['855', '300', '427', '477', '599', '417', '509', '873']
['371', '658', '233', '393', '342', '454', '551', '10']
['419', '919', '381', '173', '391', '239', '651', '338']
['608', '114', '365', '260', '60', '958', '302', '517']
['442', '35', '17', '434', '346', '615', '927', '550']
['910', '775', '905', '563', '308', '647', '748', '82']
['948', '871', '802', '847', '437', '688', '883', '533']
['306', '976', '392', '250', '178', '554', '560', '898']
['761', '679', '85', '879', '214', '472', '189', '356']
['700', '179', '742', '643', '516', '125', '625', '756']
['706', '378', '33', '236', '803', '317', '71', '789']
['917', '998', '539', '492', '425', '689', '489', '616']
['582', '868', '77', '963', '680', '131', '567', '762']
['127', '526', '589', '358', '97', '217', '541', '245']
['764', '783', '860', '409', '96', '155', '135', '211']
['150', '508', '613', '709', '486', '605', '708', '352']
['205', '999', '84', '515', '219', '473', '103', '312']
['287', '724', '525', '108', '900', '727', '73', '926']
['316', '787', '954', '331', '626', '845', '305', '360']
['673', '547', '491', '445', '133', '817', '903', '335']
['8', '117', '370', '970', '45', '667', '896', '92']
['826', '596', '921', '374', '553', '202', '531', '713']
['629', '674', '841', '682', '594', '55', '156', '552']
['993', '588', '443', '311', '320', '633', '464', '389']
