7
4
['0', '3', '5']
['0', '9', '5']
['0', '15', '5']
['0', '21', '5']
['2', '3', '5']
['2', '9', '5']
['2', '15', '5']
['2', '21', '5']
['4', '3', '5']
['4', '9', '5']
['4', '15', '5']
['4', '21', '5']
['6', '3', '5']
['6', '9', '5']
['6', '15', '5']
['6', '21', '5']
['8', '3', '5']
['8', '9', '5']
['8', '15', '5']
['8', '21', '5']
['10', '3', '5']
['10', '9', '5']
['10', '15', '5']
['10', '21', '5']
['12', '3', '5']
['12', '9', '5']
['12', '15', '5']
['12', '21', '5']
['14', '3', '5']
['14', '9', '5']
['14', '15', '5']
['14', '21', '5']
['16', '3', '5']
['16', '9', '5']
['16', '15', '5']
['16', '21', '5']
['18', '3', '5']
['18', '9', '5']
['18', '15', '5']
['18', '21', '5']
['20', '3', '5']
['20', '9', '5']
['20', '15', '5']
['20', '21', '5']
['22', '3', '5']
['22', '9', '5']
['22', '15', '5']
['22', '21', '5']
['24', '3', '5']
['24', '9', '5']
['24', '15', '5']
['24', '21', '5']
