['499', '89', '497', '446', '73', '34', '443', '293', '188']
['91', '450', '376', '243', '16', '385', '249', '78', '409']
['105', '81', '118', '119', '404', '198', '349', '181', '382']
['251', '95', '176', '282', '408', '180', '79', '246', '67']
['456', '371', '199', '418', '345', '435', '197', '112', '486']
['185', '347', '156', '208', '113', '61', '98', '29', '57']
['440', '216', '283', '353', '466', '357', '277', '69', '307']
['346', '159', '438', '151', '149', '237', '415', '117', '428']
['314', '248', '389', '13', '7', '352', '174', '101', '399']
['271', '107', '436', '343', '43', '115', '64', '121', '177']
['296', '485', '59', '194', '160', '453', '390', '254', '189', '116']
['326', '334', '17', '426', '496', '240', '205', '224', '148', '53']
['56', '166', '75', '58', '196', '223', '333', '433', '52', '20']
['294', '429', '316', '155', '141', '169', '204', '111', '331', '210']
['327', '260', '94', '483', '360', '322', '209', '35', '182', '28']
['250', '3', '258', '467', '2', '312', '354', '129', '388', '18']
['393', '228', '372', '278', '164', '183', '355', '287', '383', '411']
['493', '286', '477', '432', '146', '239', '179', '261', '49', '206']
['276', '142', '273', '147', '108', '434', '232', '134', '306', '315']
['48', '126', '172', '423', '454', '41', '338', '339', '22', '365']
['305', '401', '71', '218', '448', '308', '445', '84', '211', '229']
['319', '413', '403', '100', '30', '86', '359', '19', '472', '88']
['301', '424', '222', '398', '269', '62', '451', '143', '270', '173']
['298', '170', '488', '461', '213', '247', '135', '136', '186', '394']
['397', '414', '325', '310', '358', '201', '387', '36', '32', '391']
['103', '449', '87', '281', '419', '444', '110', '51', '495', '386']
['416', '66', '300', '362', '265', '47', '130', '373', '37', '473']
['285', '342', '124', '344', '178', '465', '68', '219', '313', '203']
['241', '234', '128', '1', '479', '290', '96', '25', '481', '257']
['492', '328', '274', '15', '60', '332', '275', '442', '140', '231']
['289', '238', '27', '318', '214', '431', '97', '407', '80', '153']
['412', '475', '230', '215', '40', '157', '102', '145', '193', '74']
['256', '484', '380', '324', '381', '138', '44', '123', '402', '225']
['161', '46', '498', '253', '266', '264', '309', '340', '441', '54']
['395', '476', '127', '165', '226', '83', '425', '292', '291', '299']
['24', '268', '369', '106', '494', '92', '125', '303', '427', '421']
['396', '50', '452', '192', '480', '11', '8', '150', '321', '85']
['244', '272', '42', '469', '262', '474', '329', '122', '459', '132']
['114', '374', '487', '252', '207', '26', '154', '99', '233', '367']
['405', '0', '220', '82', '72', '133', '4', '31', '478', '221']
['236', '341', '217', '255', '489', '460', '400', '33', '167', '245']
['392', '200', '447', '162', '364', '417', '284', '370', '168', '195']
['337', '490', '280', '76', '464', '297', '131', '304', '9', '242']
['463', '420', '377', '137', '93', '163', '368', '190', '422', '410']
['330', '406', '63', '6', '350', '90', '12', '437', '263', '458']
['144', '158', '65', '259', '336', '439', '378', '317', '279', '462']
['175', '171', '471', '320', '202', '212', '120', '288', '468', '187']
['335', '470', '457', '361', '184', '384', '39', '356', '302', '109']
['455', '430', '38', '191', '104', '227', '10', '77', '491', '21']
['235', '363', '348', '311', '152', '379', '23', '295', '45', '375']
['139', '5', '366', '323', '14', '55', '70', '482', '267', '351']
