100
10
['87', '15', '181', '182', '399', '45', '995', '227', '154', '0']
['152', '845', '202', '920', '749', '975', '598', '294', '793', '273']
['563', '63', '896', '823', '88', '300', '597', '279', '788', '773']
['942', '142', '234', '127', '540', '765', '379', '415', '835', '372']
['163', '235', '859', '359', '532', '564', '666', '685', '371', '19']
['347', '132', '570', '981', '907', '44', '824', '802', '417', '331']
['965', '509', '332', '117', '825', '909', '333', '559', '503', '75']
['651', '489', '506', '524', '251', '469', '513', '9', '201', '938']
['55', '519', '822', '705', '269', '374', '665', '984', '363', '340']
['348', '499', '183', '929', '504', '7', '351', '567', '481', '409']
['495', '137', '5', '752', '473', '68', '882', '792', '443', '467']
['588', '95', '175', '428', '923', '973', '403', '221', '579', '360']
['477', '988', '170', '284', '393', '556', '692', '915', '29', '687']
['319', '594', '695', '510', '364', '632', '764', '302', '647', '459']
['538', '600', '678', '50', '282', '455', '40', '22', '572', '100']
['650', '161', '720', '661', '110', '93', '215', '283', '145', '10']
['884', '496', '953', '166', '490', '320', '516', '770', '860', '571']
['384', '199', '413', '385', '478', '169', '250', '62', '537', '295']
['154', '960', '439', '361', '181', '749', '163', '253', '422', '928']
['954', '326', '578', '900', '554', '120', '583', '994', '232', '826']
['292', '437', '871', '577', '299', '616', '621', '836', '694', '431']
['520', '66', '192', '674', '881', '431', '846', '118', '591', '798']
['201', '983', '328', '665', '184', '998', '480', '866', '195', '375']
['123', '727', '325', '297', '223', '519', '45', '303', '387', '778']
['231', '612', '460', '3', '358', '373', '77', '170', '742', '307']
['955', '966', '962', '876', '104', '252', '449', '502', '337', '473']
['659', '660', '609', '621', '687', '763', '594', '987', '542', '71']
['178', '121', '310', '398', '404', '553', '110', '559', '355', '659']
['76', '71', '557', '914', '231', '219', '935', '703', '214', '655']
['49', '211', '900', '369', '987', '654', '519', '850', '186', '929']
['733', '653', '960', '57', '877', '58', '67', '320', '507', '882']
['256', '309', '561', '147', '444', '723', '704', '806', '686', '224']
