['500', '94', '949', '270', '463']
['964', '602', '7', '822', '170']
['287', '229', '119', '608', '237']
['490', '141', '731', '124', '781']
['65', '630', '486', '168', '805']
['271', '529', '813', '154', '76']
['909', '241', '219', '532', '604']
['411', '362', '712', '769', '867']
['983', '17', '337', '786', '332']
['711', '188', '137', '199', '10']
['279', '128', '982', '283', '116']
['779', '103', '466', '730', '454']
['685', '849', '92', '417', '862']
['995', '267', '235', '516', '988']
['498', '880', '452', '723', '898']
['648', '569', '334', '794', '250']
['539', '211', '183', '196', '442']
['479', '347', '860', '534', '520']
['543', '91', '25', '186', '885']
['148', '221', '675', '326', '82']
['792', '855', '355', '972', '145']
['113', '724', '603', '497', '45']
['652', '125', '979', '75', '618']
['853', '197', '35', '842', '21']
['346', '921', '367', '812', '557']
['41', '340', '448', '344', '598']
['361', '455', '826', '132', '566']
['392', '86', '295', '825', '793']
['621', '63', '383', '596', '703']
['896', '690', '335', '637', '751']
['204', '357', '381', '548', '249']
['268', '970', '304', '386', '958']
['513', '147', '893', '408', '725']
['801', '61', '683', '29', '760']
['684', '743', '668', '166', '22']
['728', '614', '55', '71', '935']
['155', '549', '710', '377', '336']
['859', '689', '999', '634', '115']
['981', '84', '533', '473', '205']
['426', '59', '397', '333', '963']
['485', '764', '27', '641', '47']
['729', '790', '375', '422', '984']
['437', '861', '461', '5', '929']
['24', '836', '13', '802', '302']
['986', '908', '633', '171', '772']
['342', '200', '288', '563', '292']
['469', '245', '409', '858', '43']
['60', '882', '181', '664', '395']
['581', '140', '298', '992', '895']
['574', '384', '845', '576', '162']
['556', '233', '774', '591', '525']
['40', '203', '360', '673', '239']
['48', '517', '478', '83', '546']
['225', '753', '594', '758', '415']
['524', '251', '564', '702', '985']
['932', '974', '969', '9', '871']
['81', '925', '214', '359', '195']
['575', '79', '624', '407', '658']
['872', '18', '840', '303', '994']
['161', '67', '866', '93', '607']
['715', '511', '101', '770', '611']
['492', '916', '582', '560', '95']
['782', '308', '659', '232', '343']
['720', '482', '434', '324', '121']
['750', '504', '719', '691', '474']
['373', '278', '120', '289', '46']
['353', '506', '707', '213', '847']
['58', '439', '371', '677', '114']
['850', '96', '827', '946', '122']
['23', '910', '318', '180', '722']
['863', '242', '593', '50', '919']
['240', '918', '394', '848', '177']
['647', '666', '905', '201', '317']
['796', '535', '726', '650', '507']
['89', '701', '783', '430', '19']
['699', '718', '816', '176', '238']
['966', '765', '960', '419', '515']
['523', '891', '80', '628', '260']
['364', '416', '993', '427', '727']
['734', '321', '879', '354', '800']
['938', '545', '341', '889', '807']
['721', '358', '627', '110', '85']
['130', '941', '220', '253', '39']
['450', '962', '484', '578', '349']
['33', '301', '888', '508', '207']
['739', '771', '313', '385', '330']
['662', '182', '873', '631', '438']
['754', '467', '762', '660', '573']
['570', '88', '3', '768', '977']
['230', '70', '526', '767', '580']
['8', '886', '716', '904', '481']
['493', '131', '625', '372', '834']
['843', '980', '224', '329', '269']
['741', '28', '299', '975', '14']
['56', '944', '619', '735', '127']
['68', '567', '215', '226', '940']
['667', '759', '259', '906', '403']
['431', '544', '236', '379', '6']
['714', '951', '305', '396', '460']
['262', '142', '284', '4', '934']
['924', '665', '228', '989', '185']
['512', '795', '646', '151', '874']
['996', '62', '51', '911', '518']
['682', '49', '165', '402', '920']
['749', '445', '149', '410', '216']
['425', '692', '234', '153', '547']
['595', '875', '755', '572', '401']
['780', '194', '947', '876', '913']
['695', '803', '617', '328', '869']
['99', '542', '352', '261', '644']
['679', '897', '806', '902', '297']
['531', '856', '491', '832', '398']
['102', '290', '156', '799', '309']
['841', '319', '98', '470', '819']
['291', '274', '976', '687', '706']
['69', '708', '514', '678', '37']
['837', '521', '323', '248', '146']
['698', '894', '746', '387', '583']
['747', '597', '264', '173', '488']
['505', '440', '681', '413', '263']
['830', '143', '671', '281', '609']
['777', '163', '435', '314', '134']
['275', '522', '428', '465', '369']
['785', '620', '193', '444', '72']
['688', '778', '952', '592', '30']
['959', '495', '456', '717', '899']
['38', '510', '965', '432', '322']
['1', '953', '643', '53', '559']
['540', '187', '0', '243', '388']
['223', '172', '133', '487', '817']
['538', '159', '26', '752', '536']
['421', '420', '376', '400', '700']
['601', '550', '656', '370', '285']
['663', '761', '846', '939', '571']
['917', '632', '447', '923', '192']
['164', '378', '2', '868', '363']
['584', '788', '655', '961', '884']
['152', '936', '494', '476', '399']
['477', '315', '104', '272', '791']
['252', '798', '828', '464', '565']
['922', '144', '732', '605', '325']
['763', '670', '246', '612', '66']
['773', '713', '471', '54', '990']
['756', '496', '273', '577', '797']
['441', '184', '503', '553', '150']
['365', '942', '108', '831', '903']
['257', '907', '509', '838', '418']
['449', '436', '528', '502', '954']
['870', '705', '821', '881', '852']
['406', '327', '157', '457', '864']
['744', '339', '306', '501', '90']
['835', '804', '657', '191', '997']
['931', '733', '738', '429', '599']
['971', '956', '280', '851', '351']
['389', '15', '551', '613', '282']
['73', '829', '312', '451', '36']
['468', '390', '537', '784', '78']
['639', '635', '967', '218', '973']
['585', '900', '933', '77', '277']
['338', '948', '123', '310', '586']
['11', '883', '366', '391', '818']
['892', '414', '914', '453', '424']
['107', '32', '833', '541', '175']
['694', '111', '527', '320', '499']
['704', '209', '554', '20', '100']
['766', '661', '136', '300', '878']
['296', '167', '552', '606', '651']
['350', '12', '105', '311', '158']
['915', '809', '943', '680', '610']
['179', '480', '555', '169', '44']
['693', '393', '676', '117', '957']
['126', '928', '901', '42', '138']
['776', '345', '112', '382', '244']
['740', '212', '52', '945', '307']
['930', '686', '459', '446', '757']
['927', '31', '955', '178', '356']
['669', '748', '210', '135', '736']
['742', '286', '626', '912', '824']
['412', '489', '950', '472', '987']
['64', '844', '294', '231', '380']
['649', '530', '642', '640', '854']
['227', '709', '887', '823', '815']
['202', '558', '820', '991', '160']
['139', '405', '129', '206', '589']
['562', '266', '561', '587', '348']
['638', '189', '654', '265', '475']
['814', '97', '443', '331', '256']
['247', '629', '745', '697', '293']
['222', '623', '174', '674', '34']
['483', '653', '857', '737', '672']
['616', '808', '890', '106', '254']
['217', '600', '374', '433', '87']
['696', '109', '839', '198', '208']
['622', '423', '404', '865', '590']
['810', '968', '926', '255', '16']
['190', '787', '789', '636', '579']
['368', '258', '74', '877', '568']
['462', '519', '118', '588', '615']
['645', '937', '978', '998', '57']
['775', '316', '811', '276', '458']
