200
7
['79', '44', '403']
['456', '217', '778']
['713', '223', '655']
['211', '78', '18']
['386', '0', '706']
['597', '528', '145']
['668', '435', '71']
['488', '353', '602']
['317', '219', '448']
['518', '326', '348']
['419', '113', '161']
['726', '561', '310']
['155', '22', '308']
['448', '432', '367']
['604', '540', '38']
['531', '497', '423']
['146', '576', '91']
['467', '751', '230']
['441', '40', '77']
['306', '134', '639']
['226', '91', '279']
['759', '239', '219']
['775', '327', '103']
['81', '768', '6']
['690', '287', '688']
['663', '193', '382']
['546', '534', '81']
['373', '115', '755']
['198', '545', '335']
['492', '183', '720']
['569', '481', '355']
['11', '680', '623']
['288', '370', '120']
['715', '623', '723']
['350', '679', '560']
['733', '377', '262']
['771', '88', '164']
['630', '153', '30']
['411', '439', '316']
['384', '298', '170']
['706', '763', '140']
['325', '694', '533']
['584', '215', '759']
['391', '20', '265']
['267', '123', '14']
['52', '152', '466']
['794', '276', '27']
['246', '618', '203']
['35', '728', '743']
['533', '507', '552']
['33', '199', '155']
['3', '80', '616']
['126', '366', '740']
['1', '47', '357']
['101', '659', '276']
['605', '218', '211']
['302', '98', '691']
['438', '48', '386']
['358', '644', '458']
['744', '399', '83']
['69', '628', '331']
['92', '776', '472']
['374', '368', '217']
['332', '447', '187']
['266', '17', '63']
['568', '344', '638']
['129', '588', '437']
['279', '770', '180']
['637', '256', '132']
['314', '339', '424']
['490', '140', '125']
['577', '572', '488']
['672', '187', '415']
['382', '396', '349']
['525', '414', '261']
['647', '687', '274']
['324', '320', '489']
['465', '265', '622']
['318', '777', '254']
['474', '331', '494']
['579', '143', '101']
['179', '235', '277']
['45', '461', '782']
['470', '716', '313']
['125', '617', '762']
['273', '505', '447']
['192', '585', '439']
['652', '73', '319']
['105', '108', '442']
['46', '712', '675']
['263', '581', '586']
['151', '247', '122']
['351', '704', '370']
['575', '254', '620']
['721', '729', '252']
['62', '515', '13']
['521', '610', '436']
['111', '793', '658']
['598', '766', '468']
['207', '440', '126']
['613', '437', '745']
['745', '727', '266']
['737', '299', '422']
['779', '323', '365']
['168', '452', '712']
['499', '29', '87']
['55', '790', '546']
['393', '321', '195']
['500', '231', '24']
['56', '387', '105']
['564', '724', '2']
['580', '102', '359']
['312', '77', '588']
['165', '761', '160']
['120', '506', '98']
['316', '196', '565']
['678', '277', '275']
['457', '493', '238']
['89', '469', '139']
['34', '50', '721']
['543', '718', '680']
['734', '509', '757']
['294', '70', '644']
['59', '117', '231']
['593', '769', '641']
['685', '258', '630']
['741', '242', '544']
['63', '315', '143']
['760', '343', '440']
['130', '475', '636']
['536', '458', '754']
['599', '262', '477']
['650', '367', '15']
['74', '116', '50']
['731', '144', '656']
['330', '184', '670']
['250', '75', '1']
['700', '722', '7']
['489', '154', '503']
['225', '764', '739']
['272', '133', '293']
['37', '750', '513']
['41', '757', '676']
['383', '773', '392']
['220', '782', '393']
['691', '90', '463']
['708', '177', '244']
['570', '471', '467']
['86', '565', '318']
['529', '394', '99']
['255', '418', '235']
['607', '631', '324']
['293', '574', '256']
['632', '462', '116']
['268', '195', '522']
['591', '408', '380']
['274', '517', '270']
['664', '689', '412']
['603', '110', '718']
['30', '643', '550']
['479', '620', '364']
['671', '450', '414']
['567', '65', '329']
['114', '670', '798']
['739', '530', '72']
['430', '362', '137']
['204', '289', '626']
['442', '404', '378']
['640', '8', '280']
['587', '71', '204']
['99', '785', '561']
['124', '309', '528']
['658', '138', '400']
['487', '300', '354']
['473', '537', '603']
['639', '341', '298']
['636', '714', '666']
['186', '2', '93']
['486', '236', '224']
['145', '696', '771']
['100', '160', '372']
['174', '483', '362']
['128', '9', '577']
['281', '49', '776']
['754', '259', '214']
['297', '619', '388']
['477', '205', '303']
['625', '558', '592']
['32', '502', '152']
['356', '148', '615']
['260', '513', '797']
['139', '221', '249']
['642', '427', '4']
['197', '275', '799']
['222', '283', '471']
['66', '454', '300']
['449', '498', '571']
['147', '328', '314']
['514', '719', '5']
