['193', '133', '293', '313', '73', '233', '13', '173', '333', '399', '273', '53', '213', '373', '374', '153', '93', '253', '375']
['34', '194', '4', '354', '38', '71', '134', '74', '75', '234', '314', '334', '114', '274', '254', '54', '214', '154', '94']
['35', '195', '255', '355', '135', '295', '395', '396', '14', '335', '17', '177', '115', '275', '315', '55', '215', '155', '95']
['96', '256', '3', '196', '356', '376', '136', '296', '236', '15', '16', '336', '18', '116', '276', '316', '56', '156', '216']
['0', '160', '280', '320', '100', '260', '40', '200', '360', '140', '300', '364', '80', '240', '20', '180', '340', '120', '220']
['99', '259', '197', '319', '39', '199', '359', '139', '174', '219', '176', '239', '179', '339', '379', '119', '59', '279', '159']
['318', '98', '258', '198', '294', '358', '218', '138', '299', '394', '397', '238', '79', '178', '338', '118', '278', '58', '158']
['66', '226', '6', '166', '72', '186', '106', '266', '326', '346', '46', '206', '146', '306', '86', '246', '26', '126', '286']
['224', '384', '344', '164', '324', '104', '264', '392', '12', '44', '204', '144', '304', '84', '244', '284', '24', '124', '184']
['65', '225', '5', '165', '325', '345', '105', '265', '45', '205', '365', '145', '305', '85', '245', '185', '285', '60', '125']
['416', '417', '290', '414', '230', '390', '141', '402', '19', '403', '21', '150', '413', '408', '409', '412', '381', '30', '415']
['2', '162', '322', '102', '262', '42', '202', '76', '282', '142', '302', '82', '242', '22', '182', '342', '122', '222', '62']
['128', '248', '288', '68', '228', '168', '328', '108', '77', '268', '48', '208', '188', '368', '148', '308', '348', '88', '28']
['1', '161', '321', '388', '101', '261', '281', '8', '41', '201', '361', '301', '81', '241', '181', '341', '221', '121', '61']
['129', '289', '229', '249', '9', '169', '329', '109', '269', '49', '209', '369', '149', '309', '189', '89', '378', '349', '29']
['227', '287', '387', '7', '167', '247', '327', '107', '267', '187', '47', '207', '347', '147', '307', '87', '27', '380', '127']
['350', '130', '382', '69', '70', '383', '10', '170', '250', '330', '110', '270', '50', '210', '370', '310', '90', '190', '63']
['64', '67', '163', '323', '103', '263', '43', '203', '78', '143', '283', '303', '83', '243', '23', '183', '123', '343', '223']
['191', '131', '291', '351', '231', '377', '171', '331', '366', '111', '251', '271', '51', '211', '151', '25', '91', '311', '31']
['32', '192', '312', '352', '132', '292', '232', '362', '172', '332', '367', '112', '272', '52', '212', '252', '372', '152', '92']
['33', '385', '353', '386', '389', '418', '391', '419', '393', '298', '398', '400', '113', '401', '404', '405', '406', '407', '410', '411']
['97', '257', '36', '37', '217', '357', '137', '297', '11', '235', '237', '363', '175', '337', '371', '117', '277', '57', '317', '157']
