['225', '218', '226']
['211', '212', '207']
['217', '221', '222']
['219', '223', '224']
['227', '220', '228']
['233', '234', '229']
['235', '236', '231']
['209', '210', '205']
['240', '239', '232']
['238', '237', '230']
['195', '199', '200']
['214', '213', '206']
['203', '196', '204']
['201', '194', '202']
['193', '197', '198']
['185', '186', '181']
['192', '191', '184']
['216', '215', '208']
['187', '188', '183']
['189', '182', '190']
['141', '134', '142']
['123', '127', '128']
['121', '125', '126']
['129', '122', '130']
['131', '124', '132']
['153', '146', '154']
['145', '149', '150']
['144', '143', '136']
['139', '140', '135']
['137', '138', '133']
['147', '151', '152']
['165', '158', '166']
['163', '164', '159']
['168', '167', '160']
['161', '162', '157']
['155', '148', '156']
['171', '175', '176']
['179', '172', '180']
['169', '173', '174']
['177', '170', '178']
['97', '101', '102']
['105', '98', '106']
['96', '95', '88']
['91', '92', '87']
['89', '90', '85']
['94', '86', '80']
['73', '77', '78']
['108', '107', '100']
['83', '93', '79']
['84', '75', '76']
['70', '69', '62']
['72', '71', '64']
['65', '66', '61']
['81', '74', '82']
['67', '68', '63']
['118', '117', '110']
['99', '103', '104']
['113', '114', '109']
['120', '119', '112']
['115', '116', '111']
['22', '21', '14']
['3', '7', '8']
['9', '2', '10']
['12', '11', '4']
['1', '5', '6']
['33', '26', '34']
['36', '35', '28']
['24', '23', '16']
['17', '18', '13']
['19', '20', '15']
['43', '44', '39']
['57', '50', '58']
['60', '59', '52']
['49', '53', '54']
['51', '55', '56']
['27', '31', '32']
['25', '29', '30']
['41', '42', '37']
['48', '47', '40']
['46', '45', '38']
['307', '308', '303']
['321', '314', '322']
['312', '311', '304']
['305', '306', '301']
['310', '309', '302']
['334', '333', '326']
['329', '330', '325']
['315', '319', '320']
['313', '317', '318']
['324', '323', '316']
['339', '343', '344']
['358', '357', '350']
['353', '354', '349']
['360', '359', '352']
['355', '356', '351']
['336', '335', '328']
['331', '332', '327']
['345', '338', '346']
['337', '341', '342']
['348', '347', '340']
['259', '260', '255']
['273', '266', '274']
['257', '258', '253']
['262', '261', '254']
['264', '263', '256']
['241', '245', '246']
['249', '242', '250']
['276', '275', '268']
['243', '247', '248']
['251', '244', '252']
['265', '269', '270']
['267', '271', '272']
['288', '287', '280']
['286', '285', '278']
['281', '282', '277']
['283', '284', '279']
['297', '290', '298']
['300', '299', '292']
['289', '293', '294']
['291', '295', '296']
['403', '404', '399']
['417', '410', '418']
['419', '412', '420']
['409', '413', '414']
['411', '415', '416']
['385', '389', '390']
['387', '391', '392']
['401', '402', '397']
['408', '407', '400']
['405', '398', '406']
['382', '381', '374']
['363', '367', '368']
['369', '362', '370']
['372', '371', '364']
['361', '365', '366']
['395', '388', '396']
['393', '386', '394']
['384', '383', '376']
['379', '380', '375']
['377', '378', '373']
['441', '434', '442']
['427', '428', '423']
['429', '422', '430']
['425', '426', '421']
['432', '431', '424']
['454', '453', '446']
['449', '450', '445']
['443', '436', '444']
['433', '437', '438']
['435', '439', '440']
['478', '477', '470']
['459', '463', '464']
['475', '476', '471']
['480', '479', '472']
['473', '474', '469']
['451', '452', '447']
['456', '455', '448']
['457', '461', '462']
['465', '458', '466']
['467', '460', '468']
