['526', '839', '365', '299', '239', '944', '845', '129', '592', '331', '650', '660', '554', '743', '254', '799', '600', '417', '921', '809', '586', '438', '396', '392', '861', '161', '761', '348', '73', '153', '516']
['940', '444', '672', '413', '334', '70', '889', '666', '450', '172', '320', '484', '317', '442', '106', '635', '852', '293', '439', '493', '538', '327', '133', '140', '261', '833', '17', '934', '100', '575', '409']
['287', '942', '434', '222', '179', '33', '840', '41', '230', '264', '674', '134', '505', '812', '296', '598', '20', '549', '909', '931', '250', '607', '645', '871', '367', '583', '18', '85', '244', '760', '146']
['958', '673', '779', '449', '634', '12', '383', '675', '402', '744', '242', '258', '682', '700', '887', '480', '530', '253', '98', '741', '262', '421', '386', '936', '315', '64', '232', '224', '269', '911', '65']
['619', '868', '174', '482', '265', '126', '546', '398', '721', '781', '160', '316', '259', '325', '462', '234', '874', '395', '662', '527', '479', '704', '481', '808', '340', '79', '714', '257', '5', '197', '557']
['928', '389', '336', '120', '88', '627', '435', '130', '173', '561', '71', '236', '913', '295', '529', '846', '286', '653', '937', '127', '689', '848', '246', '636', '471', '135', '338', '188', '465', '728', '362']
['213', '899', '612', '403', '467', '69', '91', '7', '283', '330', '810', '476', '61', '668', '478', '441', '206', '727', '798', '859', '774', '823', '597', '374', '248', '581', '782', '51', '914', '603', '96']
['240', '638', '104', '14', '337', '713', '235', '847', '357', '302', '815', '107', '314', '893', '777', '827', '570', '628', '121', '497', '454', '785', '805', '81', '800', '950', '45', '183', '780', '724', '370']
['310', '617', '423', '545', '247', '910', '702', '935', '764', '562', '596', '53', '640', '132', '427', '52', '720', '757', '318', '745', '851', '589', '551', '951', '564', '137', '948', '908', '639', '285', '754']
['642', '284', '850', '836', '208', '606', '56', '922', '48', '584', '730', '715', '644', '433', '864', '646', '705', '321', '366', '335', '536', '918', '62', '897', '726', '802', '838', '309', '102', '508', '548']
['826', '877', '89', '469', '169', '415', '290', '945', '680', '532', '78', '304', '268', '521', '613', '881', '573', '181', '416', '694', '917', '819', '486', '658', '495', '311', '566', '34', '556', '159', '267']
['341', '692', '32', '902', '216', '659', '407', '76', '688', '767', '440', '77', '92', '686', '464', '542', '541', '860', '238', '332', '408', '217', '151', '271', '517', '128', '277', '487', '113', '752', '355']
['31', '233', '929', '772', '3', '888', '609', '263', '353', '501', '419', '615', '587', '876', '611', '166', '531', '630', '930', '4', '509', '732', '412', '312', '301', '679', '512', '110', '470', '50', '59']
['558', '347', '829', '368', '739', '750', '458', '195', '228', '671', '816', '574', '804', '637', '37', '256', '858', '300', '90', '834', '131', '105', '742', '157', '446', '661', '219', '372', '949', '432', '553']
['23', '525', '380', '379', '701', '150', '524', '149', '158', '8', '793', '22', '196', '489', '614', '94', '447', '643', '926', '364', '275', '1', '735', '313', '345', '849', '329', '588', '758', '697', '26']
