['637', '945', '322', '944', '131', '73', '822', '86', '205', '124', '415', '427', '34', '226', '730', '228', '138', '563', '56', '721', '534', '955', '912', '633', '435', '287', '866', '565', '795', '45', '833']
['406', '335', '599', '14', '195', '694', '160', '551', '438', '501', '907', '223', '250', '298', '134', '163', '635', '913', '533', '680', '13', '51', '553', '664', '953', '920', '904', '43', '948', '232', '273']
['301', '786', '404', '749', '8', '337', '781', '537', '15', '263', '744', '612', '935', '914', '327', '81', '850', '588', '622', '762', '272', '181', '119', '66', '346', '568', '569', '485', '845', '567', '302']
['646', '312', '451', '3', '483', '444', '182', '320', '600', '140', '629', '958', '728', '936', '655', '49', '173', '455', '783', '92', '115', '21', '473', '184', '46', '47', '432', '905', '383', '857', '742']
['726', '286', '429', '693', '187', '252', '940', '176', '902', '891', '114', '526', '882', '576', '799', '827', '729', '471', '197', '20', '260', '658', '307', '457', '363', '497', '881', '566', '908', '221', '703']
['333', '295', '437', '478', '621', '531', '401', '262', '259', '740', '647', '189', '306', '829', '652', '796', '630', '204', '625', '689', '851', '790', '120', '247', '499', '241', '121', '570', '520', '238', '440']
['917', '493', '558', '85', '146', '468', '943', '41', '304', '358', '860', '723', '44', '791', '441', '32', '165', '249', '155', '132', '324', '772', '671', '110', '628', '552', '200', '854', '941', '194', '893']
['126', '79', '386', '530', '395', '764', '95', '196', '666', '814', '330', '897', '463', '580', '373', '281', '591', '4', '375', '716', '718', '779', '332', '390', '299', '956', '474', '355', '619', '452', '753']
['394', '464', '122', '883', '178', '607', '385', '156', '505', '769', '7', '743', '481', '109', '408', '899', '632', '265', '571', '278', '550', '1', '208', '508', '713', '460', '0', '923', '685', '396', '315']
['801', '116', '641', '258', '10', '360', '462', '631', '527', '318', '678', '57', '348', '389', '412', '878', '673', '773', '521', '397', '820', '42', '582', '830', '243', '840', '426', '697', '60', '402', '418']
['834', '717', '61', '65', '268', '98', '613', '847', '643', '518', '528', '928', '839', '861', '581', '585', '910', '887', '222', '27', '709', '149', '105', '106', '88', '670', '309', '135', '96', '201', '331']
['885', '841', '605', '880', '123', '139', '215', '662', '510', '615', '351', '939', '378', '738', '280', '573', '253', '617', '186', '365', '959', '714', '18', '380', '545', '159', '311', '513', '39', '559', '167']
['465', '871', '48', '419', '213', '701', '325', '746', '950', '916', '836', '343', '831', '292', '169', '603', '562', '313', '942', '372', '357', '574', '889', '297', '794', '203', '368', '191', '683', '417', '548']
