['192', '17', '752', '162']
['430', '659', '935', '160']
['518', '774', '806', '563']
['227', '795', '672', '996', '270']
['111', '351', '921', '381', '968']
['517', '782', '983', '552', '81']
['306', '69', '561', '526', '115']
['588', '316', '442', '768', '576']
['852', '568', '70', '738', '880']
['1', '945', '250', '679', '410']
['594', '226', '369', '34', '926']
['336', '876', '499', '886', '408']
['448', '253', '931', '798', '553']
['468', '871', '380', '356', '364']
['766', '20', '168', '923', '458']
['980', '902', '203', '486', '480']
['269', '98', '647', '829', '29']
['591', '558', '207', '418', '28']
['587', '609', '948', '271', '742']
['43', '319', '147', '424', '392']
['395', '134', '446', '375', '67']
['739', '839', '479', '830', '638']
['716', '73', '323', '248', '62']
['625', '783', '780', '669', '614']
['595', '349', '77', '702', '727']
['897', '24', '276', '44', '891']
['794', '813', '664', '504', '540']
['190', '127', '660', '616', '48']
['868', '465', '180', '572', '601']
['611', '593', '708', '754', '396']
['130', '905', '158', '917', '259']
['967', '744', '809', '152', '922']
['173', '108', '979', '247', '910']
['181', '237', '54', '216', '110']
['789', '785', '667', '76', '683']
['477', '489', '865', '208', '820']
['354', '8', '393', '57', '630']
['308', '869', '183', '728', '648']
['650', '686', '497', '734', '286']
['104', '435', '84', '41', '397']
['99', '778', '692', '627', '793']
['93', '169', '194', '344', '49']
['58', '918', '295', '350', '419']
['662', '953', '599', '65', '645']
['755', '42', '294', '445', '27']
['277', '126', '439', '113', '431']
['771', '810', '11', '641', '626']
['709', '19', '747', '102', '357']
['670', '731', '441', '332', '896']
['175', '409', '301', '946', '821']
['361', '889', '995', '936', '514']
['629', '238', '362', '873', '713']
['762', '476', '89', '715', '805']
['604', '422', '485', '417', '61']
['178', '515', '894', '488', '287']
['511', '37', '825', '500', '174']
['972', '122', '275', '549', '407']
['999', '652', '284', '700', '232']
['845', '481', '219', '900', '478']
['144', '543', '596', '372', '5']
['872', '796', '303', '282', '675']
['617', '695', '877', '697', '15']
['753', '230', '307', '916', '494']
['850', '677', '746', '881', '985']
['654', '359', '223', '449', '262']
['784', '529', '100', '360', '46']
['9', '340', '257', '763', '205']
['324', '343', '866', '801', '533']
['472', '258', '371', '146', '833']
['462', '451', '145', '475', '570']
['704', '828', '606', '325', '107']
['534', '847', '761', '388', '196']
['818', '261', '404', '933', '18']
['389', '575', '718', '310', '832']
['838', '840', '296', '759', '976']
['861', '450', '212', '151', '117']
['633', '31', '83', '749', '256']
['874', '814', '947', '988', '150']
['86', '289', '776', '170', '47']
['589', '490', '965', '252', '941']
['536', '685', '80', '91', '25']
['16', '420', '694', '285', '311']
['879', '13', '406', '444', '433']
['412', '816', '236', '426', '399']
['958', '370', '128', '116', '300']
['743', '619', '217', '974', '997']
['376', '772', '171', '909', '520']
['649', '114', '827', '862', '179']
['193', '394', '927', '878', '199']
['586', '913', '315', '676', '274']
['163', '414', '30', '309', '64']
['867', '592', '949', '841', '989']
['797', '751', '244', '632', '55']
['799', '346', '542', '461', '167']
['463', '836', '233', '119', '97']
['724', '849', '843', '887', '225']
['318', '960', '2', '177', '12']
['546', '904', '368', '537', '337']
['513', '415', '352', '674', '211']
['398', '421', '264', '201', '464']
['538', '390', '129', '870', '620']
['425', '792', '206', '952', '495']
['137', '603', '0', '195', '455']
['655', '456', '919', '112', '187']
['335', '157', '831', '899', '571']
['642', '562', '121', '890', '214']
['671', '618', '52', '907', '105']
['853', '523', '263', '888', '808']
['341', '165', '374', '432', '470']
['452', '333', '139', '846', '658']
['545', '383', '725', '184', '579']
['748', '224', '858', '508', '817']
['875', '218', '903', '299', '942']
['339', '280', '255', '957', '50']
['123', '267', '547', '385', '969']
['273', '45', '722', '710', '787']
['36', '898', '610', '482', '235']
['159', '892', '961', '835', '578']
['577', '714', '293', '925', '26']
['613', '525', '254', '330', '882']
['653', '522', '991', '473', '469']
['483', '313', '893', '272', '585']
['668', '266', '856', '348', '644']
['963', '164', '977', '758', '106']
['539', '531', '320', '973', '38']
['975', '636', '239', '7', '260']
['268', '241', '210', '379', '944']
['92', '851', '234', '133', '405']
['521', '345', '978', '773', '358']
['423', '656', '826', '580', '278']
['411', '125', '400', '883', '723']
['612', '353', '551', '51', '906']
['564', '454', '777', '198', '95']
['938', '202', '94', '711', '855']
['161', '605', '550', '863', '438']
['118', '101', '387', '729', '436']
['954', '153', '373', '770', '950']
['443', '707', '574', '334', '528']
['138', '221', '503', '142', '209']
['661', '665', '141', '719', '4']
['720', '243', '689', '109', '21']
['402', '703', '857', '213', '912']
['541', '6', '74', '96', '860']
['56', '699', '990', '512', '635']
['733', '812', '555', '698', '292']
['791', '757', '231', '745', '502']
['440', '681', '437', '884', '800']
['338', '457', '474', '135', '251']
['726', '189', '79', '920', '290']
['730', '842', '298', '673', '154']
['750', '365', '982', '427', '487']
['554', '103', '602', '911', '279']
['403', '166', '701', '302', '413']
['901', '466', '82', '530', '924']
['329', '498', '493', '68', '501']
['765', '377', '684', '140', '597']
['615', '663', '471', '908', '366']
['788', '53', '85', '215', '516']
['87', '622', '312', '690', '775']
['984', '401', '940', '680', '548']
['40', '222', '767', '200', '204']
['155', '987', '937', '837', '124']
['355', '764', '386', '998', '779']
['824', '736', '519', '815', '59']
['566', '696', '682', '600', '951']
['347', '717', '623', '10', '693']
['769', '317', '492', '932', '428']
['986', '914', '966', '639', '281']
['790', '75', '956', '823', '283']
['646', '934', '740', '848', '621']
['992', '524', '90', '943', '197']
['640', '732', '567', '132', '971']
['573', '328', '484', '598', '959']
['384', '691', '760', '834', '314']
['265', '510', '964', '32', '557']
['915', '182', '608', '584', '66']
['305', '35', '63', '706', '229']
['188', '928', '819', '624', '741']
['191', '565', '939', '88', '148']
['120', '23', '822', '245', '149']
['460', '288', '382', '802', '607']
['712', '459', '981', '367', '327']
['859', '666', '176', '637', '297']
['3', '895', '220', '507', '172']
['72', '71', '807', '556', '186']
['581', '78', '687', '249', '560']
['496', '929', '864', '246', '590']
['447', '930', '467', '505', '688']
['532', '22', '737', '363', '844']
['453', '657', '721', '185', '803']
['434', '527', '391', '291', '242']
['628', '326', '993', '885', '854']
['321', '33', '786', '651', '735']
['228', '962', '804', '506', '322']
['331', '994', '131', '955', '156']
['559', '136', '643', '631', '143']
['509', '705', '240', '535', '569']
['544', '378', '781', '60', '678', '634']
['416', '970', '14', '491', '583', '39']
['811', '342', '304', '756', '582', '429']
