['160', '749', '773', '23', '552', '293', '667', '515', '242', '920', '940', '571', '875', '386', '181', '321', '424', '271', '149', '121']
['183', '257', '434', '69', '688', '628', '84', '673', '487', '619', '542', '2', '879', '955', '350', '397', '768', '939', '546', '850']
['178', '70', '254', '574', '872', '227', '927', '882', '175', '275', '511', '148', '425', '636', '899', '214', '131', '924', '839', '852']
['951', '258', '243', '974', '961', '78', '612', '641', '351', '763', '565', '117', '777', '618', '411', '374', '102', '759', '410', '701']
['237', '851', '295', '751', '762', '952', '712', '645', '915', '804', '858', '857', '11', '198', '714', '713', '643', '189', '637', '142']
['207', '644', '707', '986', '8', '881', '364', '683', '848', '365', '456', '853', '470', '826', '46', '663', '904', '513', '661', '348']
['360', '5', '330', '510', '825', '890', '886', '120', '184', '639', '653', '152', '656', '135', '793', '555', '294', '252', '754', '285']
['269', '177', '527', '192', '649', '284', '168', '598', '658', '769', '406', '457', '709', '892', '344', '57', '361', '15', '450', '838']
['413', '392', '180', '810', '626', '855', '399', '114', '141', '199', '173', '583', '936', '601', '301', '186', '145', '388', '923', '990']
['332', '143', '396', '668', '50', '52', '783', '584', '963', '85', '554', '932', '448', '686', '498', '521', '445', '322', '928', '529']
['878', '685', '475', '216', '267', '49', '695', '77', '925', '21', '764', '978', '694', '889', '767', '531', '843', '860', '994', '224']
['796', '917', '266', '226', '105', '248', '973', '761', '599', '359', '544', '407', '281', '724', '110', '205', '308', '484', '323', '523']
['799', '849', '479', '420', '146', '568', '800', '971', '482', '975', '819', '290', '563', '402', '553', '868', '519', '863', '991', '369']
['828', '790', '794', '336', '720', '726', '463', '164', '92', '660', '820', '97', '948', '717', '109', '785', '122', '190', '315', '100']
['7', '201', '274', '161', '42', '815', '452', '919', '331', '40', '436', '607', '679', '307', '755', '318', '27', '176', '648', '929']
['156', '950', '459', '376', '937', '610', '62', '983', '154', '750', '789', '239', '151', '297', '753', '569', '896', '67', '353', '721']
['575', '208', '731', '533', '378', '382', '580', '614', '0', '725', '210', '654', '229', '349', '123', '206', '698', '485', '94', '993']
['79', '814', '488', '99', '89', '337', '251', '95', '1', '859', '588', '678', '326', '841', '778', '414', '319', '4', '16', '82']
['689', '795', '540', '524', '496', '912', '902', '286', '603', '944', '490', '840', '771', '739', '104', '680', '157', '570', '363', '398']
['582', '898', '24', '265', '935', '507', '908', '385', '74', '461', '393', '514', '711', '758', '246', '26', '596', '634', '862', '59']
['404', '982', '861', '280', '718', '981', '730', '465', '255', '259', '433', '732', '245', '846', '774', '895', '969', '665', '39', '166']
['930', '832', '212', '495', '247', '34', '401', '808', '355', '270', '622', '880', '770', '221', '241', '503', '334', '992', '268', '264']
['676', '499', '451', '300', '440', '642', '101', '765', '829', '279', '682', '37', '605', '677', '702', '604', '373', '989', '476', '578']
['958', '65', '48', '752', '194', '138', '130', '690', '918', '891', '47', '606', '213', '362', '813', '174', '31', '169', '372', '962']
['812', '244', '996', '262', '163', '111', '418', '549', '429', '86', '517', '581', '455', '736', '960', '225', '756', '370', '539', '477']
['633', '387', '140', '430', '167', '802', '906', '681', '550', '44', '238', '559', '273', '468', '805', '597', '139', '779', '68', '807']
['432', '211', '447', '283', '534', '272', '419', '43', '90', '876', '530', '945', '14', '705', '381', '313', '219', '787', '116', '593']
['894', '692', '817', '58', '126', '525', '66', '505', '970', '125', '887', '480', '883', '509', '13', '222', '119', '390', '118', '422']
['32', '842', '129', '966', '727', '473', '943', '733', '579', '188', '28', '723', '827', '132', '379', '489', '204', '30', '472', '333']
['941', '250', '439', '662', '620', '784', '195', '708', '197', '946', '76', '12', '421', '585', '995', '506', '602', '818', '811', '341']
['543', '744', '153', '303', '693', '591', '481', '623', '88', '304', '377', '608', '19', '128', '586', '821', '592', '415', '233', '486']
['289', '358', '491', '822', '368', '913', '567', '444', '897', '864', '218', '934', '877', '231', '306', '520', '518', '215', '298', '914']
['956', '716', '403', '389', '442', '715', '431', '60', '287', '942', '775', '409', '112', '638', '526', '417', '722', '558', '492', '179']
['532', '437', '234', '35', '464', '494', '56', '335', '137', '657', '324', '367', '624', '426', '632', '564', '191', '871', '54', '124']
['310', '232', '469', '263', '3', '595', '766', '325', '954', '354', '147', '96', '964', '443', '343', '791', '625', '71', '107', '276']
['91', '710', '738', '98', '640', '230', '346', '884', '965', '590', '115', '249', '537', '9', '170', '394', '508', '45', '541', '72']
['375', '127', '760', '162', '466', '108', '666', '317', '816', '600', '217', '278', '528', '435', '347', '158', '380', '159', '548', '617']
['824', '729', '627', '999', '776', '704', '352', '18', '240', '615', '438', '165', '296', '500', '893', '629', '959', '196', '547', '885']
