['691', '150', '214', '811', '549', '182', '901', '515', '670', '141', '551', '190', '854', '909', '11', '50', '7', '632', '646', '613', '626', '469', '981', '299', '546', '539', '898', '404', '367', '719', '202', '840', '31', '540', '425', '726', '85', '666', '661', '409', '302', '797', '699', '157', '54', '6', '605', '841', '837', '742']
['603', '189', '290', '676', '633', '337', '322', '310', '856', '483', '942', '647', '115', '2', '935', '198', '931', '269', '541', '84', '772', '573', '642', '941', '173', '502', '889', '419', '522', '348', '117', '232', '443', '575', '172', '799', '819', '664', '64', '922', '803', '630', '615', '693', '14', '535', '838', '340', '360', '859']
['435', '193', '624', '934', '869', '812', '30', '956', '75', '532', '755', '697', '747', '417', '490', '140', '866', '561', '384', '56', '606', '233', '930', '662', '609', '16', '641', '437', '853', '90', '266', '53', '550', '473', '871', '424', '239', '306', '484', '863', '955', '221', '27', '792', '15', '905', '180', '564', '757', '906']
['277', '925', '250', '948', '601', '29', '256', '148', '60', '332', '594', '48', '20', '25', '718', '135', '223', '235', '829', '617', '275', '112', '634', '8', '485', '583', '855', '622', '784', '649', '91', '338', '224', '959', '247', '494', '55', '120', '220', '846', '823', '558', '944', '36', '979', '940', '681', '71', '851', '347']
['408', '936', '762', '648', '557', '635', '497', '585', '547', '754', '919', '38', '406', '542', '383', '216', '640', '34', '18', '704', '145', '261', '130', '578', '74', '12', '262', '387', '124', '80', '504', '423', '365', '663', '716', '113', '789', '279', '428', '225', '126', '341', '926', '127', '958', '447', '992', '722', '132', '133']
['790', '370', '196', '496', '43', '200', '164', '872', '896', '350', '381', '678', '733', '692', '206', '828', '565', '110', '177', '525', '850', '650', '17', '429', '827', '745', '597', '121', '376', '386', '544', '891', '330', '933', '645', '212', '329', '21', '602', '761', '285', '321', '287', '734', '439', '937', '883', '487', '834', '434']
['208', '534', '451', '67', '422', '715', '37', '257', '517', '636', '562', '995', '463', '727', '399', '318', '701', '459', '137', '33', '300', '498', '295', '345', '576', '309', '923', '467', '122', '822', '574', '359', '87', '192', '614', '146', '147', '526', '255', '259', '706', '682', '620', '997', '353', '954', '985', '820', '313', '728']
['862', '356', '843', '268', '814', '652', '516', '402', '783', '510', '612', '184', '241', '278', '111', '511', '943', '686', '961', '449', '513', '964', '134', '236', '800', '776', '282', '129', '445', '764', '229', '375', '418', '879', '809', '514', '136', '760', '960', '73', '962', '444', '276', '401', '677', '680', '671', '679', '746', '104']
['607', '531', '824', '945', '966', '528', '586', '651', '751', '690', '63', '86', '801', '265', '203', '301', '92', '333', '430', '660', '914', '446', '291', '921', '292', '749', '608', '369', '932', '639', '331', '123', '530', '543', '281', '683', '407', '26', '52', '217', '548', '171', '988', '169', '845', '538', '698', '778', '253', '810']
['165', '976', '927', '453', '398', '912', '836', '342', '712', '568', '947', '529', '4', '238', '913', '219', '938', '154', '162', '892', '949', '993', '357', '848', '144', '493', '1', '106', '580', '833', '296', '89', '412', '335', '592', '461', '139', '791', '982', '294', '897', '286', '83', '656', '441', '579', '499', '72', '237', '152']
['980', '400', '303', '813', '176', '410', '884', '207', '170', '971', '500', '491', '284', '460', '999', '248', '752', '570', '316', '798', '705', '183', '99', '175', '366', '13', '748', '319', '957', '179', '563', '781', '842', '231', '311', '724', '555', '868', '174', '900', '304', '527', '536', '977', '990', '987', '251', '204', '396', '771']
['659', '243', '619', '631', '317', '413', '149', '274', '559', '68', '382', '730', '186', '545', '457', '492', '77', '482', '199', '474', '894', '950', '556', '972', '66', '702', '991', '181', '47', '788', '327', '76', '831', '533', '903', '230', '339', '314', '637', '590', '191', '604', '114', '61', '380', '391', '623', '924', '481', '476']
['673', '390', '40', '478', '158', '873', '480', '596', '358', '899', '983', '689', '587', '394', '105', '79', '572', '998', '39', '595', '323', '740', '355', '82', '414', '119', '904', '779', '81', '598', '795', '946', '818', '334', '667', '371', '835', '978', '228', '23', '489', '774', '298', '796', '750', '700', '804', '713', '731', '787']
['260', '890', '975', '805', '49', '808', '560', '767', '377', '389', '793', '765', '703', '763', '963', '753', '465', '209', '505', '156', '9', '915', '886', '994', '708', '19', '593', '911', '861', '69', '263', '986', '28', '374', '3', '629', '984', '611', '687', '777', '920', '655', '501', '108', '876', '582', '910', '895', '665', '93']
