['720', '936', '297', '202', '481', '68', '457', '124', '132', '286', '673', '274', '178', '602', '196', '441', '958', '856', '559', '366', '528', '390', '652', '421', '116', '14', '925', '283', '855', '515', '812', '734', '878', '57', '713', '678', '119', '52', '690', '375', '956', '778', '101', '960', '30', '798', '724', '581', '658', '110']
['339', '291', '562', '761', '645', '953', '750', '637', '915', '369', '768', '411', '677', '868', '219', '522', '858', '373', '407', '632', '653', '676', '693', '790', '190', '789', '882', '997', '572', '931', '541', '127', '49', '248', '890', '828', '499', '688', '981', '937', '276', '461', '263', '684', '237', '667', '59', '970', '955']
['80', '614', '218', '516', '188', '683', '2', '27', '466', '106', '205', '53', '46', '806', '189', '946', '157', '8', '870', '975', '450', '627', '529', '433', '539', '170', '944', '544', '200', '378', '201', '889', '689', '389', '636', '547', '881', '36', '172', '826', '994', '346', '965', '553', '302', '6', '792', '109', '834', '917']
['430', '231', '731', '896', '593', '719', '326', '362', '11', '685', '659', '445', '18', '355', '791', '121', '976', '98', '998', '142', '269', '197', '220', '552', '548', '15', '90', '691', '388', '298', '880', '680', '25', '305', '171', '749', '825', '301', '723', '817', '739', '139', '741', '103', '523', '728', '842', '681', '610', '551']
['949', '598', '396', '991', '816', '354', '401', '344', '84', '216', '799', '340', '711', '198', '262', '289', '212', '737', '885', '64', '258', '827', '575', '738', '924', '392', '697', '156', '756', '753', '861', '352', '452', '320', '226', '47', '513', '50', '631', '549', '512', '760', '545', '225', '735', '995', '102', '42', '475', '978']
['580', '566', '144', '417', '462', '938', '596', '493', '774', '968', '62', '271', '329', '712', '619', '431', '241', '32', '304', '911', '133', '195', '209', '898', '932', '986', '699', '940', '26', '300', '255', '893', '695', '307', '638', '763', '635', '888', '883', '588', '203', '324', '900', '886', '823', '422', '928', '403', '537', '223']
['804', '836', '484', '420', '349', '623', '675', '138', '589', '672', '327', '423', '747', '884', '585', '230', '137', '213', '33', '60', '448', '100', '505', '818', '839', '120', '22', '969', '325', '926', '192', '292', '520', '514', '722', '657', '935', '942', '85', '180', '587', '578', '402', '808', '560', '948', '908', '872', '432', '498']
['785', '54', '982', '267', '570', '531', '907', '251', '708', '39', '253', '538', '134', '800', '651', '131', '600', '234', '592', '364', '843', '963', '664', '620', '130', '275', '555', '264', '107', '163', '288', '75', '967', '703', '746', '650', '215', '24', '599', '111', '217', '535', '446', '779', '633', '372', '569', '429', '83', '456']
['550', '686', '775', '93', '186', '309', '345', '214', '648', '184', '859', '367', '338', '447', '467', '471', '73', '476', '607', '819', '527', '358', '408', '238', '311', '715', '99', '125', '485', '88', '579', '803', '165', '809', '4', '280', '502', '497', '863', '646', '82', '524', '694', '391', '740', '315', '72', '903', '113', '444']
['899', '232', '122', '105', '702', '478', '207', '341', '416', '941', '532', '479', '518', '290', '328', '266', '851', '603', '852', '821', '567', '717', '525', '777', '55', '415', '509', '182', '554', '45', '649', '260', '726', '270', '239', '451', '472', '179', '348', '353', '540', '788', '666', '841', '906', '557', '766', '534', '442', '492']
['323', '710', '909', '743', '458', '136', '175', '468', '558', '927', '833', '347', '242', '744', '687', '294', '507', '285', '517', '495', '399', '983', '34', '647', '952', '19', '96', '846', '460', '427', '771', '674', '661', '152', '412', '51', '892', '644', '971', '470', '845', '296', '973', '874', '87', '247', '313', '245', '979', '820']
['639', '318', '359', '993', '656', '86', '409', '160', '556', '95', '891', '115', '240', '483', '671', '151', '146', '398', '660', '12', '261', '875', '732', '866', '568', '922', '901', '490', '802', '91', '293', '155', '721', '393', '966', '306', '363', '781', '394', '419', '865', '871', '748', '381', '933', '61', '615', '71', '742', '438']
['312', '159', '439', '849', '185', '662', '730', '246', '308', '21', '876', '663', '74', '284', '987', '630', '169', '303', '682', '988', '356', '173', '954', '465', '489', '605', '989', '176', '796', '164', '13', '350', '37', '617', '716', '904', '759', '508', '844', '94', '714', '342', '48', '612', '295', '365', '161', '939', '918', '504']
