['227', '467', '544', '103', '762', '713', '28', '478', '88', '111', '91', '549', '579', '473', '43', '706', '1', '310', '558', '604', '781', '500', '372', '789', '493', '170', '699', '41', '229', '465', '730', '608', '737', '435', '387', '675', '643', '47', '787', '620', '541', '765', '147', '138', '261', '798', '202', '201', '38', '463']
['93', '429', '655', '799', '297', '40', '398', '479', '748', '178', '89', '75', '81', '447', '658', '642', '333', '738', '619', '728', '573', '550', '351', '770', '294', '594', '131', '687', '84', '778', '436', '484', '531', '48', '491', '204', '260', '453', '596', '661', '452', '660', '243', '446', '512', '408', '664', '794', '488', '302']
['350', '95', '338', '654', '23', '431', '715', '712', '315', '768', '578', '30', '35', '634', '534', '144', '513', '609', '697', '418', '421', '382', '707', '349', '207', '638', '115', '752', '83', '433', '577', '777', '327', '650', '649', '665', '257', '328', '271', '404', '73', '45', '724', '477', '607', '454', '631', '701', '63', '681']
['705', '6', '220', '226', '439', '761', '732', '162', '384', '19', '112', '585', '489', '520', '127', '592', '330', '756', '242', '744', '57', '303', '437', '245', '514', '741', '193', '630', '716', '739', '322', '405', '385', '450', '582', '584', '342', '259', '758', '255', '241', '690', '627', '511', '407', '246', '311', '14', '65', '344']
['313', '562', '98', '743', '689', '736', '3', '494', '415', '519', '396', '215', '184', '506', '230', '555', '598', '286', '239', '116', '82', '414', '159', '362', '391', '7', '132', '624', '176', '120', '487', '108', '87', '796', '154', '679', '525', '25', '666', '172', '181', '503', '125', '422', '101', '175', '492', '290', '76', '498']
['71', '603', '268', '516', '139', '419', '189', '60', '633', '483', '714', '94', '426', '278', '195', '2', '142', '797', '203', '691', '366', '626', '791', '388', '24', '459', '250', '443', '636', '72', '532', '753', '774', '133', '371', '406', '126', '140', '543', '16', '166', '469', '67', '61', '684', '613', '99', '441', '509', '472']
['708', '515', '471', '474', '497', '580', '427', '225', '244', '119', '55', '420', '31', '668', '301', '383', '20', '12', '106', '319', '645', '386', '347', '502', '341', '248', '86', '397', '430', '480', '109', '266', '557', '288', '411', '206', '272', '563', '581', '150', '317', '641', '335', '475', '264', '588', '219', '96', '374', '62']
['428', '553', '567', '389', '606', '733', '749', '135', '234', '759', '29', '495', '496', '200', '211', '160', '589', '623', '281', '97', '576', '521', '78', '788', '343', '346', '100', '158', '601', '251', '750', '174', '52', '370', '779', '331', '395', '186', '44', '456', '710', '640', '767', '205', '42', '192', '325', '556', '105', '742']
['18', '123', '70', '148', '618', '599', '92', '224', '295', '273', '8', '326', '568', '671', '121', '565', '369', '247', '309', '793', '300', '197', '156', '575', '656', '394', '318', '451', '546', '33', '635', '688', '22', '50', '719', '32', '191', '410', '417', '403', '289', '551', '499', '312', '376', '4', '760', '390', '676', '11']
['510', '673', '401', '571', '323', '68', '179', '182', '306', '783', '104', '280', '682', '615', '504', '637', '591', '490', '559', '183', '561', '597', '593', '329', '194', '703', '412', '167', '533', '718', '440', '678', '90', '399', '537', '240', '377', '222', '149', '392', '51', '305', '763', '464', '217', '375', '685', '236', '445', '632']
['141', '746', '292', '267', '508', '252', '223', '702', '548', '539', '39', '358', '353', '538', '13', '621', '316', '163', '413', '354', '9', '481', '612', '518', '213', '367', '381', '80', '5', '262', '769', '276', '722', '165', '476', '345', '586', '21', '583', '171', '107', '542', '698', '651', '180', '117', '155', '784', '731', '134']
['177', '587', '187', '54', '416', '505', '69', '622', '256', '161', '238', '233', '53', '118', '168', '501', '378', '314', '113', '644', '610', '448', '320', '726', '336', '526', '190', '279', '572', '605', '308', '792', '677', '196', '212', '151', '393', '356', '670', '340', '287', '611', '15', '66', '616', '755', '299', '235', '365', '334']
['265', '210', '423', '357', '34', '652', '339', '298', '232', '249', '725', '275', '667', '157', '600', '434', '269', '680', '552', '775', '455', '536', '657', '59', '766', '462', '253', '674', '402', '26', '296', '653', '709', '782', '795', '723', '254', '517', '85', '727', '152', '221', '285', '355', '360', '438', '729', '721', '49', '379']
['185', '648', '444', '102', '540', '745', '614', '363', '776', '10', '757', '507', '337', '530', '361', '74', '629', '692', '694', '136', '282', '628', '735', '470', '574', '199', '293', '566', '114', '449', '704', '569', '129', '432', '772', '659', '0', '720', '695', '740', '214', '188', '284', '359', '711', '277', '647', '696', '524', '380']
['198', '527', '639', '662', '321', '17', '77', '764', '373', '458', '747', '145', '146', '58', '564', '64', '128', '368', '554', '37', '686', '625', '790', '560', '110', '466', '27', '218', '307', '364', '535', '291', '683', '570', '79', '617', '228', '780', '237', '424', '137', '36', '523', '528', '468', '700', '143', '545', '304', '122']
['786', '460', '669', '332', '231', '270', '771', '124', '646', '348', '547', '486', '672', '522', '164', '258', '663', '352', '457', '461', '602', '754', '46', '442', '130', '590', '785', '595', '425', '693', '485', '717', '169', '409', '209', '324', '173', '400', '283', '482', '56', '751', '208', '773', '734', '274', '529', '216', '153', '263']
