['993', '291', '841']
['928', '458', '377']
['248', '700', '877']
['408', '998', '94']
['465', '207', '575']
['438', '14', '778']
['543', '650', '39']
['365', '59', '583']
['453', '577', '101']
['557', '289', '900']
['455', '260', '887']
['413', '143', '641']
['647', '214', '799']
['297', '880', '346']
['728', '960', '816']
['632', '466', '738']
['803', '114', '129']
['688', '301', '704']
['283', '73', '196']
['977', '404', '229']
['616', '130', '72']
['255', '898', '981']
['694', '133', '800']
['904', '151', '303']
['525', '563', '341']
['864', '890', '165']
['389', '394', '261']
['645', '313', '749']
['624', '141', '950']
['5', '761', '9']
['643', '929', '858']
['144', '174', '965']
['562', '322', '350']
['123', '398', '499']
['814', '916', '978']
['367', '986', '684']
['76', '113', '234']
['649', '722', '805']
['635', '836', '608']
['126', '773', '434']
['210', '619', '348']
['471', '504']
['295', '373', '603']
['93', '871', '436']
['451', '815', '217']
['571', '352', '963']
['727', '636', '212']
['866', '305', '753']
['456', '881', '371']
['811', '331', '517']
['526', '593', '233']
['390', '488', '356']
['828', '189']
['310', '473', '318']
['431', '287', '392']
['853', '546', '586']
['824', '90', '634']
['52', '973', '582']
['541', '923', '536']
['0', '987', '958']
['553', '317', '149']
['62', '461', '936']
['908', '845', '780']
['720', '620', '934']
['247', '873', '587']
['148', '953', '662']
['507', '784', '837']
['105', '342', '166']
['609', '50', '98']
['388', '658', '103']
['77', '312', '339']
['629', '590', '395']
['203', '63', '949']
['370', '674', '595']
['197', '726', '448']
['421', '25', '786']
['718', '64', '782']
['639', '446', '470']
['418', '8', '155']
['804', '943', '61']
['268', '827', '970']
['69', '201', '361']
['472', '654', '948']
['325', '938', '44']
['623', '336', '70']
['147', '497', '409']
['258', '648', '116']
['349', '556', '984']
['997', '179', '891']
['19', '988', '330']
['175', '682', '510']
['860', '172', '429']
['241', '397', '899']
['128', '922', '750']
['747', '187', '489']
['407', '316', '885']
['500', '358', '300']
['393', '826', '514']
['91', '882', '275']
['430', '776', '698']
['979', '222', '368']
['699', '219', '941']
['376', '55', '646']
['921', '626', '785']
['884', '657', '437']
['721', '524', '955']
['673', '902', '335']
['714', '328', '939']
['263', '140', '911']
['920', '669', '259']
['483', '6', '832']
['710', '411', '145']
['274', '156', '7']
['200', '226', '119']
['184', '262', '375']
['495', '107', '565']
['364', '627', '558']
['659', '102', '622']
['181', '874', '447']
['467', '683', '631']
['719', '743', '86']
['256', '239', '830']
['379', '195', '309']
['324', '676', '518']
['168', '231', '745']
['681', '505', '734']
['182', '863', '293']
['985', '668', '735']
['768', '791', '542']
['320', '834', '139']
['852', '968', '454']
['531', '825', '329']
['829', '740', '178']
['843', '224', '545']
['479', '304', '109']
['121', '31', '996']
['439', '253', '54']
['548', '919', '83']
['71', '927', '606']
['598', '276', '34']
['802', '574', '544']
['573', '230', '424']
['65', '560', '966']
['162', '18', '559']
['896', '378', '732']
['766', '961', '775']
['696', '319', '533']
['457', '967', '917']
['589', '423', '459']
['758', '125', '190']
['808', '991', '690']
['127', '194', '930']
['426', '110', '705']
['416', '285', '914']
['112', '298', '279']
['868', '347', '440']
['391', '4', '131']
['355', '338', '869']
['741', '193', '311']
['42', '892', '872']
['443', '878', '633']
['215', '67', '177']
['492', '748', '701']
['538', '501', '760']
['512', '227', '962']
['245', '80', '236']
['432', '689', '823']
['22', '99', '925']
['585', '218', '270']
['124', '468', '946']
['671', '57', '403']
['452', '964', '770']
['399', '427', '621']
['819', '134', '795']
['529', '32', '142']
['332', '614', '106']
['879', '883', '716']
['769', '299', '764']
['122', '16', '806']
['555', '315', '594']
['625', '678', '905']
['74', '907', '532']
['35', '412', '51']
['354', '237', '282']
['272', '779', '344']
['604', '422', '660']
['513', '954', '651']
['663', '976', '269']
['204', '951', '250']
['420', '266', '111']
['164', '267', '906']
['901', '820', '280']
['428', '813', '847']
['672', '994', '893']
['387', '605', '307']
['519', '801', '15']
['666', '462', '628']
['999', '482', '480']
['959', '712', '537']
['486', '496', '661']
['725', '2', '40']
['485', '793', '903']
['812', '742', '211']
['47', '104', '539']
['909', '933', '737']
['972', '515', '60']
['292', '478', '137']
['572', '846', '777']
['570', '235', '591']
['897', '444', '630']
['520', '171', '477']
['464', '523', '11']
['610', '158', '360']
['580', '401', '540']
['88', '736', '856']
['382', '686', '567']
['363', '607', '989']
['992', '756', '807']
['410', '209', '48']
['202', '366', '87']
['206', '362', '265']
['763', '579', '433']
['983', '692', '180']
['527', '617', '915']
['405', '851', '612']
['765', '551', '97']
['326', '788', '739']
['244', '27', '857']
['414', '1', '306']
['937', '323', '597']
['687', '664', '971']
['844', '380', '153']
['406', '596', '314']
['417', '677', '383']
['56', '396', '842']
['957', '198', '21']
['926', '232', '935']
['132', '724', '20']
['809', '252', '702']
['918', '503', '290']
['578', '754', '469']
['521', '731', '599']
['854', '592', '92']
['498', '286', '481']
['108', '84', '974']
['152', '28', '637']
['618', '82', '931']
['602', '26', '535']
['374', '487', '359']
['729', '402', '53']
['167', '762', '136']
['655', '264', '475']
['552', '730', '351']
['12', '242', '569']
['45', '38', '3']
['146', '49', '161']
['703', '327', '550']
['723', '867', '188']
['17', '889', '733']
['154', '278', '615']
['460', '711', '385']
['980', '277', '357']
['982', '37', '691']
['96', '160', '449']
['228', '638', '707']
['822', '956', '715']
['771', '895', '185']
['296', '345', '333']
['952', '508', '89']
['199', '46', '221']
['191', '932', '115']
['653', '10', '29']
['781', '817', '709']
['865', '506', '183']
['43', '840', '790']
['751', '474', '924']
['774', '547', '744']
['755', '490', '476']
['875', '697', '170']
['564', '861', '435']
['568', '205', '534']
['839', '120', '849']
['169', '644', '640']
['942', '912', '176']
['969', '613', '254']
['944', '787', '68']
['85', '796', '384']
['792', '321', '549']
['159', '225', '685']
['708', '783', '240']
['752', '273', '493']
['798', '100', '36']
['302', '30', '220']
['381', '66', '386']
['706', '216', '670']
['713', '441', '789']
['23', '888', '767']
['150', '118', '838']
['693', '337', '576']
['757', '990', '850']
['554', '186', '494']
['940', '450', '33']
['445', '588', '746']
['831', '516', '369']
['530', '251', '511']
['238', '173', '192']
['680', '810', '271']
['642', '876', '442']
['484', '157', '665']
['243', '294', '415']
['566', '117', '223']
['502', '855', '138']
['848', '821', '581']
['257', '308', '886']
['601', '835', '833']
['913', '759', '79']
['213', '343', '584']
['509', '600', '870']
['353', '561', '667']
['81', '246', '281']
['679', '58', '894']
['975', '400', '208']
['818', '945', '13']
['859', '491', '695']
['334', '611', '862']
['41', '995', '249']
['910', '794', '425']
['78', '772', '947']
['656', '652', '284']
['797', '95', '135']
['463', '522', '288']
['528', '675', '163']
['340', '372', '75']
['419', '24', '717']
