7
7
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['7', '8', '1']
['8', '9', '1']
['9', '10', '1']
['10', '11', '1']
['11', '12', '1']
['12', '13', '1']
['14', '15', '2']
['15', '16', '2']
['16', '17', '2']
['17', '18', '2']
['18', '19', '2']
['19', '20', '2']
['21', '22', '3']
['22', '23', '3']
['23', '24', '3']
['24', '25', '3']
['25', '26', '3']
['26', '27', '3']
['28', '29', '4']
['29', '30', '4']
['30', '31', '4']
['31', '32', '4']
['32', '33', '4']
['33', '34', '4']
['35', '36', '5']
['36', '37', '5']
['37', '38', '5']
['38', '39', '5']
['39', '40', '5']
['40', '41', '5']
['42', '43', '6']
['43', '44', '6']
['44', '45', '6']
['45', '46', '6']
['46', '47', '6']
['47', '48', '6']
