40
20
['Vertex308', 'Vertex82']
['Vertex123', 'Vertex103']
['Vertex306', 'Vertex370']
['Vertex47', 'Vertex44']
['Vertex128', 'Vertex195']
['Vertex132', 'Vertex322']
['Vertex199', 'Vertex129']
['Vertex71', 'Vertex69']
['Vertex157', 'Vertex397']
['Vertex330', 'Vertex220']
['Vertex95', 'Vertex361']
['Vertex118', 'Vertex402']
['Vertex169', 'Vertex96']
['Vertex173', 'Vertex267']
['Vertex203', 'Vertex156']
['Vertex360', 'Vertex240']
['Vertex238', 'Vertex310']
['Vertex264', 'Vertex170']
['Vertex72', 'Vertex425']
['Vertex163', 'Vertex387']
['Vertex176', 'Vertex320']
['Vertex194', 'Vertex248']
['Vertex326', 'Vertex270']
['Vertex77', 'Vertex79']
['Vertex204', 'Vertex217']
['Vertex398', 'Vertex365']
['Vertex211', 'Vertex283']
['Vertex352', 'Vertex48']
['Vertex290', 'Vertex117']
['Vertex324', 'Vertex206']
['Vertex178', 'Vertex154']
['Vertex202', 'Vertex408']
['Vertex334', 'Vertex149']
['Vertex100', 'Vertex146']
['Vertex181', 'Vertex235']
['Vertex74', 'Vertex161']
['Vertex45', 'Vertex338']
['Vertex382', 'Vertex363']
['Vertex275', 'Vertex412']
['Vertex278', 'Vertex232']
['Vertex164', 'Vertex253']
['Vertex405', 'Vertex265']
['Vertex421', 'Vertex423']
['Vertex97', 'Vertex439']
['Vertex114', 'Vertex431']
['Vertex139', 'Vertex80']
['Vertex83', 'Vertex329']
['Vertex347', 'Vertex336']
['Vertex227', 'Vertex215']
['Vertex375', 'Vertex219']
['Vertex105', 'Vertex319']
['Vertex337', 'Vertex67']
['Vertex175', 'Vertex221']
['Vertex269', 'Vertex259']
['Vertex184', 'Vertex354']
['Vertex73', 'Vertex144']
['Vertex152', 'Vertex89']
['Vertex372', 'Vertex434']
['Vertex85', 'Vertex124']
['Vertex179', 'Vertex189']
['Vertex282', 'Vertex213']
['Vertex224', 'Vertex198']
['Vertex201', 'Vertex185']
['Vertex62', 'Vertex172']
['Vertex285', 'Vertex286']
['Vertex315', 'Vertex371']
['Vertex111', 'Vertex391']
['Vertex121', 'Vertex166']
['Vertex349', 'Vertex261']
['Vertex41', 'Vertex394']
['Vertex150', 'Vertex237']
['Vertex104', 'Vertex356']
['Vertex180', 'Vertex404']
['Vertex207', 'Vertex438']
['Vertex140', 'Vertex162']
['Vertex317', 'Vertex228']
['Vertex368', 'Vertex115']
['Vertex196', 'Vertex400']
['Vertex304', 'Vertex159']
['Vertex422', 'Vertex293']
['Vertex231', 'Vertex120']
['Vertex155', 'Vertex288']
